Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Weather_Condition
India,Jaipur,Sector_2,26.88767,75.84836,5.0,131.18,19.9,7.99,125.54,564.92,173.83,17.03,45,0.0,Haze
India,Jaipur,Sector_3,26.93961,75.81217,5.0,131.18,19.9,7.99,125.54,564.92,173.83,17.37,45,0.0,Haze
India,Jaipur,Sector_4,26.91087,75.80945,5.0,131.18,19.9,7.99,125.54,564.92,173.83,17.65,45,0.0,Haze
India,Lucknow,City Center,26.8381,80.9346001,5.0,198.45,17.18,4.31,64.66,904.09,241.88,14.01,94,2.57,Mist
India,Lucknow,Sector_1,26.86387,80.93467,5.0,198.45,17.18,4.31,64.66,904.09,241.88,14.06,94,2.57,Mist
India,Lucknow,Sector_2,26.84183,80.92531,5.0,198.45,17.18,4.31,64.66,904.09,241.88,14.01,94,2.57,Mist
India,Lucknow,Sector_3,26.85285,80.95025,5.0,198.45,17.18,4.31,64.66,904.09,241.88,14.05,94,2.57,Mist
India,Lucknow,Sector_4,26.84914,80.88581,5.0,198.45,17.18,4.31,64.66,904.09,241.88,13.99,94,2.57,Mist
India,Kanpur,City Center,26.4609135,80.3217588,5.0,164.62,11.32,3.17,65.34,665.51,202.97,17.12,34,0.99,Clear
India,Kanpur,Sector_1,26.46244,80.27696,5.0,164.62,11.32,3.17,65.34,665.51,202.97,17.12,34,0.98,Clear
India,Kanpur,Sector_2,26.47772,80.33173,5.0,164.62,11.32,3.17,65.34,665.51,202.97,17.24,34,0.94,Clear
India,Kanpur,Sector_3,26.42931,80.3211,5.0,164.62,11.32,3.17,65.34,665.51,202.97,17.09,34,1.05,Clear
India,Kanpur,Sector_4,26.44921,80.32574,5.0,164.62,11.32,3.17,65.34,665.51,202.97,17.12,34,0.99,Clear
India,Nagpur,City Center,21.1498134,79.0820556,5.0,173.98,15.4,28.3,114.76,611.48,187.29,17.95,59,1.03,Haze
India,Nagpur,Sector_1,21.16162,79.07242,5.0,173.98,15.4,28.3,114.76,611.48,187.29,17.92,59,1.03,Haze
India,Nagpur,Sector_2,21.13378,79.03876,5.0,173.98,15.4,28.3,114.76,611.48,187.29,17.92,59,1.03,Haze
India,Nagpur,Sector_3,21.1671,79.0662,5.0,173.98,15.4,28.3,114.76,611.48,187.29,17.77,59,1.03,Haze
India,Nagpur,Sector_4,21.1354,79.11302,5.0,173.98,15.4,28.3,114.76,611.48,187.29,18.07,59,1.03,Haze
India,Indore,City Center,22.7203616,75.8681996,5.0,108.27,10.02,9.21,95.63,461.69,119.27,18.06,63,2.06,Haze
India,Indore,Sector_1,22.72945,75.83113,5.0,108.27,10.02,9.21,95.63,461.69,119.27,18.07,63,2.06,Haze
India,Indore,Sector_2,22.70337,75.8486,5.0,108.27,10.02,9.21,95.63,461.69,119.27,18.07,63,2.06,Haze
India,Indore,Sector_3,22.74657,75.88909,5.0,108.27,10.02,9.21,95.63,461.69,119.27,18.12,63,2.06,Haze
India,Indore,Sector_4,22.68207,75.84275,5.0,108.27,10.02,9.21,95.63,461.69,119.27,18.01,63,2.06,Haze
India,Thane,City Center,19.3592411,73.3708245,5.0,213.77,8.93,36.0,215.7,967.12,241.36,24.28,42,0.55,Clear
India,Thane,Sector_1,19.36658,73.41724,5.0,189.24,11.46,32.32,185.79,868.4,213.08,24.12,40,0.27,Clear
India,Thane,Sector_2,19.3448,73.39041,5.0,213.77,8.93,36.0,215.7,967.12,241.36,24.25,41,0.02,Clear
