City,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Recycling_Count,Green_Area_Count
Orthez,0,0,0,0,0,0,0
Osmaniye,0,0,0,0,0,0,0
Osakasayama,0,0,0,0,0,0,0
Oudtshoorn,0,0,0,0,0,0,0
Overijse,0,0,0,0,0,0,0
Owosso,0,0,0,0,0,0,0
Otavalo,0,0,0,0,0,0,0
Palmerston North,0,0,0,0,0,0,0
Otradnoye,0,0,0,0,0,0,0
Paso De Los Toros,0,0,0,0,0,0,0
Penco,0,0,0,0,0,0,0
Pastavy,0,0,0,0,0,0,0
Partapur,0,0,0,0,0,0,0
Papaya,0,0,0,0,0,0,0
Peachtree City,0,0,0,0,0,0,0
Petawawa,0,0,0,0,0,0,0
Paraguacu Paulista,0,0,0,0,0,0,0
Pianco,0,0,0,0,0,0,0
Petatlan,0,0,0,0,0,0,0
Pepperell,0,0,0,0,0,0,0
Pimenta Bueno,0,0,0,0,0,0,0
Pittsfield,0,0,0,0,0,0,0
Pirkkala,0,0,0,0,0,0,0
Poissy,0,0,0,0,0,0,0
Plumbon,0,0,0,0,0,0,0
Ponte San Nicolo,0,0,0,0,0,0,0
Pontecorvo,0,0,0,0,0,0,0
Pontypool,0,0,0,0,0,0,0
Portici,0,0,0,0,0,0,0
Potiskum,0,0,0,0,0,0,0
Potosi,0,0,0,0,0,0,0
Prata,0,0,0,0,0,0,0
Ptuj,0,0,0,0,0,0,0
Puerto Berrio,0,0,0,0,0,0,0
Pukhrayan,0,0,0,0,0,0,0
Pune,0,0,0,0,0,0,0
Purral,0,0,0,0,0,0,0
Quickborn,0,0,0,0,0,0,0
Qostanay,0,0,0,0,0,0,0
Quierschied,0,0,0,0,0,0,0
Qujing,0,0,0,0,0,0,0
Quzhou,0,0,0,0,0,0,0
Radzionkow,0,0,0,0,0,0,0
Ramanagaram,0,0,0,0,0,0,0
Raja Sansi,0,0,0,0,0,0,0
Fostoria,0,0,0,0,0,0,0
Fruitville,0,0,0,0,0,0,0
Fort Payne,0,0,0,0,0,0,0
Fusagasuga,0,0,0,0,0,0,0
Funabashi,0,0,0,0,0,0,0
Gafargaon,0,0,0,0,0,0,0
Gairo,0,0,0,0,0,0,0
Galatsion,0,0,0,0,0,0,0
Gambiran,0,0,0,0,0,0,0
Gampengrejo,0,0,0,0,0,0,0
Gandai,0,0,0,0,0,0,0
Gantt,0,0,0,0,0,0,0
Gariadhar,0,0,0,0,0,0,0
Gartringen,0,0,0,0,0,0,0
Gempol,0,0,0,0,0,0,0
Ghiror,0,0,0,0,0,0,0
Gladbeck,0,0,0,0,0,0,0
Ginsheim Gustavsburg,0,0,0,0,0,0,0
Gragnano,0,0,0,0,0,0,0
Golpayegan,0,0,0,0,0,0,0
Great Yarmouth,0,0,0,0,0,0,0
Grumo Appula,0,0,0,0,0,0,0
Greensboro,0,0,0,0,0,0,0
Gweru,0,0,0,0,0,0,0
Habra,0,0,0,0,0,0,0
Hanyu,0,0,0,0,0,0,0
Harrai,0,0,0,0,0,0,0
Hateg,0,0,0,0,0,0,0
Hazro,0,0,0,0,0,0,0
Heemskerk,0,0,0,0,0,0,0
Heerenveen,0,0,0,0,0,0,0
Hemer,0,0,0,0,0,0,0
Hilsa,0,0,0,0,0,0,0
Hojai,0,0,0,0,0,0,0
Horst,0,0,0,0,0,0,0
Huzhou,0,0,0,0,0,0,0
Ilesha,0,0,0,0,0,0,0
Inta,0,0,0,0,0,0,0
Ihiala,0,0,0,0,0,0,0
Ilhavo,0,0,0,0,0,0,0
Inzhavino,0,0,0,0,0,0,0
Ipil,0,0,0,0,0,0,0
Irbid,0,0,0,0,0,0,0
Ishurdi,0,0,0,0,0,0,0
Islampur,0,0,0,0,0,0,0
Itamaraju,0,0,0,0,0,0,0
Itaparica,0,0,0,0,0,0,0
Itapira,0,0,0,0,0,0,0
Itapui,0,0,0,0,0,0,0
Jacksonville,0,0,0,0,0,0,0
Itu,0,0,0,0,0,0,0
Jagraon,0,0,0,0,0,0,0
Jand,0,0,0,0,0,0,0
Janesville,0,0,0,0,0,0,0
Jenison,0,0,0,0,0,0,0
Jhang,0,0,0,0,0,0,0
Jiayuguan,0,0,0,0,0,0,0
Juatuba,0,0,0,0,0,0,0
Juiz De Fora,0,0,0,0,0,0,0
Kagaznagar,0,0,0,0,0,0,0
Kakegawa,0,0,0,0,0,0,0
Kalamnuri,0,0,0,0,0,0,0
Kamensk Shakhtinskiy,0,0,0,0,0,0,0
Kaliganj,0,0,0,0,0,0,0
Dourados,0,0,0,0,0,0,0
Dubna,0,0,0,0,0,0,0
Dumraon,0,0,0,0,0,0,0
Duren,0,0,0,0,0,0,0
Duzici,0,0,0,0,0,0,0
Eggenfelden,0,0,0,0,0,0,0
Dzerzhinsk,0,0,0,0,0,0,0
Edea,0,0,0,0,0,0,0
El Sobrante,0,0,0,0,0,0,0
Elmwood Park,0,0,0,0,0,0,0
Eluru,0,0,0,0,0,0,0
Engen,0,0,0,0,0,0,0
Ennepetal,0,0,0,0,0,0,0
Enkoping,0,0,0,0,0,0,0
Entre Rios,0,0,0,0,0,0,0
Ercis,0,0,0,0,0,0,0
Espelkamp,0,0,0,0,0,0,0
Ettaiyapuram,0,0,0,0,0,0,0
Eureka,0,0,0,0,0,0,0
Falun,0,0,0,0,0,0,0
Fairhope,0,0,0,0,0,0,0
Fengcheng,0,0,0,0,0,0,0
Maruoka,0,0,0,0,0,0,0
Mariinskiy Posad,0,0,0,0,0,0,0
Masalukot,0,0,0,0,0,0,0
Melito Di Napoli,0,0,0,0,0,0,0
Mendi,0,0,0,0,0,0,0
Melnik,0,0,0,0,0,0,0
Mentakab,0,0,0,0,0,0,0
Metapan,0,0,0,0,0,0,0
Mesolongion,0,0,0,0,0,0,0
Mettmann,0,0,0,0,0,0,0
Metzingen,0,0,0,0,0,0,0
Miandrivazo,0,0,0,0,0,0,0
Miguel Auza,0,0,0,0,0,0,0
Minggang,0,0,0,0,0,0,0
Mirandela,0,0,0,0,0,0,0
Misantla,0,0,0,0,0,0,0
Mistelbach,0,0,0,0,0,0,0
Mobara,0,0,0,0,0,0,0
Mocambique,0,0,0,0,0,0,0
Molln,0,0,0,0,0,0,0
Monteroni Di Lecce,0,0,0,0,0,0,0
Monclova,0,0,0,0,0,0,0
Mooresville,0,0,0,0,0,0,0
Morayfield,0,0,0,0,0,0,0
Moron De La Frontera,0,0,0,0,0,0,0
Morsang Sur Orge,0,0,0,0,0,0,0
Motala,0,0,0,0,0,0,0
Mount Prospect,0,0,0,0,0,0,0
Mtsensk,0,0,0,0,0,0,0
Mudon,0,0,0,0,0,0,0
Mukerian,0,0,0,0,0,0,0
Muroran,0,0,0,0,0,0,0
Naini Tal,0,0,0,0,0,0,0
Nakhon Nayok,0,0,0,0,0,0,0
Nakur,0,0,0,0,0,0,0
Nanganga,0,0,0,0,0,0,0
Kimitsu,0,0,0,0,0,0,0
Kishtwar,0,0,0,0,0,0,0
Kissidougou,0,0,0,0,0,0,0
Kodaikanal,0,0,0,0,0,0,0
Komarom,0,0,0,0,0,0,0
Konstantinovsk,0,0,0,0,0,0,0
Korba,0,0,0,0,0,0,0
Korsor,0,0,0,0,0,0,0
Kot Samaba,0,0,0,0,0,0,0
Krabi,0,0,0,0,0,0,0
Kristianstad,0,0,0,0,0,0,0
Kumbo,0,0,0,0,0,0,0
Kuandian,0,0,0,0,0,0,0
Kunitachi,0,0,0,0,0,0,0
Kushva,0,0,0,0,0,0,0
Kuusankoski,0,0,0,0,0,0,0
La Fleche,0,0,0,0,0,0,0
Lachhmangarh,0,0,0,0,0,0,0
Lagos,0,0,0,0,0,0,0
Lake Forest Park,0,0,0,0,0,0,0
Lake Worth,0,0,0,0,0,0,0
Lambayeque,0,0,0,0,0,0,0
Lebach,0,0,0,0,0,0,0
Ledziny,0,0,0,0,0,0,0
Les Mureaux,0,0,0,0,0,0,0
Lexington Park,0,0,0,0,0,0,0
Lezajsk,0,0,0,0,0,0,0
Lianyuan,0,0,0,0,0,0,0
Liestal,0,0,0,0,0,0,0
Limache,0,0,0,0,0,0,0
Lingen,0,0,0,0,0,0,0
Limpio,0,0,0,0,0,0,0
Livny,0,0,0,0,0,0,0
Loa Janan,0,0,0,0,0,0,0
Locorotondo,0,0,0,0,0,0,0
Loma Bonita,0,0,0,0,0,0,0
