City,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Recycling_Count,Green_Area_Count
Malabanban,576,6,13,0,0,0,2
Margaride,870,4,65,0,1,17,129
Rio Negro,0,0,0,0,0,0,5
Palakollu,776,1,0,0,0,0,0
Mampong,558,0,2,0,0,0,4
Rhede,476,8,113,0,0,7,228
Mandiana,78,0,2,0,0,0,0
Conversano,332,0,0,0,0,0,0
Coracao De Jesus,363,0,0,0,0,0,0
Punata,46,0,0,0,0,0,0
Palmerston,0,0,0,0,0,0,1
Cozumel,0,0,0,0,0,0,4
Commerce,1067,36,0,0,1,0,4
Maposeni,10,0,1,0,0,0,0
Coueron,719,7,36,0,0,27,123
Cruzeiro Do Sul,255,0,15,0,0,0,10
Coleraine,996,17,20,0,0,2,30
Phon,275,0,0,0,0,0,0
Crowthorne,799,2,1,0,4,5,126
Piquete,302,0,0,0,0,0,2
Pita,2527,1,8,0,26,99,138
Plaine Magnien,308,1,226,0,0,0,19
Csorna,198,41,40,1,0,6,17
Codajas,166,0,0,0,0,0,0
Plettenberg,525,10,5,0,0,3,77
Pombos,422,0,18,0,0,0,8
Curug,1527,6,0,0,0,0,2
Port Saint John,320,5,3,0,0,0,14
Ormoc,373,6,19,0,0,2,11
Podolsk,374,45,0,0,40,1,29
Ploiesti,1694,24,0,1,6,7,6
Porvoo,690,15,34,0,1,8,199
Mamanguape,587,1,0,0,0,0,2
Madhogarh,1,0,0,0,0,0,0
Qadirpur Ran,199,0,0,0,0,0,0
Courrieres,602,13,36,2,0,2,126
Ptolemais,12,0,1,0,0,0,0
Pyay,14,1,0,0,0,0,1
Craigieburn,939,10,0,0,0,0,21
Plover,14,0,0,0,0,0,0
Marghita,186,3,5,0,0,0,5
Rock Hill,654,3,0,0,0,0,13
Puyo,759,1,0,0,0,0,4
Pozuelo De Alarcon,1259,23,0,0,57,12,22
Roubaix,1989,12,0,0,6,33,7
Runcorn,1030,31,0,0,7,3,86
Queluz,1275,0,0,0,0,0,8
Ruyigi,4,0,0,0,0,0,1
Rwamagana,330,0,0,0,0,0,0
Saarlouis,837,10,26,0,1,31,54
Saharanpur,432,0,0,0,0,0,0
Sahawar,10,0,0,0,0,0,0
Saiha,1,0,0,0,0,0,0
Sakleshpur,176,1,0,0,0,0,1
Salmas,967,0,0,0,0,0,1
San Dona Di Piave,1299,19,99,1,0,3,16
San Cesareo,405,2,202,0,0,0,27
Radauti,249,3,3,0,4,0,5
Rahon,45,3,5,0,0,2,32
San Juan De Uraba,133,0,0,0,0,0,0
Puquio,183,0,1,0,0,0,8
Punto Fijo,829,5,0,0,0,0,2
Orekhovo Zuevo,413,33,1,8,50,5,60
Ramada,1267,15,3,0,0,5,54
Pili,137,20,6,0,0,0,1
Pindi Bhattian,329,0,0,0,0,0,0
Santa Marta De Tormes,1020,4,96,0,132,105,15
San Martin,1101,15,2,2,0,1,31
Santomera,382,62,165,3,0,0,13
Papalotla,696,0,0,0,0,0,0
Parchim,348,5,9,2,1,6,30
San Gregorio Di Catania,1023,1,2,0,1,4,16
Sankt Augustin,891,4,34,0,10,59,87
Penukonda,67,1,0,0,0,0,0
Perrelos,67,0,21,0,0,0,12
Peruwelz,118,5,45,0,0,1,169
Peterongan,471,0,0,0,0,0,0
Petlawad,6,0,0,0,0,0,0
Petropolis,1821,17,1,1,324,62,375
Promyshlennaya,154,3,2,0,0,0,6
Ponferrada,1212,13,3,1,1,20,34
Bahawalpur,826,1,0,0,0,0,0
Sao Francisco Do Conde,182,0,0,0,0,0,1
Balch Springs,558,1,0,0,0,0,9
Phanom Sarakham,333,0,0,0,0,0,4
Sankt Georgen,498,8,5,0,0,0,7
Pushkino,366,47,0,0,72,5,110
Prokopyevsk,80,12,0,0,0,0,16
Pereira Barreto,345,1,1,0,0,0,3
Baoji,193,6,1,0,0,0,2
Bangkalan,85,0,0,0,0,0,0
Sant Pere De Ribes,359,0,1,0,0,2,56
Bainbridge,363,11,0,0,0,0,1
Bissau,456,7,4,0,0,0,17
San Miguelito,1299,5,0,0,0,0,11
Redcliffe,895,9,0,0,0,0,5
San Pablo De Las Salinas,2267,0,2,0,0,0,2
Blantyre,432,16,5,0,0,0,5
Bisert,103,9,7,0,0,0,56
Bongaigaon,551,0,0,0,0,0,0
Contamana,155,0,0,0,0,0,0
Ponte De Sor,292,5,13,0,0,1,2
Bohmte,291,8,108,0,0,4,117
Brand Erbisdorf,319,4,26,0,0,24,164
San Juan De Los Lagos,44,0,0,0,0,0,0
Bitetto,215,6,0,0,0,0,0
Bosconia,0,0,0,0,0,0,1
Pforzheim,1589,8,15,0,8,70,88
Brielle,477,11,91,0,2,38,210
Bangar,50,0,0,0,0,0,8
Brejo Santo,509,6,0,0,0,0,0
Barroquinha,123,0,0,0,0,0,0
Belpasso,451,1,19,4,0,1,4
Brits,357,3,1,0,0,0,0
Brainerd,336,4,0,0,0,0,5
Baliuag,1067,16,43,0,0,1,102
Passy,32,0,17,0,0,0,189
Beziers,1734,4,17,0,8,57,59
Bellview,452,0,3,7,0,0,65
Prokuplje,548,6,7,1,0,1,76
Bendorf,146,2,16,0,0,0,104
Bhimunipatnam,155,0,0,0,0,0,1
Bicholim,123,1,4,2,0,0,16
Bangaon,505,1,14,0,2,0,38
Beernem,319,12,89,0,0,4,171
Bilara,268,0,0,0,0,0,0
Ramanuj Ganj,72,0,0,0,0,0,2
Bhander,19,0,0,0,0,0,0
Bhanpuri,1,0,0,0,0,0,2
Bhattiprolu,176,0,25,0,0,0,0
Belm,368,2,126,0,0,1,195
Asind,10,0,0,0,0,0,0
Beni Suef,316,0,0,0,0,0,0
Augsburg,1994,33,2,1,30,166,97
Azalea Park,795,1,0,0,2,0,2
Azuqueca De Henares,829,7,8,0,0,1,29
Baberu,2,0,0,0,0,0,0
Ashland,34,0,11,1,0,0,5
Atrauli,3,2,0,0,0,0,0
Bolekhiv,233,11,14,0,8,0,40
Rajula,753,3,1,0,0,0,1
Balsta,501,4,16,0,3,6,90
Shikarpur,619,1,0,0,0,0,0
Shunyi,202,7,0,0,0,0,26
Bacolod,835,14,4,0,0,1,12
Brecht,91,0,86,2,0,0,215
Birecik,421,1,3,1,2,0,5
Asenovgrad,465,10,3,0,0,0,8
Bad Ischl,537,3,2,1,0,7,284
Soest,1283,4,46,0,1,28,104
Bermeo,283,6,2,0,0,0,130
Shenjiamen,178,4,0,0,0,0,5
Sialkot,1010,1,0,0,0,0,0
Bagamoyo,607,0,0,0,0,0,1
South Venice,423,1,0,0,0,0,12
Soledade,445,0,0,0,0,0,1
Beek,374,6,74,0,1,1,236
Spilimbergo,349,3,66,1,10,5,21
Sorgues,803,27,67,2,3,47,74
Spisska Nova Ves,549,6,8,1,41,42,48
Struthers,325,16,4,0,0,0,58
Sidmouth,269,1,2,0,0,6,41
Sung Noen,268,0,0,0,0,0,0
Sungai Siput Utara,697,3,0,0,0,0,0
Sycamore,396,5,12,0,0,0,8
Black Forest,33,3,8,0,0,0,154
Sondrio,3,0,0,0,0,0,43
Stretford,991,32,26,0,1,18,231
Snizhne,291,9,5,10,3,0,48
Talhar,48,1,0,0,0,0,0
Tanout,231,0,0,0,0,0,1
Taoru,22,0,0,0,0,0,0
South Whittier,1356,4,0,0,1,0,0
Aulla,358,10,10,0,0,5,35
Boscoreale,405,10,98,0,0,2,24
Sitrah,726,2,0,0,0,0,0
Bideford,514,6,4,0,0,2,98
Besana In Brianza,737,17,44,0,0,7,105
Big Bend,12,0,0,0,0,0,2
Khon Buri,236,0,0,0,0,0,0
Kirkel,135,2,5,1,0,3,25
Kisai,0,0,3,0,0,0,6
Kiskunmajsa,235,13,7,0,0,1,5
Baguim Do Monte,1262,17,99,0,0,16,84
Tateyama,1110,0,82,0,0,0,23
Klerksdorp,534,0,0,0,0,0,0
Ko Samui,11,0,0,0,0,0,0
Targu Jiu,730,5,7,0,0,0,6
Takanabe,359,1,0,0,0,0,32
Komlo,257,23,6,0,0,2,51
South Lake Tahoe,307,4,0,0,2,0,94
Khoni,161,0,0,0,0,0,1
Kitzingen,643,18,46,0,0,9,70
Koksijde,911,2,14,0,1,14,137
Kula,250,30,25,0,0,0,17
Khurja,215,0,0,0,0,0,0
Kicevo,437,7,10,1,0,0,62
Tarija,3,0,0,0,0,0,4
Takasaki,1570,9,28,0,0,1,41
Kurali,0,0,3,0,0,0,1
La Plata,1276,0,0,0,0,0,0
La Courneuve,1373,11,1,0,7,110,57
Kousseri,461,1,2,0,0,0,5
Talagang,154,1,0,0,0,0,0
Lai,175,0,0,0,17,23,90
Lakheri,8,0,0,0,0,0,0
Kursenai,255,11,10,0,1,3,83
Lancaster,861,7,0,0,0,0,2
Koster,274,1,0,0,0,0,0
Laurinburg,355,1,0,0,0,0,0
Kuroishi,566,1,47,0,0,0,8
Leiria,1806,9,30,0,86,152,88
Lambare,1187,30,0,1,0,8,282
Kuusamo,209,23,10,0,0,2,162
La Crosse,333,6,0,0,0,0,2
Simpang Empat,124,0,0,0,0,0,0
