City,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Recycling_Count,Green_Area_Count
Masoko,0,0,0,0,0,0,0
Mbeya,0,0,0,0,0,0,0
Meinerzhagen,0,0,0,0,0,0,0
Mendez,0,0,0,0,0,0,0
Misato,0,0,0,0,0,0,0
Misilmeri,0,0,0,0,0,0,0
Mlimba,0,0,0,0,0,0,0
Modasa,0,0,0,0,0,0,0
Montefiascone,0,0,0,0,0,0,0
Montelupo Fiorentino,0,0,0,0,0,0,0
Mudkhed,0,0,0,0,0,0,0
Mosonmagyarovar,0,0,0,0,0,0,0
Mus,0,0,0,0,0,0,0
Mutum,0,0,0,0,0,0,0
Nacozari,0,0,0,0,0,0,0
Nador,0,0,0,0,0,0,0
Nam Phong,0,0,0,0,0,0,0
Nandigama,0,0,0,0,0,0,0
Nagod,0,0,0,0,0,0,0
Naperville,0,0,0,0,0,0,0
Natitingou,0,0,0,0,0,0,0
Nave,0,0,0,0,0,0,0
Nawalapitiya,0,0,0,0,0,0,0
Neede,0,0,0,0,0,0,0
Nenjiang,0,0,0,0,0,0,0
Nileshwar,0,0,0,0,0,0,0
Ninghai,0,0,0,0,0,0,0
Nkoteng,0,0,0,0,0,0,0
Northfield,0,0,0,0,0,0,0
Nowy Tomysl,0,0,0,0,0,0,0
Nsawam,0,0,0,0,0,0,0
Nyakahanga,0,0,0,0,0,0,0
Nytva,0,0,0,0,0,0,0
Oaxaca,0,0,0,0,0,0,0
Oissel,0,0,0,0,0,0,0
Obama,0,0,0,0,0,0,0
Owando,0,0,0,0,0,0,0
Palang,0,0,0,0,0,0,0
Palayan,0,0,0,0,0,0,0
Paliyad,0,0,0,0,0,0,0
Pattani,0,0,0,0,0,0,0
Pederneiras,0,0,0,0,0,0,0
Macon,0,0,0,0,0,0,0
Phalia,0,0,0,0,0,0,0
Kings Park,0,0,0,0,0,0,0
Makamba,0,0,0,0,0,0,0
Kitangari,0,0,0,0,0,0,0
Kisujszallas,0,0,0,0,0,0,0
Koga,0,0,0,0,0,0,0
Komatsushima,0,0,0,0,0,0,0
Krasnokamensk,0,0,0,0,0,0,0
Kotka,0,0,0,0,0,0,0
Krasnokumskoye,0,0,0,0,0,0,0
Kumhari,0,0,0,0,0,0,0
La Oroya,0,0,0,0,0,0,0
La Solana,0,0,0,0,0,0,0
Leninogorsk,0,0,0,0,0,0,0
Leinfelden Echterdingen,0,0,0,0,0,0,0
Lenoir,0,0,0,0,0,0,0
Leopoldsburg,0,0,0,0,0,0,0
Liangxiang,0,0,0,0,0,0,0
Lubbock,0,0,0,0,0,0,0
Luanshya,0,0,0,0,0,0,0
Libertyville,0,0,0,0,0,0,0
Lumberton,0,0,0,0,0,0,0
Luneburg,0,0,0,0,0,0,0
Macedonia,0,0,0,0,0,0,0
Sirari,0,0,0,0,0,0,0
Sirsilla,0,0,0,0,0,0,0
Sivagiri,0,0,0,0,0,0,0
Rosbach,0,0,0,0,0,0,0
Rutigliano,0,0,0,0,0,0,0
Rossosh,0,0,0,0,0,0,0
Rosenheim,0,0,0,0,0,0,0
Saint Avold,0,0,0,0,0,0,0
Saalfelden,0,0,0,0,0,0,0
San Juan Del Rio,0,0,0,0,0,0,0
Sainte Genevieve Des Bois,0,0,0,0,0,0,0
Santa Cruz Do Rio Pardo,0,0,0,0,0,0,0
Sancoale,0,0,0,0,0,0,0
Sao Domingos Do Maranhao,0,0,0,0,0,0,0
Sao Joao Evangelista,0,0,0,0,0,0,0
Santona,0,0,0,0,0,0,0
Sao Marcos,0,0,0,0,0,0,0
Rio Tercero,0,0,0,0,0,0,0
Ranibennur,0,0,0,0,0,0,0
Riobamba,0,0,0,0,0,0,0
Robertsport,0,0,0,0,0,0,0
Piazza Armerina,0,0,0,0,0,0,0
Pirai,0,0,0,0,0,0,0
Port Said,0,0,0,0,0,0,0
Plouzane,0,0,0,0,0,0,0
Port Hope,0,0,0,0,0,0,0
Porto Torres,0,0,0,0,0,0,0
Purwokerto,0,0,0,0,0,0,0
Puteaux,0,0,0,0,0,0,0
Qadian,0,0,0,0,0,0,0
Ramganj Mandi,0,0,0,0,0,0,0
Gloria Do Goita,0,0,0,0,0,0,0
Godda,0,0,0,0,0,0,0
Granite City,0,0,0,0,0,0,0
Governador Valadares,0,0,0,0,0,0,0
Goya,0,0,0,0,0,0,0
Graz,0,0,0,0,0,0,0
Guarabira,0,0,0,0,0,0,0
Greenbelt,0,0,0,0,0,0,0
Guliston,0,0,0,0,0,0,0
Guntakal,0,0,0,0,0,0,0
Haliyal,0,0,0,0,0,0,0
Hala,0,0,0,0,0,0,0
Hamamatsu,0,0,0,0,0,0,0
Heinsberg,0,0,0,0,0,0,0
Hendala,0,0,0,0,0,0,0
Helmond,0,0,0,0,0,0,0
Herford,0,0,0,0,0,0,0
Hennigsdorf,0,0,0,0,0,0,0
Hopatcong,0,0,0,0,0,0,0
Horsham,0,0,0,0,0,0,0
Ibia,0,0,0,0,0,0,0
Huaibei,0,0,0,0,0,0,0
Idappadi,0,0,0,0,0,0,0
Illingen,0,0,0,0,0,0,0
Illora,0,0,0,0,0,0,0
Irbit,0,0,0,0,0,0,0
Itapipoca,0,0,0,0,0,0,0
Ivangorod,0,0,0,0,0,0,0
Izhevsk,0,0,0,0,0,0,0
Jaspur,0,0,0,0,0,0,0
Jacksonville Beach,0,0,0,0,0,0,0
Jalalpur,0,0,0,0,0,0,0
Jatiroto,0,0,0,0,0,0,0
Jilava,0,0,0,0,0,0,0
Jimo,0,0,0,0,0,0,0
Jiamusi,0,0,0,0,0,0,0
Johvi,0,0,0,0,0,0,0
Jupiter,0,0,0,0,0,0,0
Juticalpa,0,0,0,0,0,0,0
Kaifeng,0,0,0,0,0,0,0
Kamenka,0,0,0,0,0,0,0
Kangundo,0,0,0,0,0,0,0
Karimganj,0,0,0,0,0,0,0
Karaman,0,0,0,0,0,0,0
Kasaragod,0,0,0,0,0,0,0
Kassala,0,0,0,0,0,0,0
Kati,0,0,0,0,0,0,0
Kawai,0,0,0,0,0,0,0
Kefamenanu,0,0,0,0,0,0,0
Kenda,0,0,0,0,0,0,0
Kentwood,0,0,0,0,0,0,0
Khambhat,0,0,0,0,0,0,0
Bang Phae,0,0,0,0,0,0,0
Bahsuma,0,0,0,0,0,0,0
Banyuwangi,0,0,0,0,0,0,0
Bar Le Duc,0,0,0,0,0,0,0
Barreiras,0,0,0,0,0,0,0
Beihai,0,0,0,0,0,0,0
Bellary,0,0,0,0,0,0,0
Belur,0,0,0,0,0,0,0
Bjelovar,0,0,0,0,0,0,0
Bogoroditsk,0,0,0,0,0,0,0
Bom Despacho,0,0,0,0,0,0,0
Bor,0,0,0,0,0,0,0
Bosilovo,0,0,0,0,0,0,0
Bouca,0,0,0,0,0,0,0
Bredasdorp,0,0,0,0,0,0,0
Brummen,0,0,0,0,0,0,0
Calatayud,0,0,0,0,0,0,0
Carlos Chagas,0,0,0,0,0,0,0
Campiglia Marittima,0,0,0,0,0,0,0
Cardenas,0,0,0,0,0,0,0
Cassia,0,0,0,0,0,0,0
Carrieres Sous Poissy,0,0,0,0,0,0,0
Chalala,0,0,0,0,0,0,0
Chamba,0,0,0,0,0,0,0
Chambas,0,0,0,0,0,0,0
Changde,0,0,0,0,0,0,0
Chanika,0,0,0,0,0,0,0
Charkhi Dadri,0,0,0,0,0,0,0
Chaville,0,0,0,0,0,0,0
Chateau Gontier,0,0,0,0,0,0,0
Cherrapunji,0,0,0,0,0,0,0
Chicama,0,0,0,0,0,0,0
Chelyabinsk 40,0,0,0,0,0,0,0
Circasia,0,0,0,0,0,0,0
Citrus Park,0,0,0,0,0,0,0
Ciudad Arce,0,0,0,0,0,0,0
Clement Town,0,0,0,0,0,0,0
Aberdare,0,0,0,0,0,0,0
Achkhoy Martan,0,0,0,0,0,0,0
Albano Laziale,0,0,0,0,0,0,0
Apple Valley,0,0,0,0,0,0,0
Arta,0,0,0,0,0,0,0
Anguillara Sabazia,0,0,0,0,0,0,0
Asse,0,0,0,0,0,0,0
Ario,0,0,0,0,0,0,0
Ertil,0,0,0,0,0,0,0
Ermelo,0,0,0,0,0,0,0
Eniwa,0,0,0,0,0,0,0
Eseka,0,0,0,0,0,0,0
Eschborn,0,0,0,0,0,0,0
Estreito,0,0,0,0,0,0,0
Euless,0,0,0,0,0,0,0
Exmouth,0,0,0,0,0,0,0
Fafe,0,0,0,0,0,0,0
Solna,0,0,0,0,0,0,0
Sonson,0,0,0,0,0,0,0
Fez,0,0,0,0,0,0,0
State College,0,0,0,0,0,0,0
Speedway,0,0,0,0,0,0,0
Sorgun,0,0,0,0,0,0,0
Subaytilah,0,0,0,0,0,0,0
Gainsborough,0,0,0,0,0,0,0
Gaeta,0,0,0,0,0,0,0
Gamping,0,0,0,0,0,0,0
Ganderkesee,0,0,0,0,0,0,0
Gap,0,0,0,0,0,0,0
Garca,0,0,0,0,0,0,0
Gavar,0,0,0,0,0,0,0
Gernsbach,0,0,0,0,0,0,0
Gengenbach,0,0,0,0,0,0,0
Giddalur,0,0,0,0,0,0,0
Davao,0,0,0,0,0,0,0
Dax,0,0,0,0,0,0,0
Deventer,0,0,0,0,0,0,0
Dhamnod,0,0,0,0,0,0,0
Draganesti Olt,0,0,0,0,0,0,0
Drezna,0,0,0,0,0,0,0
Dois Corregos,0,0,0,0,0,0,0
Drochia,0,0,0,0,0,0,0
El Tocuyo,0,0,0,0,0,0,0
Emsdetten,0,0,0,0,0,0,0
Compiegne,0,0,0,0,0,0,0
Coram,0,0,0,0,0,0,0
Correggio,0,0,0,0,0,0,0
Corum,0,0,0,0,0,0,0
Council Bluffs,0,0,0,0,0,0,0
Custodia,0,0,0,0,0,0,0
Saray,0,0,0,0,0,0,0
Serrinha,0,0,0,0,0,0,0
Schwelm,0,0,0,0,0,0,0
Severn,0,0,0,0,0,0,0
Imola,0,0,0,0,0,0,0
Inuyama,0,0,0,0,0,0,0
Ipero,0,0,0,0,0,0,0
Itacoatiara,0,0,0,0,0,0,0
Jesenik,0,0,0,0,0,0,0
Jucas,0,0,0,0,0,0,0
Kahuta,0,0,0,0,0,0,0
Junagadh,0,0,0,0,0,0,0
Kakuda,0,0,0,0,0,0,0
Kalat,0,0,0,0,0,0,0
Kaluderica,0,0,0,0,0,0,0
Kankon,0,0,0,0,0,0,0
Katoro,0,0,0,0,0,0,0
Hinwil,0,0,0,0,0,0,0
Hunxe,0,0,0,0,0,0,0
Khed Brahma,0,0,0,0,0,0,0
Kirchlinteln,0,0,0,0,0,0,0
