City,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Recycling_Count,Green_Area_Count
Presidente Dutra,224,0,0,0,0,0,0
Praskoveya,558,6,2,0,28,0,158
Priolo Gargallo,606,5,8,0,0,1,3
