id,lat,lon,aqi,pm25,pm10,no2,so2,co,o3,temp_c,humidity,wind_speed,wind_deg,weather_desc,roads,industrial,farmland,dump
pt_00043,9.440485,77.932831,66.0,,66.0,3.9,2.5,7.3,11.8,28.15,55.0,5.0,31.0,overcast clouds,3,0,0,0
pt_00044,9.440485,78.160492,66.0,,66.0,3.9,2.5,7.3,11.8,28.06,59.0,6.82,27.0,overcast clouds,1,1,0,0
pt_00045,9.440485,78.388153,77.0,,77.0,0.9,2.0,3.2,1.9,28.51,59.0,7.42,24.0,overcast clouds,8,0,0,0
pt_00046,9.440485,78.615815,77.0,,77.0,0.9,2.0,3.2,1.9,29.08,56.0,7.24,21.0,overcast clouds,8,0,0,0
pt_00047,9.440485,78.843476,77.0,,77.0,0.9,2.0,3.2,1.9,28.55,60.0,7.64,26.0,overcast clouds,1,0,0,0
pt_00048,9.665062,76.344611,158.0,158.0,66.0,2.4,0.3,9.1,6.9,27.19,64.0,3.45,309.0,overcast clouds,98,2,4,0
pt_00049,9.665062,76.572423,158.0,158.0,66.0,2.4,0.3,9.1,6.9,32.21,43.0,1.29,317.0,overcast clouds,28,0,1,0
pt_00050,9.665062,76.800234,158.0,158.0,66.0,2.4,0.3,9.1,6.9,32.01,44.0,1.97,277.0,overcast clouds,13,0,0,0
pt_00051,9.665062,77.028045,158.0,158.0,66.0,2.4,0.3,9.1,6.9,27.51,45.0,1.9,76.0,overcast clouds,5,0,0,0
pt_00052,9.665062,77.255857,60.0,,60.0,1.5,9.1,4.9,,27.93,52.0,2.9,57.0,overcast clouds,3,0,0,0
pt_00053,9.665062,77.483668,60.0,,60.0,1.5,9.1,4.9,,26.25,52.0,2.51,59.0,overcast clouds,3,0,0,0
pt_00054,9.665062,77.711479,60.0,,60.0,1.5,9.1,4.9,,28.11,51.0,2.81,50.0,overcast clouds,2,0,0,0
pt_00055,9.665062,77.939291,60.0,,60.0,1.5,9.1,4.9,,30.15,53.0,3.97,32.0,overcast clouds,0,0,0,0
pt_00056,9.665062,78.167102,60.0,,60.0,1.5,9.1,4.9,,30.36,59.0,6.45,27.0,overcast clouds,2,0,0,0
pt_00057,9.665062,78.394913,77.0,,77.0,0.9,2.0,3.2,1.9,27.93,61.0,7.45,23.0,overcast clouds,0,0,0,0
pt_00058,9.665062,78.622725,77.0,,77.0,0.9,2.0,3.2,1.9,28.44,59.0,7.4,18.0,overcast clouds,3,0,0,0
pt_00059,9.665062,78.850536,77.0,,77.0,0.9,2.0,3.2,1.9,28.6,59.0,7.35,24.0,overcast clouds,7,0,0,0
pt_00060,9.88964,76.578118,158.0,158.0,66.0,2.4,0.3,9.1,6.9,31.99,43.0,1.29,323.0,overcast clouds,16,0,0,0
pt_00061,9.88964,76.806083,158.0,158.0,66.0,2.4,0.3,9.1,6.9,31.46,44.0,1.95,290.0,overcast clouds,12,0,0,0
pt_00062,9.88964,77.034048,158.0,158.0,66.0,2.4,0.3,9.1,6.9,27.88,46.0,2.12,125.0,overcast clouds,10,0,0,0
pt_00063,9.88964,77.262014,60.0,,60.0,1.5,9.1,4.9,,25.92,58.0,2.6,110.0,overcast clouds,2,0,0,0
pt_00064,9.88964,77.489979,60.0,,60.0,1.5,9.1,4.9,,26.28,59.0,2.15,78.0,overcast clouds,8,0,0,0
pt_00065,9.88964,77.717944,60.0,,60.0,1.5,9.1,4.9,,27.16,52.0,2.87,42.0,overcast clouds,2,0,0,0
pt_00066,9.88964,77.945909,60.0,,60.0,1.5,9.1,4.9,,29.93,58.0,4.12,60.0,haze,8,0,0,0
pt_00067,9.88964,78.173875,60.0,,60.0,1.5,9.1,4.9,,30.07,58.0,4.12,60.0,haze,59,1,0,0
pt_00068,9.88964,78.40184,60.0,,60.0,1.5,9.1,4.9,,27.52,62.0,7.38,20.0,overcast clouds,6,0,0,0
pt_00069,9.88964,78.629805,77.0,,77.0,0.9,2.0,3.2,1.9,27.65,60.0,7.48,15.0,overcast clouds,0,0,0,0
pt_00070,9.88964,78.857771,77.0,,77.0,0.9,2.0,3.2,1.9,28.41,58.0,7.27,19.0,overcast clouds,6,0,0,0
pt_00071,9.88964,79.085736,77.0,,77.0,0.9,2.0,3.2,1.9,27.91,63.0,7.67,23.0,overcast clouds,0,0,0,0
pt_00072,10.114218,76.355828,158.0,158.0,66.0,2.4,0.3,9.1,6.9,30.96,51.0,1.03,270.0,haze,68,0,1,0
pt_00073,10.114218,76.583951,158.0,158.0,66.0,2.4,0.3,9.1,6.9,30.81,42.0,1.32,271.0,overcast clouds,15,0,0,0
pt_00074,10.114218,76.812073,158.0,158.0,66.0,2.4,0.3,9.1,6.9,30.82,40.0,2.4,270.0,overcast clouds,2,0,0,0
pt_00075,10.114218,77.040196,158.0,158.0,66.0,2.4,0.3,9.1,6.9,22.8,47.0,1.22,245.0,overcast clouds,47,0,4,0
pt_00076,10.114218,77.268319,60.0,,60.0,1.5,9.1,4.9,,16.1,61.0,2.45,102.0,overcast clouds,0,0,0,0
pt_00077,10.114218,77.496442,60.0,,60.0,1.5,9.1,4.9,,27.54,59.0,2.35,96.0,overcast clouds,2,0,0,0
pt_00078,10.114218,77.724565,60.0,,60.0,1.5,9.1,4.9,,27.89,52.0,3.29,56.0,overcast clouds,7,1,0,0
pt_00079,10.114218,77.952688,60.0,,60.0,1.5,9.1,4.9,,27.23,54.0,3.27,28.0,overcast clouds,4,0,0,0
pt_00080,10.114218,78.180811,60.0,,60.0,1.5,9.1,4.9,,26.2,61.0,4.66,20.0,overcast clouds,3,0,0,0
pt_00081,10.114218,78.408934,60.0,,60.0,1.5,9.1,4.9,,26.99,63.0,6.49,16.0,overcast clouds,2,0,0,0
pt_00082,10.114218,78.637057,60.0,,60.0,1.5,9.1,4.9,,27.5,61.0,7.27,12.0,overcast clouds,13,0,0,0
pt_00083,10.114218,78.86518,77.0,,77.0,0.9,2.0,3.2,1.9,27.75,59.0,7.17,17.0,overcast clouds,11,0,0,0
pt_00084,10.114218,79.093303,77.0,,77.0,0.9,2.0,3.2,1.9,27.99,61.0,7.48,21.0,overcast clouds,9,0,0,0
pt_00085,10.338796,76.133353,93.0,93.0,51.0,3.3,0.4,2.6,12.4,29.91,49.0,1.59,25.0,overcast clouds,56,0,0,0
pt_00086,10.338796,76.361637,93.0,93.0,51.0,3.3,0.4,2.6,12.4,30.83,40.0,0.89,342.0,overcast clouds,27,0,5,0
pt_00087,10.338796,76.589921,158.0,158.0,66.0,2.4,0.3,9.1,6.9,27.59,44.0,0.98,321.0,overcast clouds,0,0,0,0
pt_00088,10.338796,76.818205,158.0,158.0,66.0,2.4,0.3,9.1,6.9,26.36,46.0,1.07,320.0,overcast clouds,0,0,0,0
pt_00089,10.338796,77.04649,140.0,140.0,72.0,7.9,9.5,3.8,6.6,18.68,57.0,2.42,353.0,overcast clouds,0,0,0,0
pt_00090,10.338796,77.274774,140.0,140.0,72.0,7.9,9.5,3.8,6.6,27.34,64.0,3.19,38.0,overcast clouds,0,0,0,0
pt_00091,10.338796,77.503058,60.0,,60.0,1.5,9.1,4.9,,26.06,58.0,2.39,32.0,overcast clouds,0,0,0,0
