city,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI
Sattur,9.3516337,77.9211286,42.99,Good,54.47,Satisfactory,324.39,Very Poor,14.6,Good,6.4,Good,86.0,Satisfactory,3
Rajapalayam,9.4456102,77.5542849,55.87,Satisfactory,62.47,Satisfactory,236.24,Poor,2.72,Good,4.28,Good,125.65,Moderate,4
Devipattinam,9.4749165,78.8967566,20.59,Good,26.56,Good,169.43,Moderate,3.37,Good,2.91,Good,93.29,Satisfactory,2
Alappuzha,9.4923271,76.3291487,67.05,Satisfactory,74.1,Satisfactory,234.94,Poor,0.81,Good,3.09,Good,128.39,Moderate,4
Aruppukkottai,9.5073229,78.0958971,44.84,Good,59.2,Satisfactory,466.61,Severe,28.36,Good,9.22,Good,53.63,Satisfactory,3
Virudhunagar,9.58224,77.9537,48.52,Good,60.29,Satisfactory,392.94,Very Poor,20.14,Good,7.64,Good,76.8,Satisfactory,3
Thondi,9.7422651,79.0175877,20.24,Good,26.48,Good,166.48,Moderate,2.51,Good,2.73,Good,94.07,Satisfactory,2
Painavu,9.8540061,76.9446486,81.91,Satisfactory,90.03,Satisfactory,295.66,Poor,2.49,Good,4.6,Good,149.62,Moderate,5
Usilampatti,9.9648653,77.7898611,46.97,Good,56.63,Satisfactory,313.99,Very Poor,11.65,Good,6.09,Good,95.91,Satisfactory,3
Muvattupuzha,9.9831493,76.5781613,79.83,Satisfactory,87.66,Satisfactory,270.48,Poor,1.36,Good,3.53,Good,139.53,Moderate,5
Theni,10.0108143,77.4810104,50.85,Satisfactory,61.0,Satisfactory,309.77,Very Poor,8.7,Good,6.47,Good,109.44,Moderate,4
Melur,10.0309005,78.337589,29.98,Good,38.3,Good,281.0,Poor,14.0,Good,5.58,Good,71.0,Satisfactory,3
Angamaly,10.1910284,76.3874109,84.66,Satisfactory,92.66,Satisfactory,269.37,Poor,0.78,Good,2.96,Good,137.54,Moderate,5
Natham,10.2256894,78.2299964,36.55,Good,45.99,Good,301.09,Very Poor,13.27,Good,5.41,Good,70.39,Satisfactory,3
Chinnalapatti,10.2767592,77.9218398,48.62,Good,59.73,Satisfactory,352.17,Very Poor,14.73,Good,5.54,Good,76.2,Satisfactory,3
Dindigul,10.365646,77.9693256,48.62,Good,59.73,Satisfactory,352.17,Very Poor,14.73,Good,5.54,Good,76.2,Satisfactory,3
Thuvarankurichchi,10.3758009,78.3872851,36.55,Good,45.99,Good,301.09,Very Poor,13.27,Good,5.41,Good,70.39,Satisfactory,3
Muthupet,10.3956923,79.4944659,21.84,Good,29.2,Good,175.33,Moderate,2.94,Good,2.73,Good,91.19,Satisfactory,2
Vedasandur,10.5324146,77.9463173,59.36,Satisfactory,71.93,Satisfactory,386.46,Very Poor,14.8,Good,5.29,Good,74.94,Satisfactory,4
Udumalapettai,10.5839,77.25,84.9,Satisfactory,96.38,Satisfactory,405.72,Severe,11.51,Good,6.51,Good,127.02,Moderate,5
Orathanadu,10.6296502,79.2515516,28.0,Good,35.47,Good,213.01,Poor,6.86,Good,4.49,Good,84.96,Satisfactory,3
Kilvelur,10.7690209,79.7421122,22.38,Good,29.9,Good,185.17,Moderate,4.48,Good,3.18,Good,85.69,Satisfactory,2
Thanjavur,10.7860267,79.1381497,29.14,Good,36.34,Good,217.52,Poor,7.17,Good,5.3,Good,87.52,Satisfactory,3
Lalgudi,10.877163,78.8138944,34.8,Good,42.92,Good,272.58,Poor,10.7,Good,6.67,Good,80.67,Satisfactory,3
Kodavasal,10.8552828,79.4809565,27.07,Good,34.54,Good,214.5,Poor,7.27,Good,4.95,Good,83.3,Satisfactory,3
Musiri,10.951573,78.4419808,48.56,Good,59.46,Satisfactory,362.05,Very Poor,14.8,Good,7.23,Good,76.18,Satisfactory,3
Karur,10.9596041,78.0807797,71.46,Satisfactory,87.34,Satisfactory,482.12,Severe,20.03,Good,7.4,Good,69.85,Satisfactory,4
Kumbakonam,10.9604108,79.3820861,30.2,Good,37.7,Good,229.27,Poor,8.37,Good,5.77,Good,83.23,Satisfactory,3
Palladam,10.9962313,77.2835582,82.64,Satisfactory,94.75,Satisfactory,413.99,Severe,12.91,Good,6.01,Good,112.09,Moderate,5
Thottiyam,10.9891847,78.3354402,60.01,Satisfactory,73.4,Satisfactory,424.83,Severe,17.54,Good,7.33,Good,72.99,Satisfactory,4
Coimbatore,11.0018115,76.9628425,71.91,Satisfactory,82.66,Satisfactory,351.31,Very Poor,8.95,Good,6.23,Good,128.93,Moderate,4
Kangeyam,11.0060598,77.5607403,69.82,Satisfactory,82.29,Satisfactory,392.44,Very Poor,13.54,Good,4.91,Good,81.9,Satisfactory,4
Thathaiyangarpet,11.121255,78.4496465,56.55,Satisfactory,69.21,Satisfactory,436.86,Severe,19.52,Good,8.44,Good,71.94,Satisfactory,4
Thuraiyur,11.1518947,78.5957098,56.55,Satisfactory,69.21,Satisfactory,436.86,Severe,19.52,Good,8.44,Good,71.94,Satisfactory,4
Ariyalur,11.1357708,79.0723203,35.86,Good,44.28,Good,284.18,Poor,11.88,Good,7.14,Good,76.45,Satisfactory,3
Jayankondam,11.2119861,79.3648642,34.59,Good,42.17,Good,261.52,Poor,11.36,Good,8.31,Good,79.8,Satisfactory,3
Perambalur,11.2356695,78.8688353,43.84,Good,54.34,Satisfactory,370.32,Very Poor,16.92,Good,7.77,Good,62.45,Satisfactory,3
Sendurai,11.2538986,79.1771548,39.22,Good,48.26,Good,316.8,Very Poor,14.18,Good,8.04,Good,71.01,Satisfactory,3
Sendamangalam,11.2812016,78.2350768,80.62,Satisfactory,97.47,Satisfactory,586.52,Severe,28.08,Good,11.49,Good,80.15,Satisfactory,5
Tiruchengodu,11.3786608,77.8949223,83.93,Satisfactory,100.73,Moderate,565.4,Severe,25.79,Good,10.47,Good,85.05,Satisfactory,5
Tittakudi,11.402175,79.1210712,40.01,Good,48.91,Good,303.28,Very Poor,14.92,Good,12.14,Good,76.96,Satisfactory,3
Pennadam,11.4028109,79.2416716,37.12,Good,45.28,Good,272.61,Poor,14.12,Good,12.84,Good,79.91,Satisfactory,3
Udhagamandalam,11.4126769,76.7030504,69.85,Satisfactory,80.87,Satisfactory,327.7,Very Poor,7.09,Good,6.09,Good,125.03,Moderate,4
Bhavani,11.4405993,77.6824386,60.23,Satisfactory,72.73,Satisfactory,406.68,Severe,16.4,Good,7.12,Good,86.51,Satisfactory,4
Sankagiri,11.4760857,77.8704045,67.36,Satisfactory,80.99,Satisfactory,467.34,Severe,20.63,Good,9.05,Good,92.46,Satisfactory,4
Veeraganur,11.4761379,78.7380844,45.8,Good,56.16,Satisfactory,362.32,Very Poor,16.45,Good,10.76,Good,71.2,Satisfactory,3
Parangipettai,11.4905673,79.7568983,29.37,Good,37.15,Good,242.19,Poor,11.12,Good,8.41,Good,78.78,Satisfactory,3
Gangavalli,11.499684,78.6447079,45.8,Good,56.16,Satisfactory,362.32,Very Poor,16.45,Good,10.76,Good,71.2,Satisfactory,3
Attayampatti,11.531861,78.0508039,74.49,Satisfactory,89.24,Satisfactory,523.04,Severe,24.53,Good,10.82,Good,97.82,Satisfactory,4
Anthiyur,11.575293,77.5886003,53.1,Satisfactory,64.48,Satisfactory,341.07,Very Poor,11.86,Good,5.06,Good,79.97,Satisfactory,4
Kalpetta,11.610278,76.08281,91.17,Satisfactory,101.13,Moderate,294.04,Poor,1.17,Good,4.4,Good,149.05,Moderate,5
Kallakurichi,11.7406259,78.9637131,41.97,Good,50.73,Satisfactory,295.31,Poor,14.45,Good,15.18,Good,85.86,Satisfactory,3
Thiyagadurgam,11.7417773,79.0733496,40.81,Good,49.56,Good,289.59,Poor,15.66,Good,16.28,Good,82.97,Satisfactory,3
Mettur,11.7902463,77.7980929,49.29,Good,59.98,Satisfactory,348.27,Very Poor,13.55,Good,6.81,Good,95.47,Satisfactory,3
Yercaud,11.7852074,78.2075392,49.24,Good,58.96,Satisfactory,349.45,Very Poor,15.42,Good,10.06,Good,99.56,Satisfactory,3
Gundlupet,11.808496,76.6916141,89.25,Satisfactory,101.58,Moderate,378.7,Very Poor,7.21,Good,7.42,Good,136.07,Moderate,5
Sankarapuram,11.8873761,78.9166118,41.04,Good,48.92,Good,256.69,Poor,13.18,Good,18.98,Good,97.86,Satisfactory,3
Chamarajanagara,11.9238058,76.9393558,80.87,Satisfactory,93.75,Satisfactory,401.08,Severe,10.08,Good,8.79,Good,125.22,Moderate,5
Puducherry,11.9340568,79.8306447,29.92,Good,38.41,Good,256.41,Poor,11.56,Good,8.8,Good,78.33,Satisfactory,3
Taliparamba,12.0373542,75.3602841,92.68,Satisfactory,99.64,Satisfactory,307.25,Very Poor,0.64,Good,2.21,Good,137.64,Moderate,5
Sreekandapuram,12.0472242,75.5104585,95.2,Satisfactory,103.1,Moderate,311.74,Very Poor,0.77,Good,2.76,Good,141.32,Moderate,5
Hanur,12.0870315,77.3017969,53.91,Satisfactory,66.41,Satisfactory,408.69,Severe,15.27,Good,8.0,Good,107.93,Moderate,4
Yelanduru,12.0463301,77.0306546,66.25,Satisfactory,80.05,Satisfactory,448.74,Severe,15.97,Good,8.92,Good,113.01,Moderate,4
Nileshwaram,12.250817,75.1281569,83.17,Satisfactory,88.88,Satisfactory,295.44,Poor,0.52,Good,1.46,Good,132.33,Moderate,5
Nanjanagudu,12.1186851,76.6817502,87.46,Satisfactory,101.02,Moderate,445.18,Severe,11.88,Good,8.19,Good,130.06,Moderate,5
Kollegal,12.1560966,77.1071726,66.25,Satisfactory,80.05,Satisfactory,448.74,Severe,15.97,Good,8.92,Good,113.01,Moderate,4
Tiruvannamalai,12.2343228,79.0761989,43.72,Good,54.23,Satisfactory,311.06,Very Poor,17.92,Good,16.69,Good,83.29,Satisfactory,3
Chengam,12.3075866,78.7931408,38.99,Good,47.84,Good,292.92,Poor,13.42,Good,15.87,Good,102.51,Moderate,3
Periyapatna,12.3372494,76.0988013,100.32,Moderate,109.47,Moderate,355.39,Very Poor,2.07,Good,4.13,Good,147.5,Moderate,5
Cheyur,12.3521251,80.0037515,34.24,Good,42.96,Good,240.46,Poor,7.86,Good,8.12,Good,97.68,Satisfactory,3
Malavalli,12.3864073,77.0589464,64.43,Satisfactory,79.94,Satisfactory,515.64,Severe,20.83,Good,9.53,Good,108.9,Moderate,4
Krishnarajanagara,12.438561,76.3836699,103.52,Moderate,112.61,Moderate,393.74,Very Poor,3.3,Good,5.0,Good,147.09,Moderate,5
Rayakottai,12.5136509,78.0323496,34.6,Good,42.69,Good,274.91,Poor,15.49,Good,10.07,Good,107.22,Moderate,3
Sulya,12.5576644,75.3907575,79.72,Satisfactory,85.62,Satisfactory,299.14,Poor,0.63,Good,1.46,Good,132.86,Moderate,5
Saligrama,12.5601566,76.2628551,103.52,Moderate,112.61,Moderate,393.74,Very Poor,3.3,Good,5.0,Good,147.09,Moderate,5
Jolarpet,12.5643214,78.5797192,37.04,Good,46.2,Good,305.08,Very Poor,15.24,Good,13.4,Good,102.72,Moderate,3
Somwarpet,12.5971883,75.8466865,92.38,Satisfactory,100.0,Satisfactory,345.39,Very Poor,1.64,Good,2.92,Good,140.5,Moderate,5
Krishnarajapete,12.6655205,76.4896194,73.52,Satisfactory,84.4,Satisfactory,441.69,Severe,12.9,Good,5.92,Good,113.84,Moderate,4
Channapattana,12.6544559,77.2042594,41.24,Good,53.45,Satisfactory,450.13,Severe,19.42,Good,6.8,Good,98.94,Satisfactory,3
Subramanya,12.6677868,75.6131771,73.61,Satisfactory,80.01,Satisfactory,299.85,Poor,1.2,Good,1.89,Good,133.25,Moderate,4
Vaniyambadi,12.6787174,78.6199879,35.7,Good,46.01,Good,339.53,Very Poor,17.01,Good,12.0,Good,89.36,Satisfactory,3
Vepanapalli,12.7017272,78.1944154,30.35,Good,37.74,Good,271.8,Poor,14.66,Good,7.93,Good,97.34,Satisfactory,3
Anekal,12.7086373,77.6993972,32.48,Good,42.22,Good,367.63,Very Poor,16.68,Good,6.57,Good,97.99,Satisfactory,3
Ramanagara,12.7252766,77.2804797,41.24,Good,53.45,Satisfactory,450.13,Severe,19.42,Good,6.8,Good,98.94,Satisfactory,3
Arkalgud,12.7627771,76.0623411,79.18,Satisfactory,87.26,Satisfactory,360.11,Very Poor,5.24,Good,3.61,Good,124.86,Moderate,5
Puttur,12.7632858,75.2018421,72.29,Satisfactory,78.0,Satisfactory,289.46,Poor,0.8,Good,1.48,Good,130.54,Moderate,4
Holenarasipura,12.7852158,76.2431266,81.96,Satisfactory,90.88,Satisfactory,390.27,Very Poor,7.27,Good,4.48,Good,120.67,Moderate,5
Ullal,12.8181202,74.8459375,69.92,Satisfactory,75.14,Satisfactory,279.16,Poor,0.59,Good,1.16,Good,128.1,Moderate,4
Nagamangala,12.8196077,76.7542189,46.3,Good,55.91,Satisfactory,408.4,Severe,15.71,Good,4.93,Good,96.11,Satisfactory,3
Sarjapura,12.8600866,77.7861352,26.93,Good,35.29,Good,346.97,Very Poor,15.66,Good,5.23,Good,89.86,Satisfactory,3
Shravanabelagola,12.858127,76.4870114,53.35,Satisfactory,62.53,Satisfactory,398.04,Very Poor,13.54,Good,4.45,Good,95.22,Satisfactory,4
Mangaluru,12.8698101,74.8430082,69.92,Satisfactory,75.14,Satisfactory,279.16,Poor,0.59,Good,1.16,Good,128.1,Moderate,4
Kolar Gold Fields,12.9545994,78.2731252,28.44,Good,36.54,Good,298.59,Poor,15.52,Good,6.87,Good,84.55,Satisfactory,3
Magadi,12.9567353,77.2242281,31.32,Good,40.79,Good,394.63,Very Poor,16.91,Good,5.09,Good,92.79,Satisfactory,3
Belthangadi,12.9903521,75.2825052,64.86,Satisfactory,70.39,Satisfactory,279.78,Poor,0.97,Good,1.5,Good,128.22,Moderate,4
Maluru,13.0060343,77.9382839,21.61,Good,28.1,Good,295.56,Poor,13.81,Good,3.79,Good,79.72,Satisfactory,2
Bethamangala,13.0053979,78.3303624,24.75,Good,32.59,Good,302.7,Very Poor,15.59,Good,4.49,Good,74.59,Satisfactory,2
Moodabidri,13.0699218,74.9977469,65.0,Satisfactory,70.15,Satisfactory,274.03,Poor,0.63,Good,1.17,Good,127.05,Moderate,4
Mulki,13.0904094,74.7870474,67.46,Satisfactory,72.44,Satisfactory,271.5,Poor,0.53,Good,1.01,Good,127.92,Moderate,4
Arakkonam,13.0839782,79.6700892,47.92,Good,57.78,Satisfactory,314.49,Very Poor,11.87,Good,6.29,Good,100.09,Moderate,3
Avadi,13.1194809,80.1026704,49.93,Good,59.71,Satisfactory,305.81,Very Poor,11.3,Good,7.92,Good,104.94,Moderate,3
Kolar,13.1367201,78.1337246,21.83,Good,27.83,Good,265.6,Poor,13.05,Good,3.75,Good,78.1,Satisfactory,2
Turuvekere,13.1627196,76.6680675,27.51,Good,33.9,Good,326.51,Very Poor,13.15,Good,2.57,Good,85.06,Satisfactory,3
