city,country,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,temperature,humidity,wind_speed,wind_deg,timestamp
Aurillac,FR,44.92008000008151,2.4410819997787825,4.34,Good,8.87,Good,143.8,Unhealthy,3.52,Good,0.35,Good,58.7,Moderate,1,12.78,76,3.09,130,2025-12-11T14:50:31
Saint-Nazaire,FR,47.264120000018075,-2.249857999845733,1.73,Good,2.97,Good,120.19,Unhealthy,0.6,Good,0.07,Good,72.81,Unhealthy,2,10.87,100,4.12,110,2025-12-11T14:44:03
La Villedieu,FR,46.8022145735861,4.41750134226911,6.22,Good,7.67,Good,178.63,Unhealthy,9.17,Good,0.51,Good,42.44,Good,1,9.68,92,1.84,110,2025-12-11T14:50:31
Angers,FR,47.46851299991581,-0.5560529998735877,4.98,Good,7.21,Good,191.43,Unhealthy,8.99,Good,0.37,Good,24.97,Good,1,9.3,99,3.72,134,2025-12-11T14:44:03
Léognan,FR,44.7224999994632,-0.576111,2.85,Good,4.43,Good,121.99,Unhealthy,2.41,Good,0.22,Good,66.19,Moderate,2,11.68,99,3.6,150,2025-12-11T14:50:31
Saint-Félix-Lauragais,FR,43.44139000018022,1.8219439996958304,2.33,Good,3.96,Good,96.49,Unhealthy,1.39,Good,0.4,Good,68.56,Moderate,2,14.86,74,4.89,128,2025-12-11T14:50:31
Le Puy-en-Velay,FR,45.038999999839014,3.8870009997040484,3.92,Good,6.59,Good,142.43,Unhealthy,3.65,Good,0.36,Good,56.21,Moderate,1,10.38,81,0.88,173,2025-12-11T14:50:31
Grenoble,FR,45.1583816929606,5.70376306498849,7.57,Good,12.95,Good,173.33,Unhealthy,8.41,Good,2.0,Good,54.33,Unhealthy,1,11.49,83,0.62,328,2025-12-11T14:50:31
Fontaine,FR,45.1904389994632,5.686964,7.57,Good,12.95,Good,173.33,Unhealthy,8.41,Good,2.0,Good,54.33,Unhealthy,1,11.6,83,0.72,335,2025-12-11T14:50:31
Remiremont,FR,48.0246097658125,6.58583680877113,8.86,Good,10.02,Good,204.43,Unhealthy,11.46,Good,0.56,Good,29.89,Good,1,8.89,93,0.46,75,2025-12-11T14:50:31
Lons,FR,43.310832999999995,-0.391111,3.13,Good,5.73,Good,113.22,Unhealthy,1.85,Good,0.18,Good,74.45,Unhealthy,2,11.9,87,3.09,100,2025-12-11T14:50:31
Albertville,FR,45.67500000012494,6.389722000443968,8.86,Good,11.25,Good,194.43,Unhealthy,12.95,Good,1.69,Good,47.8,Good,1,10.14,79,0.56,108,2025-12-11T14:50:31
Chamonix,FR,45.90722299981236,6.84583299985817,18.12,Moderate,19.56,Good,288.61,Unhealthy,22.39,Good,3.83,Good,47.0,Good,2,4.82,81,1.32,165,2025-12-11T14:50:31
Brive-la-Gaillarde,FR,45.15873700024017,1.5372590000235633,4.14,Good,6.9,Good,160.6,Unhealthy,5.62,Good,0.47,Good,52.78,Good,1,13.2,87,1.82,150,2025-12-11T14:50:31
Lens,FR,50.43680925415101,2.8266837887746923,14.42,Moderate,19.21,Good,412.1,Unhealthy,37.55,Good,2.59,Good,15.66,Good,2,6.97,90,3.62,169,2025-12-11T14:50:31
Saint-Georges-de-Mons,FR,45.9293204617359,2.82980992596343,2.88,Good,4.28,Good,118.91,Unhealthy,2.25,Good,0.22,Good,58.89,Moderate,1,9.29,90,1.04,127,2025-12-11T14:50:31
Arrondissement de Poitiers,FR,46.58691799999999,0.358583,4.15,Good,6.04,Good,189.13,Unhealthy,6.13,Good,0.43,Good,34.88,Good,1,9.98,100,2.06,150,2025-12-11T14:50:31
Wattignies,FR,50.59774000018877,3.049460000049802,11.77,Good,16.19,Good,359.64,Unhealthy,31.5,Good,2.39,Good,17.8,Good,2,7.08,98,5.14,160,2025-12-11T14:50:31
Glenn Dale,US,39.0284,-76.8172,0.61,Good,1.09,Good,174.21,Unhealthy,5.67,Good,1.0,Good,61.1,Moderate,2,1.63,53,6.17,290,2025-12-11T14:50:31
Vilamarxant,ES,39.56472222016688,-0.6255555500996574,7.19,Good,12.17,Good,111.92,Unhealthy,0.85,Good,0.42,Good,86.19,Unhealthy,2,16.59,66,2.06,160,2025-12-11T14:50:31
Temuco,CL,-38.741117781936,-72.582314014435,1.07,Good,1.8,Good,70.46,Unhealthy,0.24,Good,0.17,Good,27.47,Good,1,21.5,45,2.31,226,2025-12-11T14:50:31
Vannes,FR,47.6566951743188,-2.75819623151342,1.26,Good,2.27,Good,115.93,Unhealthy,0.62,Good,0.2,Good,78.47,Unhealthy,2,10.7,98,4.63,150,2025-12-11T14:50:31
Avilés,ES,43.5518999994638,-5.918,0.83,Good,0.91,Good,98.77,Unhealthy,1.02,Good,0.83,Good,79.32,Unhealthy,2,16.95,69,0.0,0,2025-12-11T14:50:31
Lincoln,US,40.812558,-96.675733,2.15,Good,2.77,Good,176.56,Unhealthy,6.38,Good,0.16,Good,44.18,Good,1,-1.9,80,4.63,120,2025-12-11T14:50:01
Altsasu/Alsasua,ES,42.8944399994645,-2.16583,4.44,Good,7.24,Good,94.23,Unhealthy,0.57,Good,0.16,Good,74.17,Unhealthy,2,13.22,80,2.86,160,2025-12-11T14:50:31
Kayseri Province,TR,38.72497671175835,35.51556411683382,4.39,Good,4.97,Good,222.88,Unhealthy,12.56,Good,0.88,Good,45.95,Good,1,5.49,81,3.6,320,2025-12-11T14:50:31
Stockerau,AT,48.38527700028432,16.182221999607354,21.56,Moderate,26.02,Good,380.49,Unhealthy,25.02,Good,1.86,Good,24.51,Good,2,9.16,84,2.06,260,2025-12-11T14:50:31
Ostrava,CZ,49.83984756493202,18.28997612000419,23.85,Moderate,28.78,Good,415.03,Unhealthy,25.21,Good,2.0,Good,11.32,Good,2,6.29,100,2.7,215,2025-12-11T14:50:31
Kilkenny,IE,52.638797999971516,-7.268113999932961,0.86,Good,1.16,Good,116.07,Unhealthy,1.53,Good,0.4,Good,87.14,Unhealthy,2,7.73,94,4.97,300,2025-12-11T14:50:31
Hengchun,TW,21.958069,120.78892799999998,6.66,Good,14.81,Good,127.25,Unhealthy,0.6,Good,0.52,Good,101.05,Unhealthy,3,21.65,76,10.48,46,2025-12-11T14:50:31
Torrevieja,ES,37.9911111098369,-0.689999999574569,9.2,Good,17.96,Good,125.42,Unhealthy,1.88,Good,0.93,Good,79.66,Unhealthy,2,17.24,73,1.34,29,2025-12-11T14:50:31
Guting,TW,25.046503,121.507972,21.89,Moderate,26.64,Good,398.5,Unhealthy,46.04,Good,5.18,Good,8.17,Good,2,20.97,70,5.66,80,2025-12-11T14:50:31
Taitung City,TW,22.755358,121.15044999999999,10.07,Good,19.88,Good,150.86,Unhealthy,1.03,Good,1.52,Good,103.62,Unhealthy,3,20.9,81,4.0,6,2025-12-11T14:50:31
Touchongbu,TW,24.740644,121.088903,29.22,Moderate,39.11,Good,519.26,Unhealthy,42.22,Good,16.21,Good,26.58,Good,3,19.36,76,3.68,61,2025-12-11T14:50:31
Dingjiaotan,TW,24.382942,120.758833,28.21,Moderate,44.32,Good,267.27,Unhealthy,22.51,Good,43.29,Moderate,72.75,Unhealthy,3,15.81,88,2.57,20,2025-12-11T14:50:31
Lugu,TW,23.756389,120.677306,31.87,Moderate,48.91,Good,284.23,Unhealthy,21.64,Good,41.66,Moderate,74.87,Unhealthy,3,18.91,67,1.6,144,2025-12-11T14:50:31
Pingtung City,TW,22.673081,120.48803299999999,14.51,Moderate,25.88,Good,163.26,Unhealthy,1.49,Good,3.71,Good,102.58,Unhealthy,3,21.86,68,1.54,350,2025-12-11T14:50:31
Taipei,TW,25.0632,121.513311,21.89,Moderate,26.64,Good,398.5,Unhealthy,46.04,Good,5.18,Good,8.17,Good,2,21.0,69,5.66,80,2025-12-11T14:50:31
Kaohsiung City,TW,22.605386,120.307564,17.04,Moderate,29.13,Good,169.26,Unhealthy,1.64,Good,5.32,Good,103.25,Unhealthy,3,22.0,68,1.54,350,2025-12-11T14:50:31
Hsinchu,TW,24.805619000000004,120.972075,28.18,Moderate,42.6,Good,356.23,Unhealthy,30.09,Good,19.84,Good,54.86,Unhealthy,3,19.94,76,3.58,30,2025-12-11T14:50:31
Songwu,TW,24.952786,121.203986,26.99,Moderate,33.51,Good,574.02,Unhealthy,59.82,Moderate,7.78,Good,4.44,Good,3,20.87,71,7.72,60,2025-12-11T14:50:31
Lingen,DE,52.498550000072555,7.317470000044418,7.25,Good,15.4,Good,257.61,Unhealthy,31.87,Good,6.12,Good,19.06,Good,1,8.95,83,4.29,210,2025-12-11T14:50:31
Keelung,TW,25.129167,121.760056,19.87,Moderate,22.7,Good,309.79,Unhealthy,28.04,Good,2.85,Good,9.35,Good,2,22.87,59,6.52,40,2025-12-11T14:50:31
Chikanlou,TW,23.048333,120.21833300000002,25.93,Moderate,42.29,Good,205.2,Unhealthy,5.69,Good,17.12,Good,97.27,Unhealthy,3,19.06,82,1.03,10,2025-12-11T14:50:31
Fongshan District,TW,22.627392,120.35808299999998,17.04,Moderate,29.13,Good,169.26,Unhealthy,1.64,Good,5.32,Good,103.25,Unhealthy,3,21.92,68,1.54,350,2025-12-11T14:50:31
Chishan,TW,22.733667,120.328289,17.04,Moderate,29.13,Good,169.26,Unhealthy,1.64,Good,5.32,Good,103.25,Unhealthy,3,21.9,68,1.54,350,2025-12-11T14:50:31
Daxi,TW,24.863869,121.21635,26.99,Moderate,33.51,Good,574.02,Unhealthy,59.82,Moderate,7.78,Good,4.44,Good,3,18.62,75,4.31,64,2025-12-11T14:50:31
Guoxizi,TW,25.03556747,121.08283092,25.96,Moderate,37.0,Good,410.61,Unhealthy,47.88,Good,11.29,Good,32.55,Good,3,21.8,71,7.72,60,2025-12-11T14:50:31
Erqiao,TW,22.564136109999996,120.42531099999998,12.27,Moderate,22.48,Good,154.08,Unhealthy,1.2,Good,2.72,Good,102.38,Unhealthy,3,21.98,68,1.54,350,2025-12-11T14:50:32
Jincheng,TW,24.432132999999997,118.312256,45.28,Unhealthy,62.81,Moderate,236.54,Unhealthy,2.71,Good,6.74,Good,109.78,Unhealthy,3,18.95,67,10.59,46,2025-12-11T14:50:32
Lindefu,TW,22.674860999999996,120.292917,17.04,Moderate,29.13,Good,169.26,Unhealthy,1.64,Good,5.32,Good,103.25,Unhealthy,3,21.95,68,1.54,350,2025-12-11T14:50:32
Yunlin County,TW,23.753506,120.25182500000001,29.42,Moderate,48.07,Good,228.6,Unhealthy,10.57,Good,26.49,Good,89.7,Unhealthy,3,20.28,69,4.51,29,2025-12-11T14:50:32
Magong,TW,23.569031,119.56615799999999,28.57,Moderate,49.85,Good,184.9,Unhealthy,1.3,Good,5.29,Good,107.77,Unhealthy,3,21.34,76,13.95,31,2025-12-11T14:50:32
Yunlin County,TW,23.717533,120.20284200000002,29.42,Moderate,48.07,Good,228.6,Unhealthy,10.57,Good,26.49,Good,89.7,Unhealthy,3,20.39,69,4.96,28,2025-12-11T14:50:32
Guizikeng,TW,25.1645,121.44923900000002,21.89,Moderate,26.64,Good,398.5,Unhealthy,46.04,Good,5.18,Good,8.17,Good,2,20.79,66,5.66,80,2025-12-11T14:50:32
Taoyuan District,TW,24.994789,121.31996400000001,26.99,Moderate,33.51,Good,574.02,Unhealthy,59.82,Moderate,7.78,Good,4.44,Good,3,20.93,72,7.72,60,2025-12-11T14:50:32
Huiyaozi,TW,23.045083,121.16193299999999,16.57,Moderate,26.08,Good,191.47,Unhealthy,6.29,Good,9.81,Good,95.57,Unhealthy,2,17.8,91,0.86,341,2025-12-11T14:50:32
Dongshan,TW,24.225628,120.56879400000001,27.93,Moderate,45.65,Good,243.52,Unhealthy,16.57,Good,33.43,Good,80.65,Unhealthy,3,17.93,88,2.57,20,2025-12-11T14:50:32
Yujing,TW,23.115096999999995,120.297142,25.93,Moderate,42.29,Good,205.2,Unhealthy,5.69,Good,17.12,Good,97.27,Unhealthy,3,19.04,71,0.98,59,2025-12-11T14:50:32
Lugang,TW,23.925175,120.409653,30.51,Moderate,48.52,Good,262.5,Unhealthy,18.48,Good,37.8,Moderate,79.32,Unhealthy,3,19.73,69,3.86,40,2025-12-11T14:50:32
Chishan,TW,22.757506000000003,120.30568900000002,17.04,Moderate,29.13,Good,169.26,Unhealthy,1.64,Good,5.32,Good,103.25,Unhealthy,3,21.97,67,2.55,353,2025-12-11T14:50:32
Dongbuzi,TW,25.07857,121.36570299999998,23.92,Moderate,30.59,Good,495.43,Unhealthy,65.96,Moderate,7.76,Good,6.79,Good,2,19.45,67,7.72,60,2025-12-11T14:50:32
Dingjiaotan,TW,24.256586,120.741711,28.21,Moderate,44.32,Good,267.27,Unhealthy,22.51,Good,43.29,Moderate,72.75,Unhealthy,3,16.69,88,2.57,20,2025-12-11T14:50:32
Taichung,TW,24.099611,120.677689,30.14,Moderate,46.85,Good,280.49,Unhealthy,23.73,Good,45.32,Moderate,72.0,Unhealthy,3,19.21,74,2.57,20,2025-12-11T14:50:32
Kaohsiung City,TW,22.632566999999998,120.288086,17.04,Moderate,29.13,Good,169.26,Unhealthy,1.64,Good,5.32,Good,103.25,Unhealthy,3,21.99,68,1.54,350,2025-12-11T14:50:32
Pojiao,TW,25.060344,121.201811,23.92,Moderate,30.59,Good,495.43,Unhealthy,65.96,Moderate,7.76,Good,6.79,Good,2,21.59,71,7.72,60,2025-12-11T14:50:32
Zhuzilin,TW,25.05,121.57861100000001,21.89,Moderate,26.64,Good,398.5,Unhealthy,46.04,Good,5.18,Good,8.17,Good,2,20.99,72,5.66,80,2025-12-11T14:50:32
Banqiao District,TW,25.012972,121.458667,21.89,Moderate,26.64,Good,398.5,Unhealthy,46.04,Good,5.18,Good,8.17,Good,2,20.99,70,5.66,80,2025-12-11T14:50:32
Puli,TW,23.968842,120.96790299999999,33.19,Moderate,48.0,Good,534.09,Unhealthy,46.96,Good,43.71,Moderate,47.32,Good,3,16.49,73,2.11,98,2025-12-11T14:50:32
Yunlin County,TW,23.757547,120.348742,29.42,Moderate,48.07,Good,228.6,Unhealthy,10.57,Good,26.49,Good,89.7,Unhealthy,3,20.09,67,1.74,35,2025-12-11T14:50:32
Chishan,TW,22.689055999999997,120.332631,17.04,Moderate,29.13,Good,169.26,Unhealthy,1.64,Good,5.32,Good,103.25,Unhealthy,3,21.95,68,1.54,350,2025-12-11T14:50:32
Chiayi City,TW,23.462778,120.440833,30.78,Moderate,48.47,Good,250.39,Unhealthy,13.76,Good,30.38,Good,85.23,Unhealthy,3,20.25,66,1.14,158,2025-12-11T14:50:32
Lugang,TW,24.131672,120.469061,29.22,Moderate,47.09,Good,253.03,Unhealthy,17.53,Good,35.61,Unhealthy,79.99,Unhealthy,3,18.26,73,7.06,37,2025-12-11T14:50:32
Zhongdacuo,TW,22.565833,120.33773599999999,14.12,Moderate,24.62,Good,158.07,Unhealthy,1.31,Good,3.86,Good,102.62,Unhealthy,3,22.0,68,1.54,350,2025-12-11T14:50:32
Xianeibu,TW,24.977222,121.537778,23.37,Moderate,28.06,Good,446.41,Unhealthy,41.87,Good,5.55,Good,6.56,Good,2,20.93,72,5.66,80,2025-12-11T14:50:32
Taibao,TW,23.554839,120.34553099999998,29.9,Moderate,48.47,Good,225.89,Unhealthy,9.14,Good,24.75,Good,91.99,Unhealthy,3,20.41,66,0.43,141,2025-12-11T14:50:32
Xinying District,TW,23.305633,120.31725000000002,30.37,Moderate,48.87,Good,223.19,Unhealthy,7.72,Good,23.02,Good,94.27,Unhealthy,3,20.79,68,0.63,110,2025-12-11T14:50:32
Pingtung,TW,22.523108000000004,120.561175,12.27,Moderate,22.48,Good,154.08,Unhealthy,1.2,Good,2.72,Good,102.38,Unhealthy,3,21.87,70,2.28,179,2025-12-11T14:50:32
Antoushan,TW,24.066,120.541519,29.22,Moderate,47.09,Good,253.03,Unhealthy,17.53,Good,35.61,Unhealthy,79.99,Unhealthy,3,19.41,74,2.22,49,2025-12-11T14:50:32
Banqiao District,TW,25.037972,121.4325,21.89,Moderate,26.64,Good,398.5,Unhealthy,46.04,Good,5.18,Good,8.17,Good,2,21.0,69,5.66,80,2025-12-11T14:50:32
Zhigaozhuang,TW,24.162196999999995,120.61691700000002,30.14,Moderate,46.85,Good,280.49,Unhealthy,23.73,Good,45.32,Moderate,72.0,Unhealthy,3,19.02,74,2.57,20,2025-12-11T14:50:32
Taipei City,TW,25.065669,121.6408,19.87,Moderate,22.7,Good,309.79,Unhealthy,28.04,Good,2.85,Good,9.35,Good,2,20.92,72,5.66,80,2025-12-11T14:50:32
Yilan,TW,24.747917,121.746394,19.65,Moderate,22.52,Good,348.01,Unhealthy,22.84,Good,4.18,Good,7.53,Good,2,19.92,80,0.95,231,2025-12-11T14:50:32
Guting,TW,25.017,121.516306,21.89,Moderate,26.64,Good,398.5,Unhealthy,46.04,Good,5.18,Good,8.17,Good,2,20.99,72,5.66,80,2025-12-11T14:50:32
Shibazhang,TW,23.913,120.68530599999998,32.07,Moderate,49.37,Good,293.65,Unhealthy,24.94,Good,47.35,Moderate,71.26,Unhealthy,3,18.9,69,1.25,132,2025-12-11T14:50:32
Hualien City,TW,23.971306,121.599769,27.85,Moderate,35.56,Good,735.44,Unhealthy,62.42,Moderate,25.98,Good,29.36,Good,3,19.6,95,2.66,4,2025-12-11T14:50:32
Banqiao District,TW,24.982528,121.451861,23.37,Moderate,28.06,Good,446.41,Unhealthy,41.87,Good,5.55,Good,6.56,Good,2,20.94,72,5.66,80,2025-12-11T14:50:32
Chonglan,TW,22.883583,120.53054199999998,19.98,Moderate,33.4,Good,190.3,Unhealthy,4.8,Good,11.37,Good,97.77,Unhealthy,2,20.56,73,1.63,89,2025-12-11T14:50:32
Douliu,TW,23.711853,120.54499399999999,30.65,Moderate,48.49,Good,256.44,Unhealthy,16.11,Good,34.08,Good,82.28,Unhealthy,3,19.73,66,1.31,150,2025-12-11T14:50:32
Shalun,TW,24.696969,120.89857200000002,28.37,Moderate,41.79,Good,386.07,Unhealthy,30.32,Good,24.81,Good,51.51,Good,3,20.01,76,8.44,43,2025-12-11T14:50:32
Taibao,TW,23.465307999999997,120.24735,29.9,Moderate,48.47,Good,225.89,Unhealthy,9.14,Good,24.75,Good,91.99,Unhealthy,3,20.71,68,1.29,43,2025-12-11T14:50:32
Fukien,TW,24.632203,121.792928,19.65,Moderate,22.52,Good,348.01,Unhealthy,22.84,Good,4.18,Good,7.53,Good,2,20.0,77,1.97,321,2025-12-11T14:50:32
Songwu,TW,24.953278,121.22166700000001,26.99,Moderate,33.51,Good,574.02,Unhealthy,59.82,Moderate,7.78,Good,4.44,Good,3,20.81,72,7.72,60,2025-12-11T14:50:32
Taipei,TW,25.062361,121.526528,21.89,Moderate,26.64,Good,398.5,Unhealthy,46.04,Good,5.18,Good,8.17,Good,2,20.96,70,5.66,80,2025-12-11T14:50:32
Guting,TW,25.06895,121.481028,21.89,Moderate,26.64,Good,398.5,Unhealthy,46.04,Good,5.18,Good,8.17,Good,2,20.97,69,5.66,80,2025-12-11T14:50:32
Los Barrios,ES,36.175379999884406,-5.480829999779934,2.55,Good,4.15,Good,108.63,Unhealthy,1.47,Good,1.46,Good,79.27,Unhealthy,2,14.27,94,2.06,70,2025-12-11T14:50:32
Žacléř,CZ,50.6604385373208,15.850090026701904,5.45,Good,7.44,Good,211.82,Unhealthy,15.61,Good,1.77,Good,33.84,Good,1,4.26,55,1.54,263,2025-12-11T14:50:32
Cottbus,DE,51.746344,14.334550000000002,4.13,Good,6.46,Good,201.2,Unhealthy,16.28,Good,2.82,Good,31.58,Good,1,10.52,83,1.34,271,2025-12-11T14:50:21
Juilly,FR,49.02805700016036,2.7502780000005136,2.54,Good,3.59,Good,161.58,Unhealthy,6.11,Good,0.31,Good,34.94,Good,1,9.5,92,5.66,140,2025-12-11T14:50:32
Tudela,ES,42.0747199994658,-1.62694,4.49,Good,6.1,Good,93.46,Unhealthy,0.36,Good,0.42,Good,86.42,Unhealthy,2,11.12,62,5.21,109,2025-12-11T14:50:32
Saintes-Maries-de-la-Mer,FR,43.457222,4.426667,6.01,Good,10.96,Good,126.04,Unhealthy,0.68,Good,0.32,Good,75.23,Unhealthy,2,14.41,85,1.97,160,2025-12-11T14:50:32
Schladming,AT,47.360277999895345,13.639444000149386,35.41,Unhealthy,39.3,Good,613.66,Unhealthy,27.0,Good,0.79,Good,30.63,Good,3,1.38,100,0.53,94,2025-12-11T14:50:32
Puget-Théniers,FR,44.0883193867536,6.98917138818795,5.98,Good,10.84,Good,144.22,Unhealthy,4.86,Good,1.07,Good,64.22,Moderate,2,4.19,79,0.39,24,2025-12-11T14:50:32
Manosque,FR,43.8353015894571,5.78583314934565,6.25,Good,11.36,Good,120.59,Unhealthy,1.65,Good,1.09,Good,78.58,Unhealthy,2,11.76,78,0.99,233,2025-12-11T14:50:32
Kiel,DE,54.309674,10.116563,6.28,Good,12.44,Good,175.06,Unhealthy,17.28,Good,2.13,Good,40.59,Good,1,9.01,81,7.72,260,2025-12-11T14:50:32
Benigànim,ES,38.93472222005507,-0.44138888032866364,11.63,Good,21.46,Good,147.67,Unhealthy,6.25,Good,0.87,Good,74.75,Unhealthy,2,15.1,80,0.96,360,2025-12-11T14:50:32
Lorient,FR,47.742485358103,-3.3948053239104,1.35,Good,3.05,Good,112.57,Unhealthy,1.3,Good,0.65,Good,79.52,Unhealthy,2,11.79,98,5.66,140,2025-12-11T14:50:32
Beveren,BE,51.290694464706185,4.293286429844849,5.9,Good,8.42,Good,197.72,Unhealthy,10.21,Good,0.81,Good,41.2,Good,1,8.6,90,3.6,170,2025-12-11T14:50:32
Quintero,CL,-32.772516452112,-71.535303287094,2.29,Good,5.84,Good,69.54,Unhealthy,0.1,Good,0.43,Good,28.05,Good,1,21.32,59,3.46,276,2025-12-11T14:50:32
Semënkovo,RU,55.28905,37.1077611,2.4,Good,2.43,Good,182.7,Unhealthy,3.99,Good,0.31,Good,33.98,Good,1,0.64,98,3.58,222,2025-12-11T14:50:32
Fougères,FR,48.34748569864203,-1.202224327889997,4.0,Good,5.16,Good,170.1,Unhealthy,7.28,Good,0.55,Good,42.34,Good,1,9.96,88,4.65,153,2025-12-11T14:50:32
Klagenfurt,AT,46.65305555506412,14.26611111111111,44.77,Unhealthy,50.82,Good,551.18,Unhealthy,25.1,Good,2.39,Good,45.92,Good,3,0.92,100,0.51,0,2025-12-11T14:50:20
Costa Mesa,US,33.674543,-117.925587,16.48,Moderate,21.13,Good,172.41,Unhealthy,1.73,Good,0.39,Good,64.1,Moderate,2,12.03,71,0.0,0,2025-12-11T14:50:10
Lille,FR,50.6408018273658,3.07477152078998,13.13,Moderate,17.0,Good,375.92,Unhealthy,32.01,Good,1.99,Good,17.45,Good,2,7.26,98,5.14,160,2025-12-11T14:50:32
Badajoz,ES,38.88758599984608,-7.0113889996985295,4.02,Good,5.62,Good,110.4,Unhealthy,2.41,Good,0.66,Good,73.83,Unhealthy,2,14.6,82,1.54,320,2025-12-11T14:50:32
Dieppe,FR,49.918006999865405,1.0739720003033286,5.9,Good,7.77,Good,173.88,Unhealthy,8.3,Good,0.46,Good,37.75,Good,1,8.34,89,6.33,165,2025-12-11T14:50:32
Talus,US,36.0494,-117.9439,11.01,Good,20.04,Good,188.93,Unhealthy,9.18,Good,0.23,Good,53.99,Good,2,12.28,24,3.44,314,2025-12-11T14:50:10
Çorum,TR,40.54655454332152,34.96729904456213,6.22,Good,6.66,Good,251.26,Unhealthy,9.72,Good,0.57,Good,48.87,Good,1,6.26,72,1.59,42,2025-12-11T14:50:32
Aix-en-Provence,FR,43.52404453793,5.44957577219403,5.59,Good,10.77,Good,113.99,Unhealthy,0.33,Good,0.23,Good,78.11,Unhealthy,2,15.28,80,0.89,261,2025-12-11T14:50:32
Rouen,FR,49.442460000000004,1.093694,5.44,Good,7.05,Good,177.58,Unhealthy,8.23,Good,0.24,Good,34.64,Good,1,8.67,94,4.63,130,2025-12-11T14:50:32
Miskolc,HU,48.106943999772746,20.790005999918233,32.27,Moderate,39.49,Good,316.89,Unhealthy,15.96,Good,2.23,Good,34.63,Good,3,6.85,100,1.12,327,2025-12-11T14:50:32
Pest,HU,47.49194400023793,19.087781000058193,23.9,Moderate,28.1,Good,330.07,Unhealthy,11.85,Good,0.76,Good,38.33,Good,2,6.34,94,1.54,150,2025-12-11T14:50:32
Pécs,HU,46.07111100016818,18.225286000163695,23.31,Moderate,26.25,Good,269.68,Unhealthy,10.86,Good,0.23,Good,33.59,Good,2,4.42,100,2.57,310,2025-12-11T14:50:32
Veszprém,HU,47.091111000108405,17.901122000285064,25.93,Moderate,28.93,Good,346.4,Unhealthy,13.5,Good,0.23,Good,37.32,Good,3,11.11,67,2.36,306,2025-12-11T14:50:32
Győr,HU,47.676111000033536,17.649736000397873,27.88,Moderate,31.46,Good,411.7,Unhealthy,19.14,Good,0.67,Good,30.89,Good,3,6.08,93,4.12,280,2025-12-11T14:50:32
Pamhagen,AT,47.67194400016462,16.838893999982847,40.45,Unhealthy,48.12,Good,630.29,Unhealthy,42.94,Good,2.05,Good,11.73,Good,3,7.97,85,3.13,335,2025-12-11T14:50:32
Kazincbarcika,HU,48.24722199996222,20.616402999560567,32.35,Moderate,39.16,Good,313.95,Unhealthy,15.64,Good,2.51,Good,33.41,Good,3,6.69,89,1.07,172,2025-12-11T14:50:32
Sajószentpéter,HU,48.21805599992679,20.70305799978792,32.35,Moderate,39.16,Good,313.95,Unhealthy,15.64,Good,2.51,Good,33.41,Good,3,6.8,100,0.73,189,2025-12-11T14:50:32
Ajka,HU,47.1052780001576,17.556667000295818,33.93,Moderate,37.88,Good,439.72,Unhealthy,23.02,Good,0.14,Good,23.82,Good,3,11.37,67,1.49,307,2025-12-11T14:50:33
Lajosmizse,HU,46.96666700001057,19.54999999992366,29.41,Moderate,34.11,Good,351.61,Unhealthy,12.35,Good,0.52,Good,35.49,Good,3,3.87,100,1.03,330,2025-12-11T14:50:33
Gönc,HU,48.473889000224624,21.211677999722568,33.7,Moderate,39.13,Good,307.71,Unhealthy,12.63,Good,2.09,Good,33.7,Good,3,5.39,100,0.59,50,2025-12-11T14:50:33
Szeged,HU,46.26661399989855,20.15305300009114,26.73,Moderate,30.89,Good,320.62,Unhealthy,10.85,Good,0.46,Good,37.98,Good,3,5.64,80,2.05,303,2025-12-11T14:50:33
Százhalombatta,HU,47.30666700005354,18.92000300029457,23.08,Moderate,26.58,Good,314.27,Unhealthy,9.7,Good,0.78,Good,42.0,Good,2,6.89,95,1.55,325,2025-12-11T14:50:33
Alsógalla,HU,47.557222000067455,18.420835999942486,21.86,Moderate,24.78,Good,310.42,Unhealthy,10.1,Good,0.68,Good,42.73,Good,2,5.56,100,2.44,289,2025-12-11T14:50:33
Esztergom,HU,47.78999999990577,18.74612200010256,21.08,Moderate,24.28,Good,314.33,Unhealthy,11.29,Good,0.75,Good,40.83,Good,2,5.89,93,1.63,302,2025-12-11T14:50:33
Győr,HU,47.68527800000957,17.639444000391087,27.88,Moderate,31.46,Good,411.7,Unhealthy,19.14,Good,0.67,Good,30.89,Good,3,6.07,93,4.12,280,2025-12-11T14:50:33
Budapest XVIII. kerület,HU,47.43083299988452,19.184175000098374,23.9,Moderate,28.1,Good,330.07,Unhealthy,11.85,Good,0.76,Good,38.33,Good,2,5.97,96,1.54,150,2025-12-11T14:50:33
Debrecen,HU,47.5133330000319,21.624444000290516,22.09,Moderate,26.16,Good,275.64,Unhealthy,9.6,Good,0.84,Good,43.83,Good,2,5.95,93,1.03,0,2025-12-11T14:50:33
Budapest XV. kerület,HU,47.54194400001803,19.146121999947066,23.9,Moderate,28.1,Good,330.07,Unhealthy,11.85,Good,0.76,Good,38.33,Good,2,5.91,95,1.54,150,2025-12-11T14:50:33
