city,country,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,temperature,humidity,wind_speed,wind_deg,timestamp
Tocopilla,CL,-22.093082,-70.20121,3.0,Good,8.23,Good,74.32,Unhealthy,0.08,Good,0.46,Good,57.86,Moderate,1,21.25,69,3.37,240,2025-12-11T14:49:45
Oosterpark,NL,53.21782600014504,6.5788890003102,8.85,Good,17.69,Good,211.7,Unhealthy,32.06,Good,1.82,Good,21.0,Good,1,9.67,84,6.17,210,2025-12-11T14:49:45
Ilorin,NG,8.484,4.675,14.65,Moderate,35.2,Good,422.41,Unhealthy,4.07,Good,1.69,Good,39.73,Good,2,33.87,25,1.2,336,2025-12-11T14:49:45
Siedlce,PL,52.17203333,22.27277778,3.98,Good,5.26,Good,232.64,Unhealthy,13.34,Good,3.25,Good,29.57,Good,1,8.85,83,5.45,266,2025-12-11T14:49:45
Meezenbroek,NL,50.90031700019946,5.986852999872599,4.24,Good,5.89,Good,166.35,Unhealthy,8.67,Good,0.82,Good,41.31,Good,1,11.41,76,3.6,180,2025-12-11T14:49:45
Puente Alto,CL,-33.591390623022,-70.594788,5.06,Good,7.8,Good,102.13,Unhealthy,0.93,Good,0.43,Good,45.41,Good,1,20.95,55,3.08,279,2025-12-11T14:49:45
Ulaanbaatar Hot,MN,47.9176056,106.93736109999999,0.5,Good,0.77,Good,133.59,Unhealthy,1.25,Good,0.27,Good,67.17,Moderate,2,-27.03,69,1.0,0,2025-12-11T14:49:45
Barón,CL,-33.049743798096,-71.614167231712,2.91,Good,8.45,Good,69.94,Unhealthy,0.13,Good,0.66,Good,26.93,Good,1,19.95,48,3.91,276,2025-12-11T14:49:45
State Circus,MN,47.9153833,106.89419440000002,0.5,Good,0.77,Good,133.59,Unhealthy,1.25,Good,0.27,Good,67.17,Moderate,2,-27.01,69,1.0,0,2025-12-11T14:43:24
Bang Sue,TH,13.797855,100.551338,41.58,Unhealthy,53.08,Good,546.53,Unhealthy,5.31,Good,6.51,Good,81.43,Unhealthy,3,23.0,88,4.63,320,2025-12-11T14:49:46
Pitampura,IN,28.674045,77.131023,86.93,Unhealthy,177.14,Unhealthy,741.7,Unhealthy,39.34,Good,8.46,Good,35.66,Good,5,17.08,59,0.0,0,2025-12-11T14:49:46
Middenmeer,NL,52.803700000000006,5.05051,11.99,Good,19.26,Good,253.79,Unhealthy,39.19,Good,4.51,Good,15.89,Good,2,8.38,92,2.68,203,2025-12-11T14:43:40
Gemeente Rotterdam,NL,51.938472000211014,4.430691999983553,9.41,Good,13.65,Good,223.27,Unhealthy,20.44,Good,2.32,Good,29.67,Good,1,8.62,91,3.6,180,2025-12-11T14:43:40
Shenyang,CN,41.78,123.42,43.23,Unhealthy,70.9,Moderate,986.75,Unhealthy,52.07,Good,123.14,Unhealthy,12.81,Good,3,-15.94,55,2.0,0,2025-12-11T14:49:46
Talagante,CL,-33.673752071375,-70.953064737434,4.46,Good,7.18,Good,86.01,Unhealthy,0.73,Good,0.71,Good,38.88,Good,1,23.22,58,3.68,290,2025-12-11T14:49:46
Utrecht,NL,52.10506300014719,5.124434999970995,8.62,Good,13.76,Good,228.33,Unhealthy,27.13,Good,3.0,Good,21.57,Good,1,9.28,83,0.89,255,2025-12-11T14:49:46
Khlong Luang,TH,14.040299305494,100.60873959621,32.9,Moderate,45.27,Good,557.66,Unhealthy,10.06,Good,8.86,Good,76.84,Unhealthy,3,22.99,88,4.63,320,2025-12-11T14:49:46
Nieuwkoop,NL,52.137949999962665,4.83819000034937,9.63,Good,14.97,Good,242.36,Unhealthy,31.05,Good,3.8,Good,16.93,Good,1,8.56,92,4.63,180,2025-12-11T14:49:46
Ulaanbaatar,MN,47.863943,106.779094,0.5,Good,0.68,Good,130.67,Unhealthy,1.03,Good,0.2,Good,69.79,Moderate,2,-27.17,69,1.0,0,2025-12-11T14:49:46
Walthamstow,GB,51.599302,-0.068218,3.22,Good,5.43,Good,135.91,Unhealthy,8.09,Good,2.85,Good,61.41,Moderate,2,11.13,81,4.63,180,2025-12-11T14:49:46
Machalí,CL,-34.203524,-70.529854,6.5,Good,8.58,Good,95.1,Unhealthy,0.55,Good,0.67,Good,46.89,Good,1,17.69,54,3.9,273,2025-12-11T14:49:46
Sluiskil,NL,51.29446600001544,3.7494090003978005,11.25,Good,14.62,Good,264.8,Unhealthy,17.6,Good,1.34,Good,34.05,Good,2,7.9,91,3.13,153,2025-12-11T14:49:46
Arcadia,US,29.308562,-95.19991,7.93,Good,11.21,Good,168.22,Unhealthy,3.9,Good,3.04,Good,73.67,Unhealthy,2,12.68,77,3.75,68,2025-12-11T14:49:46
Chiguayante,CL,-36.923329602986,-73.036132300941,1.17,Good,3.43,Good,69.46,Unhealthy,0.04,Good,0.48,Good,24.89,Good,1,17.86,68,2.57,240,2025-12-11T14:49:46
Bang Khun Thian,TH,13.684229480854,100.44598735492,41.58,Unhealthy,53.08,Good,546.53,Unhealthy,5.31,Good,6.51,Good,81.43,Unhealthy,3,23.31,83,2.53,356,2025-12-11T14:49:46
Región de Valparaíso,CL,-32.77898790221,-71.373031276855,2.24,Good,4.71,Good,70.57,Unhealthy,0.13,Good,0.36,Good,29.19,Good,1,17.05,67,3.3,285,2025-12-11T14:49:46
Coronel,CL,-37.021182877699,-73.149555550926,1.13,Good,3.34,Good,69.52,Unhealthy,0.03,Good,0.45,Good,24.56,Good,1,17.63,57,3.13,301,2025-12-11T14:49:46
Brisas del Sol,CL,-36.784653741124,-73.052063025795,1.22,Good,3.51,Good,69.4,Unhealthy,0.05,Good,0.51,Good,25.22,Good,1,17.88,68,2.57,240,2025-12-11T14:49:46
Hilvarenbeek,NL,51.51838800001479,5.148450000227909,2.99,Good,5.01,Good,171.99,Unhealthy,8.18,Good,0.75,Good,43.83,Good,1,8.11,91,3.6,170,2025-12-11T14:49:46
Curicó,CL,-34.974925077541,-71.233967512329,7.26,Good,9.95,Good,108.36,Unhealthy,0.78,Good,1.44,Good,49.48,Good,1,24.83,36,2.96,222,2025-12-11T14:49:46
Coyhaique,CL,-45.579045667164,-72.049964505825,0.54,Good,0.55,Good,58.42,Unhealthy,0.04,Good,0.05,Good,22.05,Good,1,10.98,85,4.7,294,2025-12-11T14:49:46
Leiden,NL,52.1678,4.50756,11.33,Good,16.44,Good,237.43,Unhealthy,25.43,Good,3.0,Good,23.96,Good,2,8.43,92,0.89,211,2025-12-11T14:49:46
Noordwijkerhout,NL,52.296555999830005,4.51081699998525,12.37,Moderate,17.93,Good,246.44,Unhealthy,28.34,Good,3.38,Good,22.87,Good,2,8.13,85,4.63,180,2025-12-11T14:49:46
Hoek van Holland,NL,51.97783000007194,4.121903000365913,12.22,Moderate,16.9,Good,250.0,Unhealthy,20.94,Good,2.16,Good,30.9,Good,2,8.04,94,1.34,111,2025-12-11T14:49:46
Hilversum,NL,52.23510000000001,5.18155,10.2,Good,16.08,Good,239.19,Unhealthy,31.62,Good,3.47,Good,19.11,Good,2,9.16,90,3.21,192,2025-12-11T14:49:46
Amsterdam,NL,52.389983000188224,4.88781099987638,11.15,Good,17.11,Good,251.16,Unhealthy,35.08,Good,4.3,Good,15.31,Good,2,8.43,87,4.63,180,2025-12-11T14:49:46
Coronel,CL,-37.008669,-73.148086,1.13,Good,3.34,Good,69.52,Unhealthy,0.03,Good,0.45,Good,24.56,Good,1,17.94,57,3.13,301,2025-12-11T14:49:46
Gemeente Haarlem,NL,52.37051800026408,4.6423090001344685,11.76,Good,17.52,Good,248.8,Unhealthy,31.71,Good,3.84,Good,19.09,Good,2,8.2,87,4.63,180,2025-12-11T14:49:46
