location_id,city,latitude,longitude
245608828,Vaniyambadi,12.6787174,78.6199879
245609115,Vepanapalli,12.7017272,78.1944154
245609200,Anekal,12.7086373,77.6993972
245609255,Ramanagara,12.7252766,77.2804797
245610023,Arkalgud,12.7627771,76.0623411
245610069,Puttur,12.7632858,75.2018421
245610098,Holenarasipura,12.7852158,76.2431266
245610394,Ullal,12.8181202,74.8459375
245610557,Nagamangala,12.8196077,76.7542189
245612139,Sarjapura,12.8600866,77.7861352
245612228,Shravanabelagola,12.858127,76.4870114
245612641,Mangaluru,12.8698101,74.8430082
245614133,Kolar Gold Fields,12.9545994,78.2731252
245614962,Magadi,12.9567353,77.2242281
245616106,Belthangadi,12.9903521,75.2825052
245616482,Maluru,13.0060343,77.9382839
245616527,Bethamangala,13.0053979,78.3303624
245617423,Moodabidri,13.0699218,74.9977469
245617692,Mulki,13.0904094,74.7870474
245617701,Arakkonam,13.0839782,79.6700892
245617971,Avadi,13.1194809,80.1026704
245618507,Kolar,13.1367201,78.1337246
245618753,Turuvekere,13.1627196,76.6680675
245618783,Mulabagilu,13.1660479,78.3927241
245618812,Belur,13.1645671,75.8634851
245619070,Karkala,13.2145414,74.9951861
245619134,Chittoor,13.2161224,79.0972819
245619208,Kalasa,13.2322235,75.3582366
245619678,Arasikere,13.3159809,76.256849
245619852,Chikkamagaluru,13.318014,75.7738743
245620044,Srinivaspur,13.340085,78.2117487
245620117,Udupi,13.3419169,74.7473232
245620290,Punganuru,13.36385,78.5721781
245620464,Sidlaghatta,13.3885218,77.8641332
245620767,Chikkanayakanahalli,13.4190772,76.6202776
245621225,Chowdepalle,13.4336063,78.6904747
245621251,Satyavedu,13.4433561,79.9553361
245621695,Sakharayapattana,13.4331791,75.920889
245621763,Hebri,13.459429,74.991552
245622252,Koratagere,13.5215422,77.2358911
245622274,Koppa,13.533207,75.3633986
245622545,Kaduru,13.5527523,76.0142384
245623159,Chandragiri,13.5842501,79.3166721
245623308,Narasimharajapura,13.6107959,75.5117301
245623398,Gauribidanuru,13.6114523,77.5167805
245623778,Kundapura,13.6250993,74.6915722
245624149,Madhugiri,13.6601789,77.2140882
245624404,Tirthahalli,13.6901992,75.2463699
245624497,Tarikere,13.7062309,75.8183561
245624809,Bagepalli,13.7836611,77.7972379
245624875,Hosadurga,13.7987759,76.2831034
245625010,Hindupur,13.8306127,77.492635
245625138,Bhadravathi,13.8502075,75.7037863
245625219,Bainduru,13.8662536,74.6270036
245625411,Hosanagara,13.916789,75.0657952
245625473,Shivamogga,13.9326093,75.574978
245625497,Madakasira,13.9405457,77.272588
245625591,Venkatagiri,13.957582,79.5809332
245625781,Bhatkal,13.9873619,74.5544089
245625922,Channagiri,14.0252,75.925
245626123,Murdeshwar,14.0959549,74.4883354
245626213,Penukonda,14.0846808,77.5966537
245626253,Pavagada,14.0994177,77.2804049
245626598,Sagara,14.1665017,75.0263852
245626604,Santebennur,14.1698888,76.0033586
245626649,Kothacheruvu,14.1870879,77.7671355
245626754,Talaguppa,14.2148828,74.911064
245626796,Honnali,14.2389785,75.6457434
245626938,Shikaripura,14.2639661,75.3587796
245626969,Honnavar,14.2810827,74.4446716
245627089,Challakere,14.3167885,76.6521533
245627131,Siddapura,14.3409562,74.8924253
245627153,Malebennuru,14.3533447,75.7384255
245627232,Siralkoppa,14.381916,75.2487921
245627273,Dharmavaram,14.4138405,77.7208432
245627362,Kumta,14.4271622,74.4117058
245627782,Kovur,14.5036085,79.9868404
245627800,Harihara,14.5116874,75.809288
245627947,Kalyandurg,14.5517958,77.1119702
245628061,Gokarna,14.5439629,74.3184418
245628114,Kamalapuram,14.5962938,78.6704194
245628312,Sirsi,14.6192362,74.8388611
245628328,Ranebennur,14.6165795,75.6341529
245628453,Byadagi,14.6719843,75.4858218
245628518,Ankola,14.6599889,74.3047846
245628716,Badvel,14.7433614,79.0610394
245628928,Harapanahalli,14.7880219,75.988032
245628970,Hanagalla,14.7653513,75.1244336
245628997,Haveri,14.7874825,75.3996731
245629201,Kotturu,14.8243692,76.2252832
245629232,Karwar,14.8120931,74.1319229
245629527,Ramapura,14.8812342,76.7822541
245629640,Bankapura,14.9217443,75.2639298
245629715,Uravakonda,14.9467802,77.2577907
245629805,Yellapura,14.9634438,74.7120788
245629822,Mundgod,14.9715262,75.0413079
245629838,Chagalamarri,14.9645072,78.5891171
245629844,Savanuru,14.9750243,75.3397064
245629877,Shiggaon,14.9899007,75.2234815
245629932,Huvina Hadagali,15.020624,75.9318973
245629980,Hagaribommanahalli,15.0468189,76.2117626
245630135,Pamuru,15.0944,79.4138
245630301,Lakshmeshvara,15.1248456,75.472885
245630640,Kalaghatagi,15.1818921,74.9718465
