location_id,city,latitude,longitude,temperature,humidity,wind_speed,wind_deg,timestamp
16173235,Mumbai,19.054999,72.8692035,28.02,42,2.57,330,1766499058
16173236,New Delhi,28.6138954,77.2090057,16.07,77,2.06,260,1766499002
16174445,Pune,18.5213738,73.8545071,22.45,34,1.69,106,1766498794
30609910,Shrirampur,19.6199708,74.6546944,20.4,35,1.75,66,1766499058
30612110,Vaduj,17.5950822,74.4504661,21.15,29,2.28,67,1766499058
82799646,Pushkar,26.4876472,74.5578484,18.37,33,2.8,347,1766499058
82799649,Orchha,25.3528706,78.6402465,18.87,46,1.89,4,1766499058
102751630,Phillaur,31.018294,75.7839116,16.24,49,3.67,297,1766499058
103898968,Goraya,31.1208324,75.7787046,16.31,49,3.61,295,1766498986
103907978,Phagwara,31.2206734,75.7696463,16.32,49,3.54,295,1766498804
125904109,Mohali,30.7041168,76.7176885,15.94,57,3.61,326,1766499058
125905496,Morinda,30.7908462,76.4984505,16.26,56,3.59,314,1766499058
125906063,Kurali,30.8314536,76.5784763,15.99,57,3.38,325,1766499058
125907877,Rupnagar,30.9688367,76.526088,16.06,57,3.11,331,1766499058
126094102,Moga,30.8223408,75.1730967,16.05,43,3.1,309,1766499058
165089167,Pahalgam,34.0322048,75.3226479,0.09,45,4.68,52,1766499058
176044062,Ambala,30.3843674,76.770421,16.81,54,3.97,303,1766499058
176047379,Doraha,30.7988727,76.0372906,16.32,51,3.78,302,1766499058
243327628,Sriperumbudur,12.9666144,79.9458077,25.22,80,3.48,28,1766499058
243327788,Poonamallee,13.0492031,80.1010677,25.37,77,3.6,50,1766499058
243416825,Sahnewal,30.8402061,75.983601,16.29,50,3.75,300,1766499058
243713144,Vellore,12.9071753,79.1309695,20.39,72,2.0,69,1766499058
243859333,Jagraon,30.8041704,75.4753645,16.16,46,3.42,309,1766499058
243869887,Gill,30.846374,75.8628312,16.22,49,3.7,302,1766499058
245133391,Dehlon,30.7431327,75.8505198,16.26,49,3.68,309,1766499058
245580128,Nagercoil,8.1839904,77.4315437,23.49,74,1.8,5,1766499058
245581303,Nanguneri,8.4892568,77.6596709,22.79,79,2.06,34,1766499058
245581432,Thiruvananthapuram,8.4882267,76.947551,27.94,74,1.54,270,1766498667
245581609,Nazareth,8.5599258,77.9719457,24.68,73,4.46,58,1766499058
245581822,Vikramasingapuram,8.7141792,77.3892867,23.59,73,1.64,93,1766499058
245581857,Tirunelveli,8.7284271,77.7112925,24.15,74,2.83,81,1766499045
245581905,Alwarkuruchi,8.782604,77.3985651,24.07,71,1.82,97,1766499058
245582090,Kollam,8.8870533,76.5906696,25.48,65,0.51,302,1766499058
245582136,Ayoor,8.8978612,76.8601206,21.28,80,0.41,38,1766499058
245582143,Kulathupuzha,8.9065347,77.0564917,21.78,78,0.21,45,1766499058
245582256,Tenkasi,8.9557896,77.3072559,23.69,68,1.58,76,1766498947
245582478,Kottarakkara,9.0054869,76.7831987,21.6,79,0.55,69,1766499058
245582675,Vilattikulam,9.130928,78.167316,24.86,69,4.59,72,1766499058
245582795,Ettaiyapuram,9.1485222,77.9971639,24.7,67,3.13,70,1766499058
245582958,Sankarankovil,9.170073,77.535369,25.02,59,1.81,17,1766499058
245583048,Puliyangudi,9.1756002,77.3966381,23.45,68,1.85,8,1766499058
245583686,Haripad,9.2844934,76.4562679,24.4,76,0.73,310,1766499058
