location_id,city,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m
245628114,Kamalapuram,256,0,0,0,0,1.19,,,,
245627947,Kalyandurg,116,1,0,0,0,52.33,746.77,,,
245629201,Kotturu,99,0,0,0,0,92.19,,,,
245629838,Chagalamarri,58,0,0,0,0,48.07,,,,
245629232,Karwar,293,3,0,0,0,55.75,1108.63,,,
245629805,Yellapura,92,0,0,0,0,78.33,,,,
245628970,Hanagalla,89,0,0,0,0,13.74,,,,
245629715,Uravakonda,331,1,0,0,0,141.45,1098.75,,,
245628312,Sirsi,422,0,0,0,0,54.62,,,,
245628928,Harapanahalli,242,0,0,0,0,16.91,,,,
245627800,Harihara,552,3,0,0,0,25.87,737.08,,,
245628997,Haveri,557,1,0,0,0,21.19,297.05,,,
245628328,Ranebennur,738,0,0,0,0,64.31,,,,
245628061,Gokarna,48,0,63,0,0,26.81,,389.1,,
245628716,Badvel,609,1,0,0,0,127.42,573.24,,,
245629980,Hagaribommanahalli,94,1,0,0,0,151.62,194.17,,,
245629877,Shiggaon,101,0,0,0,0,12.96,,,,
245629932,Huvina Hadagali,68,1,0,0,0,79.3,426.23,,,
245629844,Savanuru,26,0,0,0,0,52.6,,,,
245630135,Pamuru,455,0,0,0,0,10.59,,,,
245630941,Kundagola,26,0,0,0,0,34.41,,,,
245630859,Shirahatti,52,0,0,0,0,102.28,,,,
245631851,Annigeri,235,0,0,0,0,7.2,,,,
245630301,Lakshmeshvara,274,0,0,0,0,34.03,,,,
245630791,Mundaragi,30,1,0,0,0,61.94,1407.65,,,
245630640,Kalaghatagi,69,0,0,0,0,28.69,,,,
245632231,Tekkalakote,172,0,0,0,0,35.08,,,,
245631185,Sirvel,181,0,0,0,0,19.45,,,,
245630803,Kandukur,451,1,0,0,0,50.06,794.94,,,
245632245,Valpoi,205,0,0,0,0,20.87,,,,
245632331,Navalgund,217,0,0,0,0,53.46,,,,
245632123,Holagunda,77,0,0,0,0,60.42,,,,
245631205,Haliyal,198,2,0,0,0,17.76,1302.96,,,
245631144,Kamalapura,186,0,3,0,0,23.41,,1426.51,,
245631247,Tanguturu,309,0,0,0,0,7.51,,,,
245631741,Kampli,365,0,0,0,0,39.38,,,,
245631744,Kanigiri,207,1,0,0,0,10.09,685.54,,,
245631922,Gangavathi,711,6,0,0,0,68.61,608.35,,,
245631838,Gadag-Betageri,1507,2,0,0,0,104.32,254.62,,,
245631974,Dharwad,1348,3,2,0,0,33.95,1636.97,1684.4,,
245632375,Kanakagiri,47,4,1,0,0,113.32,424.57,1632.89,,
245632380,Naregalla,37,0,0,0,0,102.69,,,,
245632434,Sankhali,362,1,4,1,0,17.78,1053.64,1582.43,1948.18,
245632887,Turavihala,7,0,0,0,0,184.89,,,,
245632575,Siruguppa,143,2,0,0,0,59.66,435.88,,,
245632742,Naragunda,148,1,0,0,0,27.87,421.41,,,
245632505,Adoni,1146,2,0,0,0,70.72,573.8,,,
245633107,Banda,19,0,0,0,0,71.03,,,,
245632954,Sindhanur,608,3,0,0,0,73.31,282.89,,,
245632931,Yemmiganuru,1335,1,0,0,0,11.38,296.78,,,
245633278,Munavalli,24,1,1,0,0,20.82,1408.69,1629.52,,
245633115,Bailahongala,189,0,1,0,0,0.85,,77.14,,
245632442,Kitturu,105,0,0,0,0,33.7,,,,
245632993,Vetapalem,315,0,1,0,0,6.1,,1907.48,,
245632803,Gajendragad,86,0,0,0,0,62.94,,,,
245633361,Vengurla,28,2,0,0,0,20.35,644.32,,,
245633538,Muragod,59,0,0,0,0,18.64,,,,
245632682,Ron,52,0,0,0,0,46.75,,,,
245634001,Manvi,22,1,0,0,0,117.69,1064.07,,,
245632940,Savadatti,99,2,0,0,0,21.37,469.71,,,
245633850,Ilakal,99,0,0,0,0,104.29,,,,
245632739,Pernem,60,0,1,1,0,50.46,,2207.59,1371.81,
245634369,Hunagund,152,0,0,0,0,68.13,,,,
245634035,Aiza,147,0,0,0,0,41.37,,,,
245634116,Mudagal,26,0,0,0,0,15.67,,,,
245633662,Sawantwadi,86,1,0,0,0,10.81,168.27,,,
245634631,Kavitala,4,0,0,0,0,132.43,,,,
245632509,Yelburga,58,0,0,0,0,38.31,,,,
245633356,Nandikotkur,192,2,0,0,0,3.81,897.61,,,
245632883,Kushtagi,144,1,0,0,0,20.66,1081.37,,,
245634071,Kudal,125,4,0,0,0,8.91,789.47,,,
245634764,Lingasugur,265,0,1,0,0,50.18,,360.69,,
245633221,Mantralayam,177,0,0,0,0,1.96,,,,
245635445,Gargoti,211,0,0,0,0,40.49,,,,
245635537,Bilagi,30,0,0,0,0,27.58,,,,
245635541,Muddebihala,109,0,0,0,0,33.36,,,,
245636066,Chikkodi,95,0,0,0,0,19.67,,,,
245635562,Mudhol,558,5,0,0,0,89.39,1125.16,,,
245635270,Sankeshwara,315,1,0,0,0,22.06,1890.01,,,
245634966,Raichur,1222,2,0,0,0,108.26,1634.6,,,
245635123,Tenali,1463,1,3,0,0,14.03,698.26,1521.04,,
245636296,Talikoti,126,0,0,0,0,12.05,,,,
245636222,Hunasagi,33,1,0,0,0,22.05,497.9,,,
245636198,Narasapuram,426,1,0,0,0,2.36,153.72,,,
245636409,Teradala,19,0,0,0,0,36.95,,,,
245636374,Rayabag,39,0,0,0,0,34.68,,,,
245636037,Devadurga,95,0,0,0,0,190.62,,,,
245636309,Rabakavi Banahatti,551,1,0,0,0,166.43,1799.36,,,
245636122,Kolahara,146,0,0,0,0,11.81,,,,
245636355,Piduguralla,300,2,0,0,0,55.7,628.99,,,
245635917,Nippani,231,0,0,0,0,27.2,,,,
245634772,Siravara,239,0,0,0,0,45.15,,,,
245635168,Hukkeri,235,1,0,0,0,49.27,1596.53,,,
245636426,Jamakhandi,405,1,2,0,0,20.9,1283.91,1528.5,,
245636442,Makhtal,141,0,0,0,0,49.36,,,,
245635276,Kankavali,226,0,0,0,0,26.43,,,,
245636545,Surapura,41,0,0,0,0,47.04,,,,
245634769,Lokapura,105,1,0,0,0,2.45,1840.28,,,
245635719,Vuyyuru,547,2,14,0,0,5.57,1110.11,879.19,,
245635855,Mahalingapura,255,1,0,0,0,5.73,224.47,,,
245636315,Mangalagiri,1255,7,5,0,0,16.5,1260.03,1230.76,,
245636573,Kaikaluru,327,0,0,0,0,4.39,,,,
245634831,Gokak,591,1,0,0,0,42.87,1887.38,,,
245636415,Tadepalle,632,1,52,0,1,55.87,2002.4,76.82,,1850.68
245636776,Gannavaram,311,2,3,0,0,118.12,243.44,1273.98,,
245636944,Basavana Bagevadi,95,0,0,0,0,57.88,,,,
245635096,Gadahinglaj,548,0,0,0,0,23.28,,,,
245636833,Gurazala,312,1,0,0,0,36.33,1534.01,,,
245636099,Gudivada,1067,1,6,0,0,7.73,373.53,1311.18,,
245636751,Bhimavaram,1122,2,0,0,0,54.13,1523.95,,,
245636946,Kagal,378,0,0,0,0,3.83,,,,
245637103,Akividu,363,1,0,0,0,0.83,1319.27,,,
245637716,Kurundwad,305,0,0,0,0,19.3,,,,
245638443,Nandigama,601,0,0,0,0,21.49,,,,
245637517,Mummidivaram,96,0,0,0,0,0.0,,,,
245638469,Gurumathakal,61,0,0,0,0,24.45,,,,
245638351,Yadgiri,213,4,0,0,0,245.07,866.91,,,
245637569,Managoli,56,0,0,0,0,6.08,,,,
245638536,Tadepallegudem,1162,1,0,0,0,14.11,702.2,,,
245638257,Mahbubnagar,1784,1,0,0,0,66.7,2180.49,,,
245639074,Ashta,69,0,0,0,0,91.08,,,,
245639328,Jevaragi,212,1,0,0,0,22.6,1763.32,,,
245638877,Jaggayyapeta,192,2,1,0,0,61.06,456.59,836.46,,
