location_id,city,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,temperature,humidity,wind_speed,wind_deg,timestamp,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m
125904109,Mohali,30.7041168,76.7176885,146.79,Moderate,168.68,Moderate,941.58,Severe,12.69,Good,7.88,Good,104.19,Moderate,5,15.94,57,3.61,326,1766499058,1677.0,4.0,0.0,0.0,0.0,16.95,867.79,,,
125905496,Morinda,30.7908462,76.4984505,136.95,Moderate,159.41,Moderate,901.64,Severe,13.12,Good,8.38,Good,104.82,Moderate,5,16.26,56,3.59,314,1766499058,393.0,2.0,0.0,0.0,0.0,9.59,870.35,,,
125906063,Kurali,30.8314536,76.5784763,128.95,Moderate,149.53,Moderate,887.19,Severe,11.29,Good,7.53,Good,102.1,Moderate,5,15.99,57,3.38,325,1766499058,661.0,1.0,0.0,0.0,0.0,44.11,1335.88,,,
125907877,Rupnagar,30.9688367,76.526088,128.95,Moderate,149.53,Moderate,887.19,Severe,11.29,Good,7.53,Good,102.1,Moderate,5,16.06,57,3.11,331,1766499058,579.0,0.0,0.0,0.0,0.0,88.56,,,,
126094102,Moga,30.8223408,75.1730967,109.17,Moderate,139.09,Moderate,917.53,Severe,15.39,Good,4.05,Good,86.52,Satisfactory,5,16.05,43,3.1,309,1766499058,1819.0,1.0,0.0,0.0,0.0,28.55,1597.66,,,
165089167,Pahalgam,34.0322048,75.3226479,38.66,Good,53.02,Satisfactory,638.91,Severe,22.79,Good,3.5,Good,61.79,Satisfactory,3,0.09,45,4.68,52,1766499058,4.0,0.0,4.0,0.0,0.0,343.9,,343.9,,
176044062,Ambala,30.3843674,76.770421,157.79,Moderate,185.32,Moderate,910.18,Severe,13.65,Good,8.94,Good,112.5,Moderate,5,16.81,54,3.97,303,1766499058,2095.0,3.0,0.0,0.0,0.0,34.33,1264.28,,,
176047379,Doraha,30.7988727,76.0372906,118.47,Moderate,142.63,Moderate,832.78,Severe,13.54,Good,7.81,Good,102.51,Moderate,5,16.32,51,3.78,302,1766499058,554.0,3.0,0.0,0.0,0.0,11.35,1189.58,,,
243327628,Sriperumbudur,12.9666144,79.9458077,49.08,Good,59.36,Satisfactory,316.9,Very Poor,12.5,Good,8.99,Good,102.03,Moderate,3,25.22,80,3.48,28,1766499058,460.0,3.0,1.0,1.0,0.0,35.59,1702.44,637.33,2266.16,
243327788,Poonamallee,13.0492031,80.1010677,49.93,Good,59.71,Satisfactory,305.81,Very Poor,11.3,Good,7.92,Good,104.94,Moderate,3,25.37,77,3.6,50,1766499058,1768.0,14.0,3.0,0.0,0.0,51.56,572.24,566.74,,
243416825,Sahnewal,30.8402061,75.983601,102.01,Moderate,125.71,Moderate,774.94,Severe,12.13,Good,6.55,Good,98.0,Satisfactory,5,16.29,50,3.75,300,1766499058,764.0,5.0,0.0,0.0,0.0,11.0,784.33,,,
243713144,Vellore,12.9071753,79.1309695,38.74,Good,48.88,Good,309.83,Very Poor,14.34,Good,7.77,Good,85.39,Satisfactory,3,20.39,72,2.0,69,1766499058,1357.0,1.0,0.0,0.0,0.0,62.56,355.22,,,
243859333,Jagraon,30.8041704,75.4753645,99.28,Satisfactory,125.84,Moderate,803.18,Severe,13.39,Good,5.17,Good,92.33,Satisfactory,5,16.16,46,3.42,309,1766499058,609.0,0.0,0.0,0.0,0.0,13.69,,,,
243869887,Gill,30.846374,75.8628312,102.01,Moderate,125.71,Moderate,774.94,Severe,12.13,Good,6.55,Good,98.0,Satisfactory,5,16.22,49,3.7,302,1766499058,1803.0,0.0,0.0,0.0,0.0,4.45,,,,
245133391,Dehlon,30.7431327,75.8505198,109.82,Moderate,135.12,Moderate,803.89,Severe,13.52,Good,6.74,Good,99.57,Satisfactory,5,16.26,49,3.68,309,1766499058,300.0,1.0,0.0,0.0,0.0,2.71,1958.21,,,
245580128,Nagercoil,8.1839904,77.4315437,28.02,Good,38.16,Good,150.09,Moderate,1.18,Good,2.95,Good,107.74,Moderate,3,23.49,74,1.8,5,1766499058,1074.0,2.0,9.0,0.0,0.0,7.3,297.27,1075.01,,
245581303,Nanguneri,8.4892568,77.6596709,30.42,Good,40.71,Good,161.53,Moderate,1.57,Good,3.16,Good,108.65,Moderate,3,22.79,79,2.06,34,1766499058,66.0,1.0,0.0,0.0,0.0,59.93,2216.56,,,
245581432,Thiruvananthapuram,8.4882267,76.947551,63.92,Satisfactory,70.91,Satisfactory,216.33,Poor,0.86,Good,1.88,Good,125.82,Moderate,4,27.94,74,1.54,270,1766498667,2502.0,4.0,2.0,0.0,1.0,3.54,432.06,1793.39,,2021.47
245581609,Nazareth,8.5599258,77.9719457,26.43,Good,36.83,Good,157.82,Moderate,1.71,Good,3.07,Good,103.94,Moderate,3,24.68,73,4.46,58,1766499058,104.0,0.0,0.0,0.0,0.0,100.17,,,,
