city_x,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,location_id,temperature,humidity,wind_speed,wind_deg,timestamp,hour,day_of_week,month,season,city_y,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m,latitude,longitude,Pollution_Source
Rupnagar,0.2603872868869711,Moderate,0.2562477686540521,Moderate,0.312079764297282,Severe,0.1301080319398778,Good,0.0819617806252071,Good,0.4170690210143928,Moderate,5,125907877,0.7069886231715812,0.4487179487179487,0.3702380952380952,0.9194444444444444,1970-01-01 00:00:01.766499058,0,3,1,Winter,Rupnagar,579.0,0.0,0.0,0.0,0.0,88.56,916.48,814.3299999999999,894.22,340.4,30.9688367,76.526088,Natural
Moga,0.218753946537571,Moderate,0.2376115672973938,Moderate,0.3239195332773994,Severe,0.1782527007984969,Good,0.0435214845907433,Good,0.34542695544213,Satisfactory,5,126094102,0.7067564429997679,0.2692307692307691,0.369047619047619,0.8583333333333334,1970-01-01 00:00:01.766499058,0,3,1,Winter,Moga,1819.0,1.0,0.0,0.0,0.0,28.55,1597.66,814.3299999999999,894.22,340.4,30.8223408,75.1730967,Natural
Pahalgam,0.0703430856661755,Good,0.0839700107104605,Satisfactory,0.2151918986946595,Severe,0.2651479567872239,Good,0.0374461504473655,Good,0.2317101209362211,Satisfactory,3,165089167,0.3361968887856977,0.2948717948717948,0.557142857142857,0.1444444444444444,1970-01-01 00:00:01.766499058,0,3,1,Winter,Pahalgam,4.0,0.0,4.0,0.0,0.0,343.9,916.48,343.9,894.22,340.4,34.0322048,75.3226479,Natural
Ambala,0.3210902967796253,Moderate,0.3201356658336308,Moderate,0.3210512965600671,Severe,0.1578205730389854,Good,0.0975367281564122,Good,0.4648917092012691,Moderate,5,176044062,0.7244021360575806,0.4102564102564102,0.4726190476190476,0.8416666666666667,1970-01-01 00:00:01.766499058,0,3,1,Winter,Ambala,2095.0,3.0,0.0,0.0,0.0,34.33,1264.28,814.3299999999999,894.22,340.4,30.3843674,76.770421,Natural
Doraha,0.2383287728899179,Moderate,0.2439307390217779,Moderate,0.2908470078632612,Severe,0.1565288868013151,Good,0.0850546780072904,Good,0.4189543385294524,Moderate,5,176047379,0.7130253076387276,0.3717948717948718,0.4499999999999999,0.8388888888888889,1970-01-01 00:00:01.766499058,0,3,1,Winter,Doraha,554.0,3.0,0.0,0.0,0.0,11.35,1189.58,814.3299999999999,894.22,340.4,30.7988727,76.0372906,Natural
Sriperumbudur,0.0922753104609555,Good,0.0952873973580864,Satisfactory,0.0895319115724571,Very Poor,0.1443165805542507,Good,0.0980890312603556,Good,0.4167471375362119,Moderate,3,243327628,0.9196656605525888,0.7435897435897435,0.4142857142857142,0.0777777777777777,1970-01-01 00:00:01.766499058,0,3,1,Winter,Sriperumbudur,460.0,3.0,1.0,1.0,0.0,35.59,1702.44,637.33,2266.16,340.4,12.9666144,79.9458077,Natural
Poonamallee,0.0940644074931593,Good,0.0959121742234916,Satisfactory,0.0852041911377338,Very Poor,0.1302254579614842,Good,0.0862697448359659,Good,0.4301282935577321,Moderate,3,243327788,0.9231483631297888,0.7051282051282051,0.4285714285714285,0.1388888888888889,1970-01-01 00:00:01.766499058,0,3,1,Winter,Poonamallee,1768.0,14.0,3.0,0.0,0.0,51.56,572.24,566.74,894.22,340.4,13.0492031,80.1010677,Natural
Sahnewal,0.2036834350663018,Moderate,0.2137272402713317,Moderate,0.268275740961152,Severe,0.1399718177548144,Good,0.0711366397879156,Good,0.3982158458637973,Satisfactory,5,243416825,0.7123287671232876,0.3589743589743589,0.4464285714285714,0.8333333333333334,1970-01-01 00:00:01.766499058,0,3,1,Winter,Sahnewal,764.0,5.0,0.0,0.0,0.0,11.0,784.33,814.3299999999999,894.22,340.4,30.8402061,75.983601,Natural
Vellore,0.0705114712692065,Good,0.076579792931096,Good,0.086772941015785,Very Poor,0.1659229685298261,Good,0.0846128355241356,Good,0.3402308364372097,Satisfactory,3,243713144,0.8075226375667518,0.641025641025641,0.238095238095238,0.1916666666666666,1970-01-01 00:00:01.766499058,0,3,1,Winter,Vellore,1357.0,1.0,0.0,0.0,0.0,62.56,355.22,814.3299999999999,894.22,340.4,12.9071753,79.1309695,Natural
Jagraon,0.1979372763628709,Satisfactory,0.2139593002499107,Moderate,0.2792960137363173,Severe,0.1547674964772193,Good,0.0558930741190765,Good,0.3721432841311445,Satisfactory,5,243859333,0.7093104248897144,0.3076923076923077,0.4071428571428571,0.8583333333333334,1970-01-01 00:00:01.766499058,0,3,1,Winter,Jagraon,609.0,0.0,0.0,0.0,0.0,13.69,916.48,814.3299999999999,894.22,340.4,30.8041704,75.4753645,Natural
Gill,0.2036834350663018,Moderate,0.2137272402713317,Moderate,0.268275740961152,Severe,0.1399718177548144,Good,0.0711366397879156,Good,0.3982158458637973,Satisfactory,5,243869887,0.7107035059205944,0.3461538461538461,0.4404761904761904,0.8388888888888889,1970-01-01 00:00:01.766499058,0,3,1,Winter,Gill,1803.0,0.0,0.0,0.0,0.0,4.45,916.48,814.3299999999999,894.22,340.4,30.846374,75.8628312,Natural
Dehlon,0.2201220795621974,Moderate,0.2305248125669404,Moderate,0.2795730815008487,Severe,0.1562940347581023,Good,0.0732353915829007,Good,0.4054352324458546,Satisfactory,5,245133391,0.7116322266078478,0.3461538461538461,0.4380952380952381,0.8583333333333334,1970-01-01 00:00:01.766499058,0,3,1,Winter,Dehlon,300.0,1.0,0.0,0.0,0.0,2.71,1958.21,814.3299999999999,894.22,340.4,30.7431327,75.8505198,Natural
Nagercoil,0.0479478004630604,Good,0.0574437700821135,Good,0.0244365963590954,Moderate,0.0113903240958196,Good,0.0313708163039876,Good,0.443003632684968,Moderate,3,245580128,0.8794984908288832,0.6666666666666666,0.2142857142857142,0.0138888888888888,1970-01-01 00:00:01.766499058,0,3,1,Winter,Nagercoil,1074.0,2.0,9.0,0.0,0.0,7.3,297.27,1075.01,894.22,340.4,8.1839904,77.4315437,Natural
Nanguneri,0.0529993685539886,Good,0.06199571581578,Good,0.028900899494644,Moderate,0.0159699389384687,Good,0.03369048934055,Good,0.4471881179013198,Moderate,3,245581303,0.8632458788019503,0.7307692307692307,0.2452380952380952,0.0944444444444444,1970-01-01 00:00:01.766499058,0,3,1,Winter,Nanguneri,66.0,1.0,0.0,0.0,0.0,59.93,2216.56,814.3299999999999,894.22,340.4,8.4892568,77.6596709,Natural
Thiruvananthapuram,0.1235108398231951,Satisfactory,0.1159050339164584,Satisfactory,0.050285848081013,Poor,0.0076326914044152,Good,0.0195515298795979,Good,0.5261415367636915,Moderate,4,245581432,0.9828186672858138,0.6666666666666666,0.1833333333333333,0.75,1970-01-01 00:00:01.766498667,0,3,1,Winter,Thiruvananthapuram,2502.0,4.0,2.0,0.0,1.0,3.54,432.06,1793.39,894.22,2021.47,8.4882267,76.947551,Natural
