location_id,location_name,sensor_id,parameter,parameter_original,parameter_display,value,unit,datetime_utc,datetime_local,latitude,longitude
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,62.91,%,2025-11-25T04:00:00Z,2025-11-25T09:30:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,64.54,%,2025-11-25T04:15:00Z,2025-11-25T09:45:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,64.35,%,2025-11-25T04:30:00Z,2025-11-25T10:00:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,62.81,%,2025-11-25T04:45:00Z,2025-11-25T10:15:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,60.27,%,2025-11-25T05:00:00Z,2025-11-25T10:30:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,60.55,%,2025-11-25T05:15:00Z,2025-11-25T10:45:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,57.08,%,2025-11-25T05:30:00Z,2025-11-25T11:00:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,56.84,%,2025-11-25T05:45:00Z,2025-11-25T11:15:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,55.95,%,2025-11-25T06:00:00Z,2025-11-25T11:30:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,53.88,%,2025-11-25T06:15:00Z,2025-11-25T11:45:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,50.53,%,2025-11-25T06:30:00Z,2025-11-25T12:00:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,46.42,%,2025-11-25T07:00:00Z,2025-11-25T12:30:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,45.92,%,2025-11-25T07:15:00Z,2025-11-25T12:45:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,46.21,%,2025-11-25T07:30:00Z,2025-11-25T13:00:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,46.36,%,2025-11-25T07:45:00Z,2025-11-25T13:15:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,46.69,%,2025-11-25T08:00:00Z,2025-11-25T13:30:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,46.85,%,2025-11-25T08:15:00Z,2025-11-25T13:45:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,45.98,%,2025-11-25T08:30:00Z,2025-11-25T14:00:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,43.77,%,2025-11-25T09:00:00Z,2025-11-25T14:30:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,45.65,%,2025-11-25T09:15:00Z,2025-11-25T14:45:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,48.54,%,2025-11-25T09:30:00Z,2025-11-25T15:00:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,50.13,%,2025-11-25T10:00:00Z,2025-11-25T15:30:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,51.14,%,2025-11-25T10:15:00Z,2025-11-25T15:45:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,51.52,%,2025-11-25T10:30:00Z,2025-11-25T16:00:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,54.81,%,2025-11-25T10:45:00Z,2025-11-25T16:15:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,55.54,%,2025-11-25T11:00:00Z,2025-11-25T16:30:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,57.54,%,2025-11-25T11:15:00Z,2025-11-25T16:45:00+05:30,11.258242,77.552761
3409527,"SIPCOT Industrial Park, Perundurai - TNPCB",12238702,humidity,relativehumidity,RH,59.81,%,2025-11-25T11:30:00Z,2025-11-25T17:00:00+05:30,11.258242,77.552761
