City,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Recycling_Count,Green_Area_Count
Adzope,598,0,0,0,0,0,0
Aerzen,202,11,21,0,0,3,20
Aesch,0,0,0,0,0,0,0
Affery,195,0,0,0,0,0,1
Affoltern,0,0,0,0,0,0,0
Affton,0,0,0,0,0,0,0
Afgoye,51,0,25,0,0,0,9
Afikpo,0,0,0,0,0,0,0
Afipskiy,0,0,0,0,0,0,0
Aflao,316,0,1,1,0,0,0
Aflu,0,0,0,0,0,0,0
Afmadu,0,0,0,0,0,0,0
Afogados Da Ingazeira,0,0,0,0,0,0,0
Afonso Claudio,329,0,10,1,0,0,105
Afragola,915,25,92,0,0,0,23
Afsin,690,0,0,0,0,0,0
Afyonkarahisar,0,0,0,0,0,0,0
Afzalgarh,23,0,0,0,0,0,0
Afzalpur,32,1,0,0,0,0,0
Agadez,621,0,4,1,0,0,0
Agadir,0,0,0,0,0,0,0
Agar,21,0,1,0,0,0,0
Agaro,301,0,0,0,0,0,0
Agartala,0,0,0,0,0,0,0
Agawam,293,1,3,0,0,0,1
Agbor,821,0,0,0,0,0,0
Agboville,523,0,3,0,0,0,1
Agdam,0,0,0,0,0,0,0
Agdas,0,0,0,0,0,0,0
Agde,0,0,0,0,0,0,0
Agen,1447,9,8,0,30,65,74
Ageo,2368,40,371,0,0,0,55
Agha Jari,9,0,0,0,0,0,0
Agidel,83,8,2,0,0,1,8
Aginskoye,0,0,0,0,0,0,0
Agliana,588,15,58,0,0,0,8
Agnibilekrou,0,0,0,0,0,0,0
Agnita,0,0,0,0,0,0,0
Agogo,357,0,2,0,0,0,2
Agoo,0,0,0,0,0,0,0
Agoura Hills,405,0,0,0,0,0,11
Agra,0,0,0,0,0,0,0
Agrate Brianza,649,83,180,0,0,1,62
Agrestina,447,1,0,0,0,0,0
Agrigento,830,9,11,0,0,0,19
Agrinion,1441,5,24,0,0,0,5
Agropoli,471,5,4,0,0,0,0
Agstafa,0,0,0,0,0,0,0
Agsu,0,0,0,0,0,0,0
Agua Branca,0,0,0,0,0,0,0
Agua De Dios,263,0,0,0,0,0,0
Agua Dulce,158,0,1,0,0,0,0
Agua Preta,0,0,0,0,0,0,0
Agua Prieta,0,0,0,0,0,0,0
Aguachica,526,4,0,0,0,0,20
Aguada De Pasajeros,0,0,0,0,0,0,0
Aguadas,150,0,5,0,0,0,7
Aguadilla,0,0,0,0,0,0,0
Aguadulce,135,5,2,0,0,1,0
Aguai,490,23,23,0,0,0,27
Aguas Belas,567,0,1,0,0,0,8
Aguas De Lindoia,388,0,5,0,0,0,55
Aguas Formosas,0,0,0,0,0,0,0
Aguas Santas,0,0,0,0,0,0,0
Aguas Vermelhas,0,0,0,0,0,0,0
Aguascalientes,1960,2,0,0,0,1,16
Aguazul,0,0,0,0,0,0,0
Agudos,528,1,0,0,0,0,2
Agueda,0,0,0,0,0,0,0
Aguie,213,0,0,0,0,0,0
Aguilar De La Frontera,272,7,0,0,0,0,0
Aguilares,428,0,0,0,0,1,0
Aguilas,839,7,15,1,0,4,8
Aguimes,553,1,52,0,1,8,0
Aguisan,53,1,20,0,0,0,0
Agulu,137,0,0,0,0,0,0
Agustin Codazzi,526,0,2,0,0,0,9
Ahar,1723,0,0,0,0,0,0
Ahaus,0,0,0,0,0,0,0
Ahlat,224,0,0,0,0,0,0
Ahlen,668,29,81,0,0,18,103
Ahmadabad,0,0,0,0,0,0,0
Ahmadnagar,11,0,0,0,0,0,0
Ahmadpur,0,0,0,0,0,0,0
Ahmadpur East,403,0,0,0,0,0,0
Ahmadpur Sial,0,0,0,0,0,0,0
Ahome,59,0,0,0,0,0,0
Ahraura,0,0,0,0,0,0,0
Ahrensburg,676,5,24,0,29,28,98
Ahuachapan,0,0,0,0,0,0,0
Ahualulco,0,0,0,0,0,0,0
Ahvaz,0,0,0,0,0,0,0
Ahwa,54,0,0,0,0,0,0
Aichach,0,0,0,0,0,0,0
Aigaleo,2178,32,18,0,0,27,9
Aiken,0,0,0,0,0,0,0
Aimores,0,0,0,0,0,0,0
Aioi,0,0,0,0,0,0,0
Airdrie,0,0,0,0,0,0,0
Aiud,244,3,5,0,0,0,8
Aix En Provence,2010,7,0,0,47,131,20
Aix Les Bains,0,0,0,0,0,0,0
Aiyion,0,0,0,0,0,0,0
Aizawl,653,0,0,0,0,0,0
Aja,181,3,11,0,0,0,17
Ajaccio,694,10,0,0,3,26,8
Ajaigarh,13,0,0,0,0,0,0
Ajalpan,85,0,0,0,0,0,0
Ajdabiya,1423,0,0,0,0,0,0
Ajijic,389,0,0,0,0,0,4
Ajjampur,0,0,0,0,0,0,0
Ajka,349,10,13,0,1,7,19
Ajmer,2087,0,0,0,0,0,5
Ajnala,0,0,0,0,0,0,0
Ajoloapan,561,0,2,0,0,0,0
Ajra,0,0,0,0,0,0,0
Ajtos,291,41,6,0,2,0,24
Ak Dovurak,0,0,0,0,0,0,0
Akabira,0,0,0,0,0,0,0
Akalkot,15,0,0,0,0,0,0
Akaltara,123,0,0,0,0,0,0
Akashi,1323,8,13,0,0,0,19
Akbarpur,17,1,0,0,0,0,0
Akcaabat,365,0,0,0,0,0,14
Akcakoca,359,0,3,0,0,0,2
Akdagmadeni,6,0,0,0,0,0,1
Akdepe,315,0,1,0,0,0,9
Akersberga,0,0,0,0,0,0,0
Aketi,0,0,0,0,0,0,0
Akharnai,0,0,0,0,0,0,0
Akhisar,1294,1,3,0,0,0,8
Akhmim,0,0,0,0,0,0,0
Akhnur,0,0,0,0,0,0,0
Akhtubinsk,230,23,0,0,2,4,9
Akhty,131,0,0,0,0,0,0
Akhtyrskiy,152,2,7,0,0,0,54
Aki,0,0,0,0,0,0,0
Akiruno,1104,1,71,0,0,2,55
Akishima,0,0,0,0,0,0,0
Akita,54,0,2,0,0,0,9
Akividu,363,1,0,0,0,0,0
Akkudah,0,0,0,0,0,0,0
Aklera,6,0,0,0,0,0,0
Ako,0,0,0,0,0,0,0
Akodia,0,0,0,0,0,0,0
Akola,75,0,0,0,0,0,0
Akonolinga,202,0,3,0,0,0,8
Akora,109,0,0,0,0,0,0
Akot,2,0,0,0,0,0,0
Akoupe,194,0,0,0,0,0,0
Akron,0,0,0,0,0,0,0
Akropong,636,2,1,0,0,0,1
Aksaray,0,0,0,0,0,0,0
Aksay,430,28,6,0,20,2,129
Aksehir,0,0,0,0,0,0,0
Aksu,0,0,0,0,0,0,0
Aksum,798,1,0,0,0,0,0
Aktash,38,6,0,2,2,0,65
Aktau,178,9,0,0,1,0,1
Aku,15,0,0,0,0,0,0
Akure,0,0,0,0,0,0,0
Akureyri,666,8,14,0,2,10,88
Akwatia,0,0,0,0,0,0,0
Akyab,521,2,1,1,0,0,0
Alabaster,414,0,0,0,0,0,0
Alabel,437,1,4,1,0,0,0
Alaca,686,6,0,0,0,0,1
Alagir,204,21,0,0,0,0,6
Alagoa Grande,0,0,0,0,0,0,0
Alagoinhas,0,0,0,0,0,0,0
Alajuela,0,0,0,0,0,0,0
Alajuelita,0,0,0,0,0,0,0
Alameda,0,0,0,0,0,0,0
Alaminos,48,0,0,0,0,0,2
Alamo,450,1,0,0,0,0,0
Alamogordo,362,5,0,0,0,0,0
Alampur,132,0,0,0,0,0,1
Aland,33,8,25,0,0,0,15
Alandi,4,0,3,0,0,0,0
Alandur,0,0,0,0,0,0,0
Alanganallur,104,0,9,0,0,0,0
Alangayam,128,0,0,0,0,0,2
Alangudi,0,0,0,0,0,0,0
Alangulam,64,0,0,0,0,0,0
Alanya,1467,2,0,0,26,7,14
Alappuzha,1,0,2,0,0,0,0
Alapur,369,0,0,0,0,0,3
Alasehir,784,0,1,0,0,0,0
Alashtar,0,0,0,0,0,0,0
Alassio,897,0,0,0,8,1,13
Alatri,200,2,0,0,0,0,47
Alausi,0,0,0,0,0,0,0
Alaverdi,117,1,1,1,0,0,49
Alba,7,0,0,0,0,0,9
Alba Iulia,719,3,8,0,0,5,57
Albacete,1468,26,55,0,12,735,122
Albal,0,0,0,0,0,0,0
Albano Laziale,0,0,0,0,0,0,0
Albany,823,16,0,0,0,1,108
Albemarle,39,0,0,0,0,0,13
Albenga,465,1,561,0,5,6,10
Alberobello,486,0,1,0,1,5,22
Albert,0,0,0,0,0,0,0
Albert Lea,393,18,0,0,0,0,7
Albertirsa,239,3,6,1,0,6,20
Alberton,880,2,0,0,0,0,6
Albertville,599,8,4,0,17,35,220
Albi,1400,3,3,0,12,72,9
Albignasego,648,2,15,0,0,2,1
Albino,349,16,1,1,0,7,46
Alblasserdam,904,8,16,0,5,20,404
