location_id,location_name,sensor_id,pollutant_name,value,unit,latitude,longitude,timestamp_utc,hour,day,month,day_of_week,source_label,country,source
17,"R K Puram, Delhi - DPCC",393,so2,63.5,µg/m³,28.563262,77.186937,,,,,,Industrial,IN,OpenAQ v3
17,"R K Puram, Delhi - DPCC",12234789,so2,37.5,ppb,28.563262,77.186937,,,,,,Industrial,IN,OpenAQ v3
17,"R K Puram, Delhi - DPCC",12234789,so2,37.8,ppb,28.563262,77.186937,,,,,,Industrial,IN,OpenAQ v3
17,"R K Puram, Delhi - DPCC",12234789,so2,31.0,ppb,28.563262,77.186937,,,,,,Industrial,IN,OpenAQ v3
17,"R K Puram, Delhi - DPCC",12234789,so2,32.1,ppb,28.563262,77.186937,,,,,,Industrial,IN,OpenAQ v3
17,"R K Puram, Delhi - DPCC",12234789,so2,31.9,ppb,28.563262,77.186937,,,,,,Industrial,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",398,co,2900.0,µg/m³,28.674045,77.131023,,,,,,Vehicular,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",398,co,3400.0,µg/m³,28.674045,77.131023,,,,,,Vehicular,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",398,co,3500.0,µg/m³,28.674045,77.131023,,,,,,Vehicular,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",398,co,4000.0,µg/m³,28.674045,77.131023,,,,,,Vehicular,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",398,co,4300.0,µg/m³,28.674045,77.131023,,,,,,Vehicular,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234791,co,1.13,ppb,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234791,co,1.18,ppb,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234791,co,1.11,ppb,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234791,co,1.08,ppb,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234791,co,1.05,ppb,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234793,no2,41.1,ppb,28.674045,77.131023,,,,,,Vehicular,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234793,no2,39.9,ppb,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234793,no2,38.6,ppb,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
50,"Punjabi Bagh, Delhi - DPCC",12234793,no2,39.0,ppb,28.674045,77.131023,,,,,,Unknown,IN,OpenAQ v3
