city,location_id,location_name,sensor_id,pollutant,value,unit,latitude,longitude,timestamp_utc,country,source
,17,"R K Puram, Delhi - DPCC",394,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",14.6,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",394,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",15.5,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",394,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",19.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",394,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",17.4,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",394,"{'id': 3, 'name': 'o3', 'units': 'µg/m³', 'displayName': None}",14.2,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",399,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",582.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",399,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",582.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",399,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",580.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",399,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",580.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",399,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",580.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234786,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",182.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234786,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",182.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234786,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",182.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234786,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",167.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234786,"{'id': 1, 'name': 'pm10', 'units': 'µg/m³', 'displayName': None}",167.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234787,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",123.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234787,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",97.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234787,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",97.0,,28.563262,77.186937,,IN,OpenAQ v3
,17,"R K Puram, Delhi - DPCC",12234787,"{'id': 2, 'name': 'pm25', 'units': 'µg/m³', 'displayName': None}",97.0,,28.563262,77.186937,,IN,OpenAQ v3
