location_id,location_name,sensor_id,parameter,parameter_original,parameter_display,value,unit,datetime_utc,datetime_local,latitude,longitude
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.53,µg/m³,2025-11-14T19:45:00Z,2025-11-15T01:15:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.37,µg/m³,2025-11-14T20:00:00Z,2025-11-15T01:30:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.79,µg/m³,2025-11-14T20:15:00Z,2025-11-15T01:45:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.27,µg/m³,2025-11-14T20:30:00Z,2025-11-15T02:00:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.1,µg/m³,2025-11-14T20:45:00Z,2025-11-15T02:15:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.34,µg/m³,2025-11-14T21:00:00Z,2025-11-15T02:30:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.42,µg/m³,2025-11-14T21:15:00Z,2025-11-15T02:45:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.08,µg/m³,2025-11-14T21:30:00Z,2025-11-15T03:00:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.69,µg/m³,2025-11-14T21:45:00Z,2025-11-15T03:15:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.73,µg/m³,2025-11-14T22:00:00Z,2025-11-15T03:30:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.13,µg/m³,2025-11-14T22:15:00Z,2025-11-15T03:45:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.22,µg/m³,2025-11-14T22:30:00Z,2025-11-15T04:00:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.51,µg/m³,2025-11-14T22:45:00Z,2025-11-15T04:15:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.15,µg/m³,2025-11-14T23:00:00Z,2025-11-15T04:30:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.94,µg/m³,2025-11-14T23:15:00Z,2025-11-15T04:45:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.37,µg/m³,2025-11-14T23:30:00Z,2025-11-15T05:00:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.67,µg/m³,2025-11-14T23:45:00Z,2025-11-15T05:15:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,23.09,µg/m³,2025-11-15T00:00:00Z,2025-11-15T05:30:00+05:30,12.9135218,77.5950804
5548,"BTM Layout, Bengaluru - CPCB",12235359,o3,o3,O₃ mass,22.8,µg/m³,2025-11-15T00:15:00Z,2025-11-15T05:45:00+05:30,12.9135218,77.5950804
