State / Union Territory,City / town / village,SO2,NO2,PM10,PM2.5,Year,Location,Latitude,Longitude,Temperature (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Weather Condition,AQI_PM2.5,AQI_PM10,AQI_SO2,AQI_NO2,AQI,AQI_Category,Roads_count,Industrial_zones_count,Dump_sites_count,Agricultural_fields_count,Urban_density_score,Industrial_presence,Pollution_source_risk,Green_area_ratio,dist_nearest_road_m,dist_nearest_ind_m,dist_nearest_dump_m,dist_nearest_agri_m
Maharashtra,Pune,26,38,108,45,2021,"Pune, Maharashtra, India",18.5213738,73.8545071,19.49,77,1015,1.6,138,clear sky,74.65517241,105.6510067,32.5,47.5,105.6510067,Moderate,17991,18,1,133,0.5,1,54.05,0.01,776691.4466,614621.1108,572419.1567,772427.9877
Maharashtra,Roha,10,33,128,,2021,"Roha, Maharashtra, India",18.44658,73.1238722,19.92,59,1013,1.56,87,clear sky,,118.9395973,12.5,41.25,118.9395973,Moderate,139,4,0,1,0,1,0.43,0.01,852054.0757,666872.8114,567347.5235,847965.1599
Maharashtra,Sangli,9,37,72,,2021,"Sangli, Maharashtra, India",17.1726928,74.5867654,18.69,50,1015,4.96,65,clear sky,,72,11.25,46.25,72,Satisfactory,68,0,0,0,0,0,0.2,0,662602.5332,446234.911,746203.6904,659251.1892
Maharashtra,Solapur,11,16,72,36,2021,"Solapur, Maharashtra, India",17.8499067,75.2763203,17.97,52,1015,2.71,91,clear sky,59.44827586,72,13.75,20,72,Satisfactory,136,1,0,0,0,1,0.41,0,602478.3402,453434.3194,699741.0797,598415.2616
Maharashtra,Thane,11,46,135,,2021,"Thane, Maharashtra, India",19.1943294,72.9701779,25.96,50,1013,1.54,110,smoke,,123.590604,13.75,57.28205128,123.590604,Moderate,9073,151,0,130,0.25,1,27.82,0.01,895821.087,739869.7332,478230.9826,891339.4779
Maharashtra,Ulhas Nagar,21,56,81,,2021,"Ulhas Nagar, Maharashtra, India",19.0641865,72.884834,26.01,50,1013,1.54,110,smoke,,81,26.25,69.84615385,81,Satisfactory,12676,111,2,166,0.35,1,38.48,0.01,899441.8354,735763.4222,492872.6576,895043.4481
Maharashtra,Vasai virar,,,147,41,2021,"Vasai virar, Maharashtra, India",19.4210423,72.8197221,23.74,52,1013,1.98,82,clear sky,67.89655172,131.5637584,,,131.5637584,Moderate,4040,9,0,3,0.11,1,12.16,0,921160.3766,770726.0673,450471.2888,916592.8465
Manipur,Imphal,6,26,123,48,2021,"Imphal, Manipur, India",24.7991162,93.9364419,12.6,87,1016,1.55,30,clear sky,79.72413793,115.6174497,7.5,32.5,115.6174497,Moderate,4511,3,0,0,0.13,1,13.54,0,1793280.971,1422323.675,2051894.761,1793202.707
Meghalaya,Byraihat,13,14,226,30,2021,"Byraihat, Meghalaya, India",25.9045,91.8695,14.65,93,1015,1.69,166,clear sky,50,184.0536913,16.25,17.5,184.0536913,Moderate,10,0,0,1,0,0,0.03,0.09,1664288.403,1331474.086,1788532.202,1693394.547
Meghalaya,Dawki,,8,37,8,2021,"Dawki, Meghalaya, India",25.1856343,92.0215717,18.35,72,1015,2.28,19,clear sky,13.33333333,37,,10,37,Good,557,5,0,1,0.02,1,1.69,0,1649336.347,1283110.677,1836386.581,1649076.53
Meghalaya,Khlihriat,4,7,42,7,2021,"Khlihriat, Meghalaya, India",25.357,92.3534,11.66,86,1016,1.49,12,clear sky,11.66666667,42,5,8.75,42,Good,43,0,0,0,0,0,0.13,0,1691334.621,1324782.273,1862801.985,1691080.102
Meghalaya,Nongstoin,3,8,35,7,2021,"Nongstoin, Meghalaya, India",25.5726394,91.2540803,10.99,78,1016,1.8,99,clear sky,11.66666667,35,3.75,10,35,Good,118,0,0,0,0,0,0.35,0,1606487.948,1254127.796,1739263.831,1614969.663
Meghalaya,Shillong,10,6,27,12,2021,"Shillong, Meghalaya, India",25.5759931,91.8827872,9.39,79,1017,0.93,197,clear sky,20,27,12.5,7.5,27,Good,4703,2,0,57,0.13,1,14.12,0.01,1668250.752,1304233.684,1804186.741,1667911.071
Meghalaya,Tura,3,7,37,6,2021,"Tura, Meghalaya, India",25.5125616,90.2171526,16.72,90,1014,1.53,58,clear sky,10,37,3.75,8.75,37,Good,52,0,0,0,0,0,0.16,0,1496489.289,1170805.787,1635802.556,1525907.274
Meghalaya,Umaim,4,9,101,12,2021,"Umaim, Meghalaya, India",25.671,91.8991,12.36,87,1016,1.45,180,clear sky,20,101,5,11.25,101,Moderate,599,1,0,11,0.02,1,1.8,0.02,1673625.125,1313649.748,1801680.363,1676913.57
Mizoram,Aizwal,10,3,41,24,2021,"Aizwal, Mizoram, India",23.8388812,92.624336,14.06,95,1015,1.12,122,clear sky,40,41,12.5,3.75,41,Good,239,0,0,1,0.01,0,0.72,0,1606808.705,1235625.63,1965308.197,1606760.771
Mizoram,Champhai,2,5,22,15,2021,"Champhai, Mizoram, India",23.6317319,93.3493185,11.4,94,1016,1.05,104,few clouds,25,22,2.5,6.25,25,Good,121,0,0,0,0,0,0.36,0,1662097.518,1290471.22,2048906.265,1662160.753
Mizoram,Khatla,2,5,25,25,2021,"Khatla, Mizoram, India",23.7191348,92.7142154,10.57,88,1015,1.11,111,clear sky,41.66666667,25,2.5,6.25,41.66666667,Good,1627,0,0,0,0.05,0,4.88,0,1607377.178,1235994.908,1980720.581,1607360.482
Mizoram,Kolasib,2,5,17,8,2021,"Kolasib, Mizoram, India",24.2312934,92.6766233,12.93,97,1014,1.06,137,clear sky,13.33333333,17,2.5,6.25,17,Good,100,2,0,0,0,1,0.31,0,1638128.794,1267531.421,1950024.916,1638016.682
Mizoram,Lawngtlai,2,6,65,,2021,"Lawngtlai, Mizoram, India",22.3913377,92.7397189,13.29,83,1014,0.76,70,clear sky,,65,2.5,7.5,65,Satisfactory,7,0,0,0,0,0,0.02,0,1530026.199,1159234.88,2059516.811,1530283.093
Mizoram,Lunglei,2,5,25,6,2021,"Lunglei, Mizoram, India",22.9519972,92.6338827,16.15,79,1014,1.23,76,clear sky,10,25,2.5,6.25,25,Good,22,0,0,0,0,0,0.07,0,1551843.849,1180273.23,2015879.884,1551962.459
Mizoram,Lengpui,2,7,39,39,2021,"Lengpui, Mizoram, India",23.8407048,92.621057,14.06,95,1015,1.12,122,clear sky,64.51724138,39,2.5,8.75,64.51724138,Satisfactory,235,0,0,1,0.01,0,0.7,0,1606623.198,1235445.128,1964882.764,1606574.583
Mizoram,Mamit,2,5,32,,2021,"Mamit, Mizoram, India",23.7564387,92.4515374,15.55,96,1014,1.05,98,clear sky,,32,2.5,6.25,32,Good,24,0,0,0,0,0,0.07,0,1585212.999,1214059.109,1952524.403,1585161.428
Mizoram,Saiha,2,5,37,,2021,"Saiha, Mizoram, India",22.488034,92.9813358,14.39,89,1015,1.58,87,clear sky,,37,2.5,6.25,37,Good,338,0,0,0,0.01,0,1.01,0,1559272.934,1188512.766,2076988.544,1559534.161
Mizoram,Serchhip,2,5,35,,2021,"Serchhip, Mizoram, India",23.3052514,92.8455123,9.23,78,1015,1.22,80,clear sky,,35,2.5,6.25,35,Good,146,0,0,0,0,0,0.44,0,1593653.737,1222023.926,2016487.57,1593726.741
Nagaland,Dimapur,2,7,88,,2021,"Dimapur, Nagaland, India",25.9041378,93.7177609,16.82,93,1014,0.42,207,clear sky,,88,2.5,8.75,88,Satisfactory,3563,6,0,0,0.1,1,10.71,0,1852550.244,1484427.185,1983157.012,1852325.797
Nagaland,Kohima,20,3,77,33,2021,"Kohima, Nagaland, India",25.6618755,94.1019156,11.7,70,1017,1.79,158,clear sky,54.37931034,77,25,3.75,77,Satisfactory,744,1,0,1,0.02,1,2.24,0,1868958.07,1499447.64,2033127.125,1868768.82
Odisha,Angul,10,27,96,36,2021,"Angul, Odisha, India",21.102538,84.9536825,15.23,64,1015,1.53,304,clear sky,59.44827586,96,12.5,33.75,96,Satisfactory,42,3,0,0,0,1,0.14,0,735055.8047,396155.2152,1394891.177,733994.747
Odisha,Balasore,4,11,76,44,2021,"Balasore, Odisha, India",21.5006421,86.919884,16.13,57,1014,2.67,337,clear sky,72.96551724,76,5,13.75,76,Satisfactory,993,1,0,0,0.03,1,2.98,0,926796.9549,563195.8191,1603984.126,926523.5891
Odisha,Berhampur,5,20,63,25,2021,"Berhampur, Odisha, India",21.4930851,86.6327298,16.38,55,1015,1.29,306,clear sky,41.66666667,63,6.25,25,63,Satisfactory,104,0,0,0,0,0,0.31,0,901804.1581,540700.0593,1572397.034,901447.9928
Odisha,Bhubaneshwar,2,16,94,36,2021,"Bhubaneshwar, Odisha, India",20.2602964,85.8394521,17,94,1015,1.54,300,mist,59.44827586,94,2.5,20,94,Satisfactory,9080,4,1,19,0.25,1,27.26,0,740860.6586,373799.5117,1512049.279,740653.5837
Odisha,Bonaigarh,9,12,103,39,2021,"Bonaigarh, Odisha, India",21.7474264,84.356932,14.21,52,1016,0.81,34,clear sky,64.51724138,102.3288591,11.25,15,102.3288591,Moderate,242,0,0,0,0.01,0,0.73,0,754082.8794,446144.5095,1317248.469,752235.2136
Odisha,Brajrajnagar,25,19,71,34,2021,"Brajrajnagar, Odisha, India",21.8498594,83.9254698,14.82,51,1016,1.9,8,clear sky,56.06896552,71,31.25,23.75,71,Satisfactory,180,3,0,0,0.01,1,0.55,0,738335.4779,449210.5161,1268033.604,736130.6524
Odisha,Cuttack,4,18,87,35,2021,"Cuttack, Odisha, India",20.4686,85.8792,17.1,61,1015,1.5,295,clear sky,57.75862069,87,5,22.5,87,Satisfactory,3313,3,0,3,0.09,1,9.95,0,759390.0827,394228.0816,1510825.925,759153.1276
Odisha,Jharsuguda,8,14,102,56,2021,"Jharsuguda, Odisha, India",21.8019368,83.9713964,14.86,50,1016,1.9,8,clear sky,93.24137931,101.6644295,10,17.5,101.6644295,Moderate,454,5,0,0,0.01,1,1.38,0,736085.7669,444232.2838,1273844.49,733936.9962
Odisha,Kalinga Nagar,2,16,115,68,2021,"Kalinga Nagar, Odisha, India",20.2680426,85.7623093,16.93,94,1015,1.54,300,mist,124.8965517,110.3020134,2.5,20,124.8965517,Moderate,6507,0,0,0,0.18,0,19.52,0,734550.1352,368220.3559,1503483.113,734332.5124
Odisha,Konark,2,13,63,,2021,"Konark, Odisha, India",19.9074291,86.1420195,19.31,54,1014,2.57,350,clear sky,,63,2.5,16.25,63,Satisfactory,456,0,0,1,0.01,0,1.37,0,744709.8288,373632.1537,1554859.214,744677.3073
Odisha,Paradeep,16,11,114,,2021,"Paradeep, Odisha, India",20.2797383,86.6122727,18.76,57,1014,3.43,340,clear sky,,109.6375839,20,13.75,109.6375839,Moderate,824,20,0,15,0.02,1,2.55,0.02,812651.8642,441859.8074,1595353.541,812587.9263
Odisha,Puri,2,4,77,,2021,"Puri, Odisha, India",19.8076083,85.8252538,19.8,59,1014,2.86,353,clear sky,,77,2.5,5,77,Satisfactory,2504,0,0,1,0.07,0,7.51,0,708712.7,338115.4067,1523856.527,708643.9184
Odisha,Rajgangpur,10,13,129,42,2021,"Rajgangpur, Odisha, India",22.1861154,84.5835067,13.41,53,1016,1.04,45,clear sky,69.5862069,119.6040268,12.5,16.25,119.6040268,Moderate,94,3,0,0,0,1,0.29,0,811792.3525,503471.2298,1336477.241,809878.1886
Odisha,Rayagada,5,16,68,33,2021,"Rayagada, Odisha, India",19.4426698,83.5873053,12.95,75,1016,1.13,318,clear sky,54.37931034,68,6.25,20,68,Satisfactory,45,0,0,0,0,0,0.14,0,487435.5514,160364.1404,1299567.268,486635.3155
Odisha,Rourkela,9,12,125,48,2021,"Rourkela, Odisha, India",22.2309255,84.8678705,12.56,57,1016,1.14,24,clear sky,79.72413793,116.9463087,11.25,15,116.9463087,Moderate,3791,8,0,9,0.11,1,11.4,0,834287.684,517844.6995,1367541.593,832532.962
Odisha,Sambalpur,7,25,103,42,2021,"Sambalpur, Odisha, India",21.5570606,84.1528515,14.8,55,1016,0.66,41,clear sky,69.5862069,102.3288591,8.75,31.25,102.3288591,Moderate,544,1,0,0,0.02,1,1.64,0,722431.6362,418860.8277,1297979.766,720539.5065
Odisha,Talcher,16,29,88,40,2021,"Talcher, Odisha, India",20.9322302,85.2005822,15.09,62,1015,1.59,315,clear sky,66.20689655,88,20,36.25,88,Satisfactory,219,5,0,0,0.01,1,0.68,0,739348.7864,391440.3751,1425654.914,738561.6065
Pondicherry (UT),Karaikal,2,5,41,,2021,"Karaikal, Pondicherry (UT), India",10.9167,79.8333,26.7,69,1012,5.82,42,overcast clouds,,41,2.5,6.25,41,Good,2024,1,0,57,0.06,1,6.08,0.03,640914.8103,492313.0405,1641285.193,643727.7477
Pondicherry (UT),Pondicherry,7,11,42,20,2021,"Pondicherry, Pondicherry (UT), India",11.9416,79.8083,25.18,74,1012,5.64,38,overcast clouds,33.33333333,42,8.75,13.75,42,Good,8460,40,0,76,0.24,1,25.54,0.01,525925.0374,394149.0012,1539339.74,528668.1459
Punjab,Aligarh (Jagraon),8,16,76,,2021,"Aligarh (Jagraon), Punjab, India",30.7993558,75.4944576,16.48,25,1017,1.17,337,clear sky,,76,10,20,76,Satisfactory,922,3,0,0,0.03,1,2.78,0,340220.5798,1789167.952,142217.1871,84418.3653
Punjab,Amritsar,14,21,116,51,2021,"Amritsar, Punjab, India",31.634,74.8723,11.97,82,1017,0.51,0,mist,84.79310345,110.966443,17.5,26.25,110.966443,Moderate,11683,36,0,17,0.33,1,35.19,0,469003.334,1917834.111,241465.4147,195118.0505
Punjab,Aspal Khurd (Tapa),7,19,106,,2021,"Aspal Khurd (Tapa), Punjab, India",30.4078,75.6212,16.59,23,1017,1.22,324,clear sky,,104.3221477,8.75,23.75,104.3221477,Moderate,1233,1,0,0,0.03,1,3.7,0,291012.0192,1738171.974,134675.9247,78972.48233
Punjab,Bara Pind (Goraya),7,17,87,,2021,"Bara Pind (Goraya), Punjab, India",31.1150377,75.8133562,15.45,37,1017,1.2,8,clear sky,,87,8.75,21.25,87,Satisfactory,1982,0,0,0,0.06,0,5.95,0,357709.0774,1808145.414,117344.0323,72062.83704
Punjab,Batala,7,19,77,,2021,"Batala, Punjab, India",31.8193025,75.1999941,15.17,38,1017,1.41,54,clear sky,,77,8.75,23.75,77,Satisfactory,3825,0,0,0,0.11,0,11.48,0,470758.6749,1921378.161,224695.7175,186390.0286
Punjab,Bhatinda,6,15,105,50,2021,"Bhatinda, Punjab, India",30.206791,74.9463699,15.38,20,1017,0.64,315,clear sky,83.10344828,103.6577181,7.5,18.75,103.6577181,Moderate,4053,15,0,18,0.11,1,12.22,0,325534.6807,1754799.134,214139.0861,157886.94
Punjab,Binjon (Garshankar),6,15,81,,2021,"Binjon (Garshankar), Punjab, India",30.5683,74.9704,15.38,22,1017,0.46,261,clear sky,,81,7.5,18.75,81,Satisfactory,788,0,0,0,0.02,0,2.36,0,354681.9571,1792969.718,201466.5606,142801.6814
Punjab,Bishanpura (Payal),8,20,137,,2021,"Bishanpura (Payal), Punjab, India",30.3097,75.8893,16.8,24,1017,1.51,335,clear sky,,124.9194631,10,25,124.9194631,Moderate,645,0,0,0,0.02,0,1.94,0,263159.5659,1712457.711,112369.4828,64081.84767
Punjab,Changal (Sangrur),6,16,99,,2021,"Changal (Sangrur), Punjab, India",30.2855305,75.7927035,16.77,23,1017,1.35,328,clear sky,,99,7.5,20,99,Satisfactory,717,0,0,0,0.02,0,2.15,0,266890.9927,1715014.324,123299.1857,73454.37085
Punjab,Chowkimann (Jagraon),7,16,182,,2021,"Chowkimann (Jagraon), Punjab, India",30.7802,75.9984,16.11,32,1017,1.68,348,clear sky,,154.8187919,8.75,20,154.8187919,Moderate,2021,12,0,0,0.06,1,6.11,0,309618.144,1760094.56,86073.46697,29230.91398
Punjab,Dera Baba Nanak,7,13,74,,2021,"Dera Baba Nanak, Punjab, India",32.0317917,75.0284641,15.18,38,1017,1.52,74,clear sky,,74,8.75,16.25,74,Satisfactory,894,2,0,0,0.02,1,2.69,0,504383.0177,1954974.39,257247.1577,220098.4588
Punjab,Dera Bassi,7,18,100,,2021,"Dera Bassi, Punjab, India",30.5882408,76.8438542,14.94,41,1016,1.71,351,clear sky,,100,8.75,22.5,100,Satisfactory,2224,25,0,2,0.06,1,6.77,0,256469.2411,1695646.043,20693.02193,68332.85215
Punjab,Fatehpur (Samana),6,17,91,,2021,"Fatehpur (Samana), Punjab, India",30.1810444,76.2290668,16.59,27,1016,1.79,331,clear sky,,91,7.5,21.25,91,Satisfactory,1151,19,0,6,0.03,1,3.53,0.01,229117.8305,1679727.802,93485.94129,67071.37544
Punjab,Gobindgarh Mandi Gobindgarh,10,21,122,63,2021,"Gobindgarh Mandi Gobindgarh, Punjab, India",30.6693384,76.2974678,15.8,37,1016,2.37,340,clear sky,107.8275862,114.9530201,12.5,26.25,114.9530201,Moderate,1941,51,0,0,0.05,1,6.03,0,283003.9458,1731989.991,53262.09055,7178.709041
Punjab,Guru Ki Dhab (Kotkapura),4,11,91,,2021,"Guru Ki Dhab (Kotkapura), Punjab, India",30.5413129,74.8190388,15.25,21,1017,0.51,243,clear sky,,91,5,13.75,91,Satisfactory,453,0,0,0,0.01,0,1.36,0,364440.8591,1798875.771,218598.9233,159954.0193
Punjab,Jaito Sarja (Batala),6,14,70,,2021,"Jaito Sarja (Batala), Punjab, India",31.7467253,75.197441,15.33,36,1017,1.22,46,clear sky,,70,7.5,17.5,70,Satisfactory,1506,0,0,0,0.04,0,4.52,0,462579.4016,1913152.422,219073.0481,179242.0641
Punjab,Jalandhar,13,22,120,55,2021,"Jalandhar, Punjab, India",31.2922312,75.5678878,16,34,1017,0.6,358,clear sky,91.55172414,113.6241611,16.25,27.5,113.6241611,Moderate,10158,3,0,1,0.28,1,30.49,0,390708.9318,1841338.653,152125.208,107578.1658
Punjab,Khanna,13,24,105,49,2021,"Khanna, Punjab, India",30.700625,76.2220763,15.98,35,1016,2.08,342,clear sky,81.4137931,103.6577181,16.25,30,103.6577181,Moderate,3412,21,0,5,0.1,1,10.32,0,289913.1139,1739429.19,61135.14716,2440.534971
Punjab,Kharaori (Sirhind),6,19,92,,2021,"Kharaori (Sirhind), Punjab, India",30.2512,75.7748,16.74,23,1017,1.3,325,clear sky,,92,7.5,23.75,92,Satisfactory,220,2,0,0,0.01,1,0.67,0,264573.3437,1712151.985,127175.7148,78061.44169
Punjab,Kotladoom (Ajnala),8,15,111,,2021,"Kotladoom (Ajnala), Punjab, India",30.2793,75.8409,16.78,23,1017,1.39,330,clear sky,,107.6442953,10,18.75,107.6442953,Moderate,765,1,0,0,0.02,1,2.3,0,263063.8608,1711675.384,118988.3571,70512.29048
Punjab,Lakho ke Behram (Ferozpur),4,15,91,,2021,"Lakho ke Behram (Ferozpur), Punjab, India",30.452,74.9655,15.18,22,1017,0.55,273,clear sky,,91,5,18.75,91,Satisfactory,184,0,0,0,0.01,0,0.55,0,344640.1272,1780463.446,204160.1144,145898.9766
Punjab,Ludhiana,10,30,149,54,2021,"Ludhiana, Punjab, India",30.9090157,75.851601,15.97,33,1017,1.39,348,clear sky,89.86206897,132.8926174,12.5,37.5,132.8926174,Moderate,15857,31,0,3,0.44,1,47.69,0,331902.9234,1782510.721,104676.8339,51376.1434
Punjab,Mrar Kalan (Muktsar),,,,,2021,"Mrar Kalan (Muktsar), Punjab, India",30.4825,75.8073,16.72,25,1017,1.55,340,clear sky,,,,,,Severe,1058,0,0,0,0.03,0,3.17,0,286755.7261,1736381.833,112009.756,56185.49794
Punjab,Mukandpur (Nawashahar),7,18,104,,2021,"Mukandpur (Nawashahar), Punjab, India",31.1591,76.0341,15.5,39,1017,1.65,16,clear sky,,102.9932886,8.75,22.5,102.9932886,Moderate,340,0,0,0,0.01,0,1.02,0,352895.8703,1801918.399,98686.13528,63956.11008
Punjab,Mureedke (Batala),6,16,85,,2021,"Mureedke (Batala), Punjab, India",31.5167,74.25,16.06,77,1017,0,0,smoke,,85,7.5,20,85,Satisfactory,7810,1,0,7,0.22,1,23.43,0,499406.483,1939942.992,298359.936,246043.152
Punjab,Naudhrani (Malerkotla),5,17,95,,2021,"Naudhrani (Malerkotla), Punjab, India",30.4024,75.6542,16.64,23,1017,1.24,324,clear sky,,95,6.25,21.25,95,Satisfactory,1541,1,0,0,0.04,1,4.63,0,288215.1681,1735742.089,131419.6304,76118.18723
Punjab,Naya Nangal,5,15,78,,2021,"Naya Nangal, Punjab, India",31.3798527,76.3600363,13.79,44,1017,2.08,35,clear sky,,78,6.25,18.75,78,Satisfactory,1551,6,0,0,0.04,1,4.68,0,368557.1805,1811611.088,95419.31409,89225.63338
Punjab,Patiala,6,18,110,50,2021,"Patiala, Punjab, India",30.2092778,76.3397231,16.41,29,1016,2.03,331,clear sky,83.10344828,106.9798658,7.5,22.5,106.9798658,Moderate,848,2,0,0,0.02,1,2.55,0,226667.0181,1677130.369,83074.6076,64303.55742
Punjab,Peer Mohammad (Jalalabad),4,11,85,,2021,"Peer Mohammad (Jalalabad), Punjab, India",30.4769,74.7752,15.22,21,1017,0.49,252,clear sky,,85,5,13.75,85,Satisfactory,111,0,0,0,0,0,0.33,0,362517.5447,1794428.563,224532.8996,166039.1914
Punjab,Poohli (Bhatinda),,,,,2021,"Poohli (Bhatinda), Punjab, India",30.2945677,75.0830876,15.23,22,1017,0.71,295,clear sky,,,,,,Severe,122,0,0,0,0,0,0.37,0,321262.0452,1756301.765,196197.33,139459.9558
Punjab,Qila Bharian (Sangrur),5,16,94,,2021,"Qila Bharian (Sangrur), Punjab, India",30.4582,75.6189,16.59,23,1017,1.24,327,clear sky,,94,6.25,20,94,Satisfactory,1311,0,0,0,0.04,0,3.93,0,296326.9082,1743946.555,133022.8883,76304.77001
Punjab,Rakhra (Patiala),6,18,90,,2021,"Rakhra (Patiala), Punjab, India",30.3730233,76.2572622,16.46,29,1016,2.12,338,clear sky,,90,7.5,22.5,90,Satisfactory,730,1,0,0,0.02,1,2.19,0,249668.9644,1700083.117,73782.82225,42330.05347
Punjab,Rohila (Samrala),8,17,119,,2021,"Rohila (Samrala), Punjab, India",30.4384,75.5852,16.54,23,1017,1.18,325,clear sky,,112.9597315,10,21.25,112.9597315,Moderate,1322,0,0,0,0.04,0,3.97,0,296592.0432,1743593.107,137331.5545,80778.85206
Punjab,Rupnagar,11,8,126,59,2021,"Rupnagar, Punjab, India",31.0917102,76.5289701,14.01,41,1017,2.01,39,clear sky,98.31034483,117.6107383,13.75,10,117.6107383,Moderate,88,1,0,0,0,1,0.27,0,327531.395,1769654.447,53498.34273,59867.48436
Punjab,Subanpur (Dhilwan),,,,,2021,"Subanpur (Dhilwan), Punjab, India",30.3305,75.6577,16.66,22,1017,1.23,321,clear sky,,,,,,Severe,1257,1,0,0,0.04,1,3.77,0,280662.3864,1727499.503,134380.5731,80892.28114
Punjab,Tirathpur (Amritsar I),8,18,128,,2021,"Tirathpur (Amritsar I), Punjab, India",30.4227,75.6129,16.59,23,1017,1.22,324,clear sky,,118.9395973,10,22.5,118.9395973,Moderate,1479,1,0,0,0.04,1,4.44,0,293097.4718,1740300.087,134965.7327,78891.39266
Rajasthan,Ajmer,13,24,96,45,2021,"Ajmer, Rajasthan, India",26.4691,74.639,17.17,18,1017,2.68,43,clear sky,74.65517241,96,16.25,30,96,Satisfactory,9455,1,0,1,0.26,1,28.37,0,394330.0808,1402483.929,460801.4983,565558.8751
Rajasthan,Alwar,12,27,112,43,2021,"Alwar, Rajasthan, India",27.4140048,76.6170387,17.61,21,1017,1.74,305,clear sky,71.27586207,108.3087248,15,33.75,108.3087248,Moderate,1835,0,0,0,0.05,0,5.5,0,165752.9093,1355916.414,423419.3217,420656.1606
Rajasthan,Bharatpur,10,35,210,,2021,"Bharatpur, Rajasthan, India",27.0246959,77.2920116,17.36,24,1017,1.4,327,clear sky,,173.4228188,12.5,43.75,173.4228188,Moderate,76,0,0,0,0,0,0.23,0,199944.085,1274123.162,475379.8109,481677.7859
Rajasthan,Bhiwadi,24,39,204,110,2021,"Bhiwadi, Rajasthan, India",28.2039413,76.837441,17.31,21,1017,1.9,277,clear sky,265.862069,169.4362416,30,48.75,265.862069,Poor,2693,20,0,0,0.08,1,8.16,0,67572.41626,1426917.428,323746.7302,325947.7224
Rajasthan,Chittorgargh,8,24,119,,2021,"Chittorgargh, Rajasthan, India",24.889,74.626,17,36,1017,1.22,27,clear sky,,112.9597315,10,30,112.9597315,Moderate,3196,10,0,1,0.09,1,9.63,0,547265.0408,1258000.097,304289.8237,753616.764
Rajasthan,Jaipur,10,31,124,58,2021,"Jaipur, Rajasthan, India",26.9154576,75.8189817,14.6,41,1017,0,0,haze,96.62068966,116.2818792,12.5,38.75,116.2818792,Moderate,12643,4,0,101,0.35,1,37.94,0.01,264946.378,1357807.034,496861.5145,483301.618
Rajasthan,Jodhpur,7,25,168,75,2021,"Jodhpur, Rajasthan, India",26.2967719,73.0351433,19.51,21,1017,2.49,80,clear sky,148.7931034,145.5167785,8.75,31.25,148.7931034,Moderate,10883,4,0,21,0.3,1,32.66,0,549784.1483,1477737.319,383977.7979,662549.662
Rajasthan,Kota,9,26,114,60,2021,"Kota, Rajasthan, India",25.1737019,75.8574194,18.51,29,1017,0.64,170,clear sky,100,109.6375839,11.25,32.5,109.6375839,Moderate,10136,27,0,16,0.28,1,30.52,0,455659.0923,1193100.791,433751.7046,698125.964
Rajasthan,Pali,9,20,118,58,2021,"Pali, Rajasthan, India",25.455221,73.419389,18.84,27,1017,2.29,115,clear sky,96.62068966,112.295302,11.25,25,112.295302,Moderate,72,0,0,0,0,0,0.22,0,579238.2996,1365256.8,290862.7358,732997.8952
Rajasthan,Udaipur,11,26,120,55,2021,"Udaipur, Rajasthan, India",24.578721,73.6862571,16.52,41,1018,1.93,356,clear sky,91.55172414,113.6241611,13.75,32.5,113.6241611,Moderate,6717,2,0,45,0.19,1,20.16,0.01,638594.1673,1253950.755,206482.5184,820773.741
Sikkim,Chungthang,5,5,27,,2021,"Chungthang, Sikkim, India",27.8133328,88.5199948,-9.27,58,1025,3.84,333,clear sky,,27,6.25,6.25,27,Good,78,0,0,12,0,0,0.23,0.13,1260544.251,1308415.782,1360143.168,1415352.828
Sikkim,Gangtok,5,11,49,31,2021,"Gangtok, Sikkim, India",27.329046,88.6122673,11.39,56,1019,2.81,56,clear sky,51,49,6.25,13.75,51,Satisfactory,859,0,0,58,0.02,0,2.58,0.06,1277056.29,1258691.049,1387812.643,1442191.435
Sikkim,Mangan,5,9,27,,2021,"Mangan, Sikkim, India",27.7502867,88.5211649,-8.9,51,1023,4.87,334,clear sky,,27,6.25,11.25,27,Good,35,0,0,4,0,0,0.1,0.1,1261334.346,1301340.556,1362464.487,1417564.072
Sikkim,Namchi,5,5,30,,2021,"Namchi, Sikkim, India",27.3031019,88.3785961,6.08,66,1018,2.84,320,clear sky,,30,6.25,6.25,30,Good,635,0,0,21,0.02,0,1.9,0.03,1251682.616,1243979.603,1364165.456,1418367.135
Sikkim,Pelling,6,4,29,,2021,"Pelling, Sikkim, India",27.3003722,88.2356503,11.69,67,1019,3.07,312,clear sky,,29,7.5,5,29,Good,463,0,0,49,0.01,0,1.39,0.1,1235956.423,1236649.33,1349211.715,1403326.149
Sikkim,Rangpo,7,10,64,,2021,"Rangpo, Sikkim, India",27.1744361,88.5303403,15.86,80,1017,2.2,8,clear sky,,64,8.75,12.5,64,Satisfactory,262,20,0,0,0.01,1,0.87,0,1270625.806,1237307.794,1385362.746,1439403.058
Sikkim,Ravangla,4,3,23,,2021,"Ravangla, Sikkim, India",27.3051271,88.3644723,6.08,66,1018,2.84,320,clear sky,,23,5,3.75,23,Good,563,0,0,17,0.02,0,1.69,0.03,1250090.636,1243505.59,1362594.803,1416792.415
