City,Country,Location_Type,latitude,longitude,dist_road,road_count,dist_industry,industry_count,dist_farm,farm_count
Hidrolandia,Brazil,Sector_3,-4.363,-40.44182,,,,,,
Gyanpur,India,Sector_4,25.36837,82.47763,1280.63,1.0,,,,
Haiger,Germany,City Center,50.75,8.2167,104.32,122.0,264.68,18.0,2654.41,3.0
Gyanpur,India,Sector_2,25.3426,82.48602,118.34,1.0,368.0,1.0,,
Haiger,Germany,Sector_1,50.7558,8.17545,371.43,177.0,1909.89,8.0,1069.92,12.0
Haiger,Germany,Sector_4,50.76427,8.17665,931.87,139.0,1778.89,11.0,2119.25,7.0
Haiger,Germany,Sector_3,50.72807,8.27509,325.55,190.0,1556.68,10.0,,
Hangzhou,China,City Center,30.2937,120.1614,159.22,428.0,860.04,24.0,1474.24,2.0
Hangzhou,China,Sector_1,30.30399,120.07923,271.5,387.0,1087.64,72.0,,
Hangzhou,China,Sector_3,30.29288,120.21192,15.06,591.0,650.02,28.0,2848.89,2.0
Hidrolandia,Brazil,Sector_2,-4.42614,-40.37114,,,,,,
Heiligenhaus,Germany,Sector_1,51.30989,6.93702,1236.14,101.0,1236.68,13.0,0.0,76.0
Harrislee,Germany,Sector_1,54.80663,9.45868,34.91,114.0,497.93,17.0,3749.46,3.0
Harrislee,Germany,Sector_2,54.82474,9.32777,117.95,27.0,0.0,3.0,505.41,29.0
Harrislee,Germany,Sector_3,54.82976,9.27213,,,,,,
Harrislee,Germany,City Center,54.8,9.3833,1391.57,81.0,176.88,3.0,624.44,44.0
Hangzhou,China,Sector_4,30.25924,120.22489,243.57,321.0,792.5,22.0,1553.67,3.0
Harrislee,Germany,Sector_4,54.81917,9.42709,755.55,61.0,763.33,8.0,1766.95,9.0
Harrison,United States of America,Sector_1,30.47245,-89.0811,2402.09,3.0,,,,
Harrison,United States of America,City Center,30.4091,-89.0436,990.73,46.0,744.33,12.0,,
Harrison,United States of America,Sector_3,30.39195,-89.1198,1031.28,6.0,,,,
Harur,India,City Center,12.0667,78.5,75.4,7.0,,,,
Harur,India,Sector_1,12.08675,78.52208,165.63,1.0,,,,
Harur,India,Sector_2,12.04676,78.52594,2302.24,2.0,,,,
Harrison,United States of America,Sector_2,30.45581,-89.01772,,,,,,
Haiger,Germany,Sector_2,50.70595,8.27975,272.96,126.0,1570.04,11.0,,
Harrison,United States of America,Sector_4,30.40931,-88.96915,,,,,,
Hangzhou,China,Sector_2,30.34784,120.18841,135.57,300.0,95.86,62.0,,
Harur,India,Sector_3,12.06049,78.45956,928.49,9.0,,,,
Hasbergen,Germany,Sector_3,52.20971,7.86939,1112.21,49.0,3083.78,3.0,3.8,181.0
Hasbergen,Germany,Sector_4,52.22396,7.9719,2419.84,21.0,1453.55,11.0,581.41,137.0
Hasbergen,Germany,City Center,52.2333,7.9333,1776.12,29.0,1710.19,8.0,0.0,125.0
Harur,India,Sector_4,12.00935,78.48687,2830.78,1.0,,,,
Haubourdin,France,Sector_2,50.60044,3.0474,1.25,306.0,358.41,6.0,68.11,22.0
Haubourdin,France,Sector_3,50.64721,2.95665,21.7,179.0,1133.43,5.0,212.63,68.0
Haubourdin,France,City Center,50.6083,2.9914,504.15,258.0,260.86,28.0,609.55,42.0
Taunton,United States of America,City Center,51.0211,-3.1047,110.93,340.0,149.52,40.0,1349.53,71.0
Taunton,United States of America,Sector_1,51.02672,-3.14281,91.68,127.0,1038.02,18.0,367.09,224.0
Taunton,United States of America,Sector_2,51.00334,-3.09804,1069.77,184.0,720.06,18.0,0.0,119.0
Taunton,United States of America,Sector_3,50.99449,-3.11986,2027.38,66.0,239.32,6.0,244.22,232.0
Hasbergen,Germany,Sector_2,52.18842,7.94843,1606.03,22.0,259.63,5.0,12.92,156.0
Hasbergen,Germany,Sector_1,52.26875,7.94897,159.55,83.0,1003.21,22.0,7.1,129.0
Haubourdin,France,Sector_1,50.62706,2.99159,1737.97,273.0,82.48,26.0,0.0,20.0
Taunton,United States of America,Sector_4,51.00235,-3.16708,691.6,32.0,2646.19,1.0,0.0,297.0
Tauranga,New Zealand,Sector_3,-37.71268,176.18869,278.41,101.0,2511.88,1.0,1606.62,21.0
Tauranga,New Zealand,Sector_4,-37.71892,176.13367,367.6,195.0,380.32,26.0,953.04,7.0
Tay Ninh,Viet Nam,City Center,11.3,106.1,180.74,59.0,1130.95,16.0,,
Tay Ninh,Viet Nam,Sector_1,11.24244,106.144,512.67,32.0,2160.17,1.0,1999.49,1.0
Tauranga,New Zealand,City Center,-37.6861,176.1667,119.16,268.0,152.47,57.0,2241.95,2.0
Haubourdin,France,Sector_4,50.57028,3.01507,568.35,154.0,898.35,4.0,22.54,58.0
Tay Ninh,Viet Nam,Sector_3,11.29702,106.14929,1136.85,29.0,2001.7,1.0,,
Tay Ninh,Viet Nam,Sector_4,11.34245,106.14147,746.35,27.0,,,,
Taybad,Iran (Islamic Republic of),City Center,34.74,60.7756,252.2,107.0,,,,
Taybad,Iran (Islamic Republic of),Sector_2,34.72196,60.79334,802.28,52.0,,,1075.57,1.0
Tay Ninh,Viet Nam,Sector_2,11.34416,106.07167,29.79,7.0,,,,
Tauranga,New Zealand,Sector_2,-37.72409,176.15454,1030.0,227.0,1218.27,14.0,1504.07,5.0
Taybad,Iran (Islamic Republic of),Sector_4,34.72453,60.72536,850.18,1.0,,,0.0,2.0
Teano,Italy,Sector_1,41.23753,14.04012,2438.59,7.0,,,1865.67,3.0
Taybad,Iran (Islamic Republic of),Sector_1,34.68261,60.77713,,,,,,
Teano,Italy,Sector_3,41.20077,14.07097,2909.03,26.0,3130.69,1.0,890.43,25.0
Teano,Italy,Sector_4,41.23167,14.08403,521.64,68.0,2554.21,1.0,3110.11,2.0
Tekkali,India,City Center,18.6167,84.2333,179.85,37.0,,,1576.04,1.0
Tauranga,New Zealand,Sector_1,-37.66043,176.20248,178.38,209.0,0.0,48.0,,
Taybad,Iran (Islamic Republic of),Sector_3,34.7851,60.83375,2233.17,11.0,2532.22,1.0,292.22,1.0
Tekkali,India,Sector_3,18.62631,84.19011,131.49,1.0,,,,
Tekkali,India,Sector_4,18.56082,84.24179,85.87,14.0,2133.62,1.0,,
Teodoro Sampaio,Brazil,City Center,-22.5325,-52.1675,375.46,26.0,,,1293.79,1.0
Teodoro Sampaio,Brazil,Sector_1,-22.5355,-52.12842,2601.66,1.0,,,,
Teodoro Sampaio,Brazil,Sector_2,-22.46501,-52.19387,1660.42,1.0,,,,
Teodoro Sampaio,Brazil,Sector_3,-22.58556,-52.20035,,,,,,
Tekkali,India,Sector_1,18.59122,84.1882,159.39,12.0,,,,
Tekkali,India,Sector_2,18.63581,84.18519,697.95,2.0,,,,
Teano,Italy,City Center,41.2513,14.0665,205.03,42.0,943.81,1.0,,
Tepeaca,Mexico,Sector_1,18.95374,-97.84494,655.35,8.0,,,1817.24,3.0
Tepeaca,Mexico,City Center,18.9667,-97.9,29.39,31.0,,,802.22,4.0
Tepeaca,Mexico,Sector_3,18.97172,-97.86542,2569.72,2.0,,,0.0,4.0
Tequila,Mexico,City Center,20.8833,-103.8333,10.87,12.0,38.12,12.0,1504.05,3.0
Teodoro Sampaio,Brazil,Sector_4,-22.5272,-52.14606,759.27,21.0,,,845.38,1.0
Tequila,Mexico,Sector_1,20.94047,-103.79171,,,,,,
Tequila,Mexico,Sector_2,20.84226,-103.87445,1700.48,15.0,,,,
Tequila,Mexico,Sector_4,20.8624,-103.76196,578.64,3.0,,,,
Tepeaca,Mexico,Sector_2,19.01458,-97.8962,1068.47,6.0,,,1107.62,3.0
Teano,Italy,Sector_2,41.22727,14.0441,1367.85,9.0,,,423.4,20.0
Teramo,Italy,Sector_2,42.62216,13.62673,2231.45,22.0,,,866.12,3.0
Teramo,Italy,Sector_3,42.62956,13.71226,2612.5,10.0,3616.7,1.0,2510.07,5.0
Teramo,Italy,Sector_4,42.70178,13.69517,3452.07,1.0,1699.26,1.0,,
Thai Nguyen,Viet Nam,City Center,21.5928,105.8442,114.21,54.0,50.33,14.0,,
Thai Nguyen,Viet Nam,Sector_1,21.55277,105.84187,18.22,21.0,1466.8,2.0,,
Thai Nguyen,Viet Nam,Sector_2,21.60276,105.86517,477.82,27.0,1698.62,3.0,,
Thai Nguyen,Viet Nam,Sector_3,21.59523,105.89074,894.15,31.0,,,,
Tepeaca,Mexico,Sector_4,18.991,-97.91651,167.29,34.0,,,1024.67,4.0
Tequila,Mexico,Sector_3,20.87378,-103.79597,295.64,2.0,,,,
Teramo,Italy,Sector_1,42.67208,13.77035,614.79,92.0,2132.76,4.0,0.0,183.0
Tianjin,China,Sector_2,39.13405,117.19891,27.86,429.0,63.17,45.0,,
Tianjin,China,Sector_3,39.11726,117.19493,47.28,396.0,84.29,38.0,,
Tianjin,China,Sector_4,39.15196,117.22521,381.9,305.0,671.96,11.0,,
Timisoara,Romania,City Center,45.7494,21.2272,256.19,764.0,689.69,50.0,,
Timisoara,Romania,Sector_1,45.78909,21.27376,2000.21,40.0,2016.43,15.0,1008.51,2.0
Timisoara,Romania,Sector_2,45.76355,21.15687,335.79,18.0,47.53,14.0,0.0,5.0
Timisoara,Romania,Sector_3,45.74058,21.29092,158.77,93.0,664.93,32.0,0.0,23.0
Tianjin,China,City Center,39.1422,117.1767,92.75,405.0,83.79,31.0,,
Tianjin,China,Sector_1,39.13862,117.21477,198.86,430.0,83.89,32.0,,
Toboso,Philippines,City Center,10.7144,123.5162,88.43,5.0,,,1972.97,1.0
Toboso,Philippines,Sector_2,10.73678,123.55753,,,,,,
Toboso,Philippines,Sector_3,10.67406,123.5498,,,,,,
Toboso,Philippines,Sector_4,10.7565,123.56965,,,,,,
Teramo,Italy,City Center,42.65,13.6833,133.05,190.0,411.95,2.0,,
Tokorozawa,Japan,City Center,35.7992,139.469,655.6,59.0,886.11,8.0,1042.05,157.0
Tokorozawa,Japan,Sector_2,35.7627,139.54184,62.55,86.0,2110.21,1.0,42.92,180.0
Tokorozawa,Japan,Sector_3,35.81051,139.39876,94.3,75.0,951.33,17.0,125.54,157.0
Toboso,Philippines,Sector_1,10.66818,123.50378,1381.14,3.0,,,,
Timisoara,Romania,Sector_4,45.74857,21.31914,1263.74,20.0,2453.48,1.0,127.26,15.0
Toluca,Mexico,City Center,19.2883,-99.6672,55.35,612.0,527.91,4.0,2355.86,1.0
Toluca,Mexico,Sector_1,19.26011,-99.71422,486.68,65.0,678.43,1.0,880.93,19.0
Tokorozawa,Japan,Sector_4,35.78494,139.49659,842.35,85.0,577.22,24.0,99.35,422.0
Thai Nguyen,Viet Nam,Sector_4,21.60116,105.88128,710.06,30.0,,,,
Toluca,Mexico,Sector_4,19.22738,-99.6283,278.03,61.0,,,,
Tokorozawa,Japan,Sector_1,35.78042,139.48835,800.36,78.0,187.41,24.0,152.73,331.0
Toluca,Mexico,Sector_2,19.35345,-99.64795,5.43,87.0,1731.67,2.0,,
Toluca,Mexico,Sector_3,19.26066,-99.60751,40.54,267.0,528.91,13.0,256.83,12.0
Itapissuma,Brazil,Sector_3,-7.73049,-34.91588,2744.24,2.0,,,,
Itarantim,Brazil,City Center,-15.6597,-40.0656,216.31,32.0,,,,
Itarantim,Brazil,Sector_1,-15.59081,-40.07085,1140.99,1.0,,,,
Itapissuma,Brazil,Sector_1,-7.74405,-34.84702,2531.77,1.0,,,,
Itarantim,Brazil,Sector_3,-15.62807,-40.10509,,,,,,
Itarantim,Brazil,Sector_2,-15.6021,-40.07133,571.54,1.0,,,,
Itumbiara,Brazil,City Center,-18.4192,-49.2153,31.15,118.0,,,1439.82,1.0
Itumbiara,Brazil,Sector_1,-18.36785,-49.2362,424.54,15.0,294.55,3.0,,
Itumbiara,Brazil,Sector_2,-18.45308,-49.22615,1488.34,6.0,,,,
Itumbiara,Brazil,Sector_3,-18.42746,-49.25586,908.1,44.0,2235.67,4.0,,
Itumbiara,Brazil,Sector_4,-18.39322,-49.27273,1002.34,22.0,641.37,3.0,,
Ixtaczoquitlan,Mexico,City Center,18.85,-97.0667,373.16,57.0,482.7,13.0,,
Itapissuma,Brazil,Sector_2,-7.7478,-34.86022,1882.37,6.0,,,2266.91,1.0
Itapissuma,Brazil,Sector_4,-7.83155,-34.88411,1681.07,3.0,,,,
Itarantim,Brazil,Sector_4,-15.63757,-40.06546,310.03,20.0,,,,
Ixtaczoquitlan,Mexico,Sector_3,18.80717,-97.01592,599.31,14.0,,,0.0,2.0
Ixtaczoquitlan,Mexico,Sector_4,18.84145,-97.08752,832.61,87.0,308.72,13.0,,
Izalco,El Salvador,Sector_1,13.73498,-89.72714,608.53,71.0,1385.73,4.0,8.04,20.0
Ixtaczoquitlan,Mexico,Sector_2,18.90266,-97.02566,485.94,19.0,527.1,5.0,565.38,7.0
Izalco,El Salvador,Sector_2,13.74794,-89.6998,882.62,30.0,750.11,4.0,65.21,27.0
Izalco,El Salvador,Sector_4,13.79258,-89.7237,2432.27,1.0,2003.48,1.0,55.8,15.0
Izalco,El Salvador,City Center,13.7447,-89.6731,323.4,17.0,181.59,2.0,342.21,17.0
Itapissuma,Brazil,City Center,-7.7764,-34.8922,280.37,28.0,2430.14,1.0,1990.66,1.0
Izalco,El Salvador,Sector_3,13.79033,-89.70614,461.59,4.0,,,448.8,21.0
Ixtaczoquitlan,Mexico,Sector_1,18.86301,-97.04929,55.52,27.0,105.13,14.0,1780.77,1.0
