state,district,location_id,location_name,sensor_id,parameter,parameter_original,parameter_display,value,unit,datetime_utc,datetime_local,latitude,longitude
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T16:45:00Z,2025-11-24T22:15:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T17:00:00Z,2025-11-24T22:30:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T17:15:00Z,2025-11-24T22:45:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T17:30:00Z,2025-11-24T23:00:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-24T17:45:00Z,2025-11-24T23:15:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-25T01:45:00Z,2025-11-25T07:15:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-25T02:00:00Z,2025-11-25T07:30:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-25T02:15:00Z,2025-11-25T07:45:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-25T02:30:00Z,2025-11-25T08:00:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-25T02:45:00Z,2025-11-25T08:15:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-25T03:00:00Z,2025-11-25T08:30:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-25T03:15:00Z,2025-11-25T08:45:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-25T03:30:00Z,2025-11-25T09:00:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-25T03:45:00Z,2025-11-25T09:15:00+05:30,23.707909,86.41467
Jharkhand,Dhanbad,5546,Tata Stadium - Jorapokhar - JSPCB,12242969,co,co,CO,0.0,ppb,2025-11-25T04:00:00Z,2025-11-25T09:30:00+05:30,23.707909,86.41467
