Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Weather_Condition,Dist_Road,Dist_Industry,Dist_Farm,Dist_Dump
India,Jaipur,City Center,26.9154576,75.8189817,5.0,131.18,19.9,7.99,125.54,564.92,173.83,17.6,45,0.0,Haze,93.26,5000.0,5000.0,5000.0
India,Lucknow,Sector_2,26.84183,80.92531,5.0,198.45,17.18,4.31,64.66,904.09,241.88,14.01,94,2.57,Mist,134.3,5000.0,5000.0,5000.0
India,Lucknow,Sector_3,26.85285,80.95025,5.0,198.45,17.18,4.31,64.66,904.09,241.88,14.05,94,2.57,Mist,80.25,5000.0,5000.0,5000.0
India,Lucknow,Sector_1,26.86387,80.93467,5.0,198.45,17.18,4.31,64.66,904.09,241.88,14.06,94,2.57,Mist,316.7,5000.0,5000.0,5000.0
India,Lucknow,City Center,26.8381,80.9346001,5.0,198.45,17.18,4.31,64.66,904.09,241.88,14.01,94,2.57,Mist,31.71,5000.0,5000.0,5000.0
India,Kanpur,Sector_1,26.46244,80.27696,5.0,164.62,11.32,3.17,65.34,665.51,202.97,17.12,34,0.98,Clear,215.64,0.0,5000.0,5000.0
India,Kanpur,City Center,26.4609135,80.3217588,5.0,164.62,11.32,3.17,65.34,665.51,202.97,17.12,34,0.99,Clear,253.19,5000.0,5000.0,5000.0
India,Lucknow,Sector_4,26.84914,80.88581,5.0,198.45,17.18,4.31,64.66,904.09,241.88,13.99,94,2.57,Mist,65.27,5000.0,5000.0,5000.0
India,Kanpur,Sector_2,26.47772,80.33173,5.0,164.62,11.32,3.17,65.34,665.51,202.97,17.24,34,0.94,Clear,200.24,863.81,5000.0,5000.0
India,Kanpur,Sector_3,26.42931,80.3211,5.0,164.62,11.32,3.17,65.34,665.51,202.97,17.09,34,1.05,Clear,14.06,5000.0,5000.0,5000.0
India,Kanpur,Sector_4,26.44921,80.32574,5.0,164.62,11.32,3.17,65.34,665.51,202.97,17.12,34,0.99,Clear,536.51,5000.0,5000.0,5000.0
India,Nagpur,Sector_1,21.16162,79.07242,5.0,173.98,15.4,28.3,114.76,611.48,187.29,17.92,59,1.03,Haze,75.15,5000.0,5000.0,5000.0
India,Nagpur,City Center,21.1498134,79.0820556,5.0,173.98,15.4,28.3,114.76,611.48,187.29,17.95,59,1.03,Haze,126.38,1034.91,1149.82,5000.0
India,Nagpur,Sector_2,21.13378,79.03876,5.0,173.98,15.4,28.3,114.76,611.48,187.29,17.92,59,1.03,Haze,787.23,5000.0,5000.0,5000.0
India,Nagpur,Sector_4,21.1354,79.11302,5.0,173.98,15.4,28.3,114.76,611.48,187.29,18.07,59,1.03,Haze,70.72,561.6,782.38,5000.0
India,Indore,City Center,22.7203616,75.8681996,5.0,108.27,10.02,9.21,95.63,461.69,119.27,18.06,63,2.06,Haze,26.78,5000.0,5000.0,5000.0
India,Nagpur,Sector_3,21.1671,79.0662,5.0,173.98,15.4,28.3,114.76,611.48,187.29,17.77,59,1.03,Haze,49.1,5000.0,5000.0,5000.0
India,Indore,Sector_2,22.70337,75.8486,5.0,108.27,10.02,9.21,95.63,461.69,119.27,18.07,63,2.06,Haze,251.88,813.04,5000.0,5000.0
India,Indore,Sector_3,22.74657,75.88909,5.0,108.27,10.02,9.21,95.63,461.69,119.27,18.12,63,2.06,Haze,34.46,5000.0,5000.0,5000.0
India,Thane,City Center,19.3592411,73.3708245,5.0,213.77,8.93,36.0,215.7,967.12,241.36,24.28,42,0.55,Clear,97.19,5000.0,5000.0,5000.0
India,Thane,Sector_2,19.3448,73.39041,5.0,213.77,8.93,36.0,215.7,967.12,241.36,24.25,41,0.02,Clear,807.94,5000.0,5000.0,5000.0
India,Thane,Sector_1,19.36658,73.41724,5.0,189.24,11.46,32.32,185.79,868.4,213.08,24.12,40,0.27,Clear,1452.62,5000.0,5000.0,5000.0
India,Indore,Sector_4,22.68207,75.84275,5.0,108.27,10.02,9.21,95.63,461.69,119.27,18.01,63,2.06,Haze,55.72,5000.0,5000.0,5000.0
India,Thane,Sector_4,19.32641,73.38476,5.0,213.77,8.93,36.0,215.7,967.12,241.36,24.25,41,0.02,Clear,159.77,5000.0,5000.0,5000.0
India,Bhopal,City Center,23.2584857,77.401989,4.0,72.52,4.95,2.29,65.94,323.52,78.56,16.99,59,2.57,Haze,343.02,5000.0,5000.0,5000.0
India,Bhopal,Sector_2,23.23681,77.42635,4.0,72.52,4.95,2.29,65.94,323.52,78.56,16.93,59,2.57,Haze,2.94,5000.0,5000.0,5000.0
India,Bhopal,Sector_3,23.26753,77.41546,4.0,72.52,4.95,2.29,65.94,323.52,78.56,17.16,59,2.57,Haze,20.42,5000.0,5000.0,5000.0
India,Bhopal,Sector_4,23.29156,77.40514,4.0,72.52,4.95,2.29,65.94,323.52,78.56,17.16,59,2.57,Haze,186.58,5000.0,5000.0,5000.0
India,Visakhapatnam,City Center,17.6935526,83.2921297,5.0,200.53,2.14,9.5,175.78,533.59,214.35,21.1,88,1.03,Mist,10.24,132.03,5000.0,5000.0
India,Visakhapatnam,Sector_1,17.66427,83.26493,5.0,200.53,2.14,9.5,175.78,533.59,214.35,20.95,88,1.03,Mist,730.14,5000.0,5000.0,5000.0
India,Visakhapatnam,Sector_2,17.67438,83.31159,5.0,200.53,2.14,9.5,175.78,533.59,214.35,21.18,88,1.03,Mist,5000.0,5000.0,5000.0,5000.0
India,Visakhapatnam,Sector_3,17.73676,83.29205,5.0,200.53,2.14,9.5,175.78,533.59,214.35,21.0,88,1.03,Mist,134.11,720.13,5000.0,5000.0
